a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
500,1000,1500,1,4951,1,4.5337397996,0.672693463848179,326.0,3.361547262794322,bi_a500_b1000_p01%_v1.col
500,1000,1500,1,4920,2,3.6372837488000003,0.09496065525997648,334.6,1.6309506430300091,bi_a500_b1000_p01%_v2.col
500,1000,1500,1,5038,3,3.8515710692,0.248252793906364,324.6,4.202380277890138,bi_a500_b1000_p01%_v3.col
500,1000,1500,1,4995,4,3.6552491316,0.09951907513536597,322.0,3.391164991562634,bi_a500_b1000_p01%_v4.col
500,1000,1500,1,5010,5,4.137698634,0.24831965386048435,323.6,2.420743687382041,bi_a500_b1000_p01%_v5.col
500,1000,1500,3,14962,1,5.068103465400001,0.13333967110864944,312.6,0.7483314773547882,bi_a500_b1000_p03%_v1.col
500,1000,1500,3,14877,2,5.438632120399999,0.18987930452791943,309.8,0.58309518948453,bi_a500_b1000_p03%_v2.col
500,1000,1500,3,15019,3,5.5351176454,0.24441645038232165,312.0,1.1401754250991378,bi_a500_b1000_p03%_v3.col
500,1000,1500,3,15088,4,5.6391284558,0.1287888141041758,314.0,0.7071067811865476,bi_a500_b1000_p03%_v4.col
500,1000,1500,3,14826,5,4.983331823,0.04624304780912183,308.4,0.9273618495495705,bi_a500_b1000_p03%_v5.col
500,1000,1500,5,25206,1,9.0431792046,0.41722073649774316,457.0,0.5477225575051661,bi_a500_b1000_p05%_v1.col
500,1000,1500,5,24966,2,9.234696780800002,0.3125501010959257,454.8,0.3741657386773941,bi_a500_b1000_p05%_v2.col
500,1000,1500,5,25025,3,9.194424197200002,0.18877201272480532,455.0,0.7071067811865476,bi_a500_b1000_p05%_v3.col
500,1000,1500,5,25073,4,9.136511471800002,0.3176114600180455,455.6,0.24494897427831783,bi_a500_b1000_p05%_v4.col
500,1000,1500,5,24946,5,8.6572754916,0.20798633584915335,454.8,0.3741657386773941,bi_a500_b1000_p05%_v5.col
500,1000,1500,10,50023,1,31.680936519,0.9461890748629278,799.0,0.31622776601683794,bi_a500_b1000_p10%_v1.col
500,1000,1500,10,50026,2,30.727541527800003,0.5808566182154349,799.4,0.6,bi_a500_b1000_p10%_v2.col
500,1000,1500,10,49783,3,30.8528328664,1.0183998765302902,796.4,1.2489995996796797,bi_a500_b1000_p10%_v3.col
500,1000,1500,10,49704,4,34.4295690434,1.4212476812222221,793.2,0.7348469228349535,bi_a500_b1000_p10%_v4.col
500,1000,1500,10,50225,5,32.7847414126,1.1614226707234963,799.4,1.7204650534085253,bi_a500_b1000_p10%_v5.col
500,1000,1500,20,99683,1,119.7866649866,0.7887129774694104,1279.4,0.5099019513592785,bi_a500_b1000_p20%_v1.col
500,1000,1500,20,99572,2,127.83207738659999,3.250431555739109,1278.6,0.6782329983125267,bi_a500_b1000_p20%_v2.col
500,1000,1500,20,100299,3,136.3614086606,5.830186617245727,1280.0,0.5477225575051661,bi_a500_b1000_p20%_v3.col
500,1000,1500,20,100428,4,122.8619743922,2.950992784298327,1281.8,0.9695359714832658,bi_a500_b1000_p20%_v4.col
500,1000,1500,20,100288,5,121.791168197,2.739986297081419,1280.8,1.0198039027185568,bi_a500_b1000_p20%_v5.col
500,1000,1500,30,150068,1,240.23686276220002,2.1525677007735435,1391.2,0.3741657386773941,bi_a500_b1000_p30%_v1.col
500,1000,1500,30,150470,2,257.130120039,4.7491339703282875,1391.0,0.31622776601683794,bi_a500_b1000_p30%_v2.col
500,1000,1500,30,150505,3,244.97955485580002,3.1078704465718885,1391.6,0.39999999999999997,bi_a500_b1000_p30%_v3.col
500,1000,1500,30,149719,4,247.8989762104,2.168832075675201,1390.4,0.39999999999999997,bi_a500_b1000_p30%_v4.col
500,1000,1500,30,150236,5,247.92357289659998,2.600855126989766,1391.0,0.5477225575051661,bi_a500_b1000_p30%_v5.col
500,1000,1500,40,199683,1,378.6358039406,21.616543387462347,1436.2,0.3741657386773941,bi_a500_b1000_p40%_v1.col
500,1000,1500,40,199790,2,293.17583629919994,1.8987385158350847,1436.0,0.0,bi_a500_b1000_p40%_v2.col
500,1000,1500,40,199737,3,286.61555909080005,3.2934811535024355,1436.4,0.24494897427831777,bi_a500_b1000_p40%_v3.col
500,1000,1500,40,200163,4,294.5007476484,2.0735618989109494,1436.8,0.20000000000000004,bi_a500_b1000_p40%_v4.col
