b,chi_sat,p,tempo_max,chi_max,chi_min,N,M,v,a,tempo_sat,instancia,tempo_min
100,195,80,0.0072,195,192,200,7973,4,100,0.0084,bi_a100_b100_p80%_v4.col,0.0065
100,194,80,0.0065,195,192,200,7992,5,100,0.0093,bi_a100_b100_p80%_v5.col,0.0066
100,197,90,0.0066,197,195,200,9021,1,100,0.0089,bi_a100_b100_p90%_v1.col,0.0065
100,197,90,0.0071,196,195,200,8994,2,100,0.0088,bi_a100_b100_p90%_v2.col,0.0069
100,197,90,0.0071,198,194,200,9045,3,100,0.009,bi_a100_b100_p90%_v3.col,0.0123
100,196,90,0.0074,196,196,200,8972,4,100,0.0087,bi_a100_b100_p90%_v4.col,0.0068
100,197,90,0.0072,197,195,200,9008,5,100,0.0096,bi_a100_b100_p90%_v5.col,0.0066
500,189,1,0.001,184,96,600,525,1,100,0.0017,bi_a100_b500_p01%_v1.col,0.0005
500,170,1,0.0009,167,96,600,516,2,100,0.0016,bi_a100_b500_p01%_v2.col,0.0005
500,173,1,0.0009,171,97,600,518,3,100,0.0017,bi_a100_b500_p01%_v3.col,0.0006
500,194,1,0.001,189,95,600,503,4,100,0.0018,bi_a100_b500_p01%_v4.col,0.0005
500,174,1,0.001,174,100,600,511,5,100,0.0017,bi_a100_b500_p01%_v5.col,0.0005
500,148,3,0.0016,148,109,600,1537,1,100,0.0024,bi_a100_b500_p03%_v1.col,0.0009
500,153,3,0.0016,153,110,600,1444,2,100,0.0024,bi_a100_b500_p03%_v2.col,0.0008
500,152,3,0.0015,152,109,600,1499,3,100,0.0023,bi_a100_b500_p03%_v3.col,0.0008
500,150,3,0.0015,150,108,600,1505,4,100,0.0024,bi_a100_b500_p03%_v4.col,0.0009
500,151,3,0.0016,151,107,600,1550,5,100,0.0024,bi_a100_b500_p03%_v5.col,0.0009
500,133,5,0.0019,133,128,600,2497,1,100,0.003,bi_a100_b500_p05%_v1.col,0.0013
500,132,5,0.0019,132,129,600,2502,2,100,0.003,bi_a100_b500_p05%_v2.col,0.0013
500,155,5,0.002,155,127,600,2543,3,100,0.0031,bi_a100_b500_p05%_v3.col,0.0013
500,152,5,0.0021,152,124,600,2442,4,100,0.0031,bi_a100_b500_p05%_v4.col,0.0012
500,135,5,0.0019,135,125,600,2454,5,100,0.003,bi_a100_b500_p05%_v5.col,0.0013
500,170,10,0.0031,170,190,600,5152,1,100,0.005,bi_a100_b500_p10%_v1.col,0.0101
500,169,10,0.003,169,188,600,4977,2,100,0.0048,bi_a100_b500_p10%_v2.col,0.0034
500,178,10,0.003,178,193,600,5109,3,100,0.005,bi_a100_b500_p10%_v3.col,0.0035
500,172,10,0.0029,172,186,600,4929,4,100,0.0048,bi_a100_b500_p10%_v4.col,0.0032
500,169,10,0.003,169,193,600,5103,5,100,0.005,bi_a100_b500_p10%_v5.col,0.0036
500,325,20,0.0083,325,374,600,10077,1,100,0.012,bi_a100_b500_p20%_v1.col,0.0108
500,320,20,0.0083,320,371,600,10063,2,100,0.0121,bi_a100_b500_p20%_v2.col,0.0116
500,314,20,0.0079,314,362,600,9741,3,100,0.0114,bi_a100_b500_p20%_v3.col,0.0108
500,320,20,0.0086,320,376,600,10069,4,100,0.0122,bi_a100_b500_p20%_v4.col,0.0111
500,310,20,0.0079,310,358,600,9842,5,100,0.0116,bi_a100_b500_p20%_v5.col,0.0116
500,531,30,0.0172,531,517,600,15047,1,100,0.0229,bi_a100_b500_p30%_v1.col,0.0195
500,539,30,0.0173,539,525,600,15090,2,100,0.0236,bi_a100_b500_p30%_v2.col,0.0215
500,548,30,0.0185,548,528,600,15149,3,100,0.0243,bi_a100_b500_p30%_v3.col,0.022
500,537,30,0.0171,537,524,600,15116,4,100,0.0229,bi_a100_b500_p30%_v4.col,0.0197
500,539,30,0.0172,539,529,600,14883,5,100,0.0228,bi_a100_b500_p30%_v5.col,0.0212
500,567,40,0.0277,567,551,600,20050,1,100,0.0358,bi_a100_b500_p40%_v1.col,0.0318
500,564,40,0.0284,564,554,600,19920,2,100,0.0364,bi_a100_b500_p40%_v2.col,0.037
500,567,40,0.0278,567,552,600,20094,3,100,0.0358,bi_a100_b500_p40%_v3.col,0.0384
500,565,40,0.0281,565,552,600,20053,4,100,0.0363,bi_a100_b500_p40%_v4.col,0.036
500,569,40,0.0271,569,553,600,20043,5,100,0.0353,bi_a100_b500_p40%_v5.col,0.0354
500,578,50,0.0412,578,570,600,25075,1,100,0.0524,bi_a100_b500_p50%_v1.col,0.0433
500,577,50,0.0416,577,571,600,24945,2,100,0.0526,bi_a100_b500_p50%_v2.col,0.0539
500,576,50,0.0417,576,568,600,24951,3,100,0.0529,bi_a100_b500_p50%_v3.col,0.0503
500,579,50,0.0402,579,569,600,25104,4,100,0.0514,bi_a100_b500_p50%_v4.col,0.0613
500,577,50,0.0444,577,569,600,24738,5,100,0.0499,bi_a100_b500_p50%_v5.col,0.0507
500,584,60,0.0535,584,580,600,29954,1,100,0.0704,bi_a100_b500_p60%_v1.col,0.071
500,584,60,0.0543,584,578,600,29933,2,100,0.0677,bi_a100_b500_p60%_v2.col,0.0655
500,585,60,0.0604,585,579,600,30037,3,100,0.0693,bi_a100_b500_p60%_v3.col,0.0601
500,587,60,0.0537,587,578,600,30038,4,100,0.0682,bi_a100_b500_p60%_v4.col,0.0681
500,584,60,0.0556,584,581,600,30091,5,100,0.07,bi_a100_b500_p60%_v5.col,0.0723
500,590,70,0.0721,590,587,600,35049,1,100,0.0911,bi_a100_b500_p70%_v1.col,0.0894
500,590,70,0.0703,590,585,600,35055,2,100,0.0894,bi_a100_b500_p70%_v2.col,0.0806
500,589,70,0.0699,589,584,600,34835,3,100,0.0895,bi_a100_b500_p70%_v3.col,0.076
500,588,70,0.0693,588,585,600,34933,4,100,0.0886,bi_a100_b500_p70%_v4.col,0.0804
500,590,70,0.073,590,586,600,34887,5,100,0.0915,bi_a100_b500_p70%_v5.col,0.0784
500,593,80,0.097,593,591,600,40002,1,100,0.1217,bi_a100_b500_p80%_v1.col,0.1028
500,593,80,0.0926,593,591,600,39945,2,100,0.1167,bi_a100_b500_p80%_v2.col,0.1025
500,594,80,0.0903,594,589,600,40056,3,100,0.1137,bi_a100_b500_p80%_v3.col,0.1036
500,593,80,0.0891,593,591,600,39985,4,100,0.1133,bi_a100_b500_p80%_v4.col,0.0928
500,593,80,0.0949,593,591,600,39903,5,100,0.1121,bi_a100_b500_p80%_v5.col,0.0984
500,595,90,0.1018,595,595,600,45019,1,100,0.1282,bi_a100_b500_p90%_v1.col,0.1072
500,595,90,0.1079,595,594,600,44905,2,100,0.1356,bi_a100_b500_p90%_v2.col,0.1068
500,596,90,0.1044,596,594,600,44855,3,100,0.1317,bi_a100_b500_p90%_v3.col,0.0988
500,596,90,0.1015,596,595,600,45060,4,100,0.1294,bi_a100_b500_p90%_v4.col,0.0985
500,595,90,0.1023,595,594,600,44926,5,100,0.1288,bi_a100_b500_p90%_v5.col,0.0977
1000,248,1,0.0029,246,104,1100,1016,1,100,0.0052,bi_a100_b1000_p01%_v1.col,0.0013
1000,299,1,0.003,299,103,1100,985,2,100,0.0053,bi_a100_b1000_p01%_v2.col,0.0013
1000,229,1,0.0028,229,102,1100,1007,3,100,0.0051,bi_a100_b1000_p01%_v3.col,0.0013
1000,272,1,0.003,272,103,1100,1017,4,100,0.0053,bi_a100_b1000_p01%_v4.col,0.0013
1000,248,1,0.0028,246,103,1100,996,5,100,0.0051,bi_a100_b1000_p01%_v5.col,0.0012
1000,186,3,0.0041,186,128,1100,2996,1,100,0.007,bi_a100_b1000_p03%_v1.col,0.0021
1000,188,3,0.0042,188,134,1100,2967,2,100,0.007,bi_a100_b1000_p03%_v2.col,0.0022
1000,192,3,0.0042,192,130,1100,2949,3,100,0.007,bi_a100_b1000_p03%_v3.col,0.0021
1000,186,3,0.004,186,133,1100,2942,4,100,0.0069,bi_a100_b1000_p03%_v4.col,0.0021
1000,207,3,0.0043,207,129,1100,2936,5,100,0.0071,bi_a100_b1000_p03%_v5.col,0.0021
