instancia,a,b,p,v,N,M,melhor_chi,tempo_melhor,heuristica_vencedora
bi_a100_b100_p03%_v1.col,100,100,3,1,200,306,66,0.9264,MaxGrau
bi_a100_b100_p70%_v3.col,100,100,70,3,200,6983,189,0.2553,MinGrau
