instancia,a,b,p,v,N,M,mean_chi,se_chi,mean_time,se_time
bi_a100_b100_p03%_v1.col,100,100,3,1,200,306,55.0,0.84,4.79848,0.34007
bi_a100_b100_p70%_v3.col,100,100,70,3,200,6983,186.8,0.2,284.39291,7.57965
