instancia,a,b,p,v,N,M,chi_sat,tempo_sat,chi_min,tempo_min,chi_max,tempo_max
bi_a100_b100_p03%_v1.col,100,100,3,1,200,306,77,0.2619,76,0.0116,66,0.9264
bi_a100_b100_p70%_v3.col,100,100,70,3,200,6983,190,0.2563,189,0.2553,191,0.272
