N,p,n,M,v,mean_time,se_time,instancia,mean_chi,se_chi
100,1,100,51,1,0.3015,0.29358,simples_n100_p01%_v1.col,24.0,0.0
100,1,100,48,2,0.00746,4.0e-5,simples_n100_p01%_v2.col,21.2,0.37417
100,1,100,43,3,0.00772,1.0e-5,simples_n100_p01%_v3.col,22.2,0.2
100,1,100,51,4,0.00843,8.0e-5,simples_n100_p01%_v4.col,23.8,0.2
100,1,100,56,5,0.02497,0.01589,simples_n100_p01%_v5.col,26.8,0.5831
100,3,100,155,1,0.01618,0.0002,simples_n100_p03%_v1.col,26.2,0.37417
100,3,100,154,2,0.01662,0.00013,simples_n100_p03%_v2.col,27.8,0.4899
100,3,100,151,3,0.01997,0.00228,simples_n100_p03%_v3.col,26.2,0.5831
100,3,100,149,4,0.01679,7.0e-5,simples_n100_p03%_v4.col,27.4,0.5099
100,3,100,161,5,0.01835,0.00012,simples_n100_p03%_v5.col,28.0,0.44721
100,5,100,213,1,0.0215,0.00122,simples_n100_p05%_v1.col,28.4,0.24495
100,5,100,253,2,0.02316,0.00103,simples_n100_p05%_v2.col,31.2,0.37417
100,5,100,268,3,0.02293,0.00069,simples_n100_p05%_v3.col,31.8,0.37417
100,5,100,219,4,0.02178,0.00075,simples_n100_p05%_v4.col,29.0,0.31623
100,5,100,271,5,0.02402,0.00073,simples_n100_p05%_v5.col,32.0,0.31623
100,10,100,499,1,0.0366,0.00066,simples_n100_p10%_v1.col,47.4,0.24495
100,10,100,493,2,0.03657,0.00062,simples_n100_p10%_v2.col,47.0,0.31623
100,10,100,548,3,0.04026,0.0005,simples_n100_p10%_v3.col,50.4,0.24495
100,10,100,520,4,0.03835,0.00053,simples_n100_p10%_v4.col,49.0,0.31623
100,10,100,513,5,0.03624,0.00058,simples_n100_p10%_v5.col,48.6,0.24495
100,20,100,993,1,0.07852,0.00079,simples_n100_p20%_v1.col,80.2,0.2
100,20,100,992,2,0.07963,0.00051,simples_n100_p20%_v2.col,79.8,0.2
100,20,100,991,4,0.16704,0.08806,simples_n100_p20%_v4.col,80.8,0.2
100,30,100,1444,1,0.12827,0.00255,simples_n100_p30%_v1.col,100.0,0.0
100,30,100,1480,2,0.12471,0.00181,simples_n100_p30%_v2.col,100.0,0.0
100,30,100,1454,3,0.12183,0.00141,simples_n100_p30%_v3.col,99.0,0.0
100,30,100,1455,4,0.12485,0.00061,simples_n100_p30%_v4.col,99.0,0.0
100,30,100,1472,5,0.12559,0.00057,simples_n100_p30%_v5.col,100.0,0.0
100,40,100,1963,1,0.20036,0.00052,simples_n100_p40%_v1.col,100.0,0.0
100,40,100,1948,2,0.19919,0.00127,simples_n100_p40%_v2.col,100.0,0.0
100,40,100,1980,3,0.21065,0.00663,simples_n100_p40%_v3.col,100.0,0.0
100,40,100,1970,4,0.1992,0.00069,simples_n100_p40%_v4.col,100.0,0.0
100,40,100,1946,5,0.19617,0.00096,simples_n100_p40%_v5.col,100.0,0.0
100,50,100,2528,1,0.3029,0.00073,simples_n100_p50%_v1.col,100.0,0.0
100,50,100,2487,2,0.29416,0.00049,simples_n100_p50%_v2.col,100.0,0.0
100,50,100,2456,3,0.28787,0.00027,simples_n100_p50%_v3.col,100.0,0.0
100,50,100,2556,4,0.30788,0.00064,simples_n100_p50%_v4.col,100.0,0.0
100,50,100,2507,5,0.30136,0.00241,simples_n100_p50%_v5.col,100.0,0.0
100,60,100,2969,1,0.42981,0.00231,simples_n100_p60%_v1.col,100.0,0.0
100,60,100,3005,2,0.4373,0.00201,simples_n100_p60%_v2.col,100.0,0.0
100,60,100,2954,3,0.42819,0.00131,simples_n100_p60%_v3.col,100.0,0.0
100,60,100,2967,4,0.42808,0.00238,simples_n100_p60%_v4.col,100.0,0.0
100,60,100,3018,5,0.43726,0.00182,simples_n100_p60%_v5.col,100.0,0.0
100,70,100,3482,1,0.5429,0.00198,simples_n100_p70%_v1.col,100.0,0.0
100,70,100,3500,2,0.54596,0.00115,simples_n100_p70%_v2.col,100.0,0.0
100,70,100,3429,3,0.62123,0.09583,simples_n100_p70%_v3.col,100.0,0.0
100,70,100,3413,4,0.52082,0.00305,simples_n100_p70%_v4.col,100.0,0.0
100,70,100,3490,5,0.54273,0.00092,simples_n100_p70%_v5.col,100.0,0.0
100,80,100,3983,1,0.64885,0.0023,simples_n100_p80%_v1.col,100.0,0.0
100,80,100,3972,2,0.6493,0.00208,simples_n100_p80%_v2.col,100.0,0.0
100,80,100,3983,3,0.65016,0.00151,simples_n100_p80%_v3.col,100.0,0.0
100,80,100,3941,4,0.63612,0.00087,simples_n100_p80%_v4.col,100.0,0.0
100,80,100,3970,5,0.64854,0.00102,simples_n100_p80%_v5.col,100.0,0.0
100,90,100,4487,1,0.71175,0.00131,simples_n100_p90%_v1.col,100.0,0.0
100,90,100,4447,2,0.71534,0.00114,simples_n100_p90%_v2.col,100.0,0.0
100,90,100,4482,3,0.71035,0.00178,simples_n100_p90%_v3.col,100.0,0.0
100,90,100,4505,4,0.70519,0.00107,simples_n100_p90%_v4.col,100.0,0.0
100,90,100,4468,5,0.706,0.00087,simples_n100_p90%_v5.col,100.0,0.0
