chi_sat,M_real,tempo_max,chi_max,chi_min,v_config,p_config,tempo_sat,n_config,N_real,instancia,tempo_min
273,11366,0.012338,230,375,1,1,0.02023,1500,1500,simples_n1500_p01%_v1.col,0.014716
286,11342,0.012721,248,369,2,1,0.020648,1500,1500,simples_n1500_p01%_v2.col,0.016361
280,11148,0.012424,243,333,3,1,0.020263,1500,1500,simples_n1500_p01%_v3.col,0.014163
284,11074,0.013181,242,329,4,1,0.02095,1500,1500,simples_n1500_p01%_v4.col,0.013749
274,11227,0.012326,226,350,5,1,0.020354,1500,1500,simples_n1500_p01%_v5.col,0.014633
606,33773,0.028985,579,658,1,3,0.044826,1500,1500,simples_n1500_p03%_v1.col,0.027366
603,33497,0.028662,573,647,2,3,0.044337,1500,1500,simples_n1500_p03%_v2.col,0.048248
601,33732,0.028961,571,658,3,3,0.044885,1500,1500,simples_n1500_p03%_v3.col,0.027292
607,33940,0.028724,580,651,4,3,0.045126,1500,1500,simples_n1500_p03%_v4.col,0.027451
607,33924,0.028883,576,667,5,3,0.044701,1500,1500,simples_n1500_p03%_v5.col,0.027372
945,56316,0.067033,883,996,1,5,0.087661,1500,1500,simples_n1500_p05%_v1.col,0.059154
940,56011,0.066493,883,991,2,5,0.087044,1500,1500,simples_n1500_p05%_v2.col,0.058519
929,55766,0.056801,884,1003,3,5,0.084192,1500,1500,simples_n1500_p05%_v3.col,0.055064
945,56187,0.057235,894,1009,4,5,0.085388,1500,1500,simples_n1500_p05%_v4.col,0.055705
932,56021,0.05797,899,1003,5,5,0.084845,1500,1500,simples_n1500_p05%_v5.col,0.056243
1500,112217,0.185871,1500,1500,1,10,0.254606,1500,1500,simples_n1500_p10%_v1.col,0.19074
1500,112691,0.188811,1500,1500,2,10,0.257384,1500,1500,simples_n1500_p10%_v2.col,0.188886
1500,112672,0.186279,1500,1500,3,10,0.261548,1500,1500,simples_n1500_p10%_v3.col,0.186207
1499,112801,0.187491,1499,1499,4,10,0.255237,1500,1500,simples_n1500_p10%_v4.col,0.186937
1500,112693,0.192509,1500,1500,5,10,0.25943,1500,1500,simples_n1500_p10%_v5.col,0.186356
1500,224745,1.007043,1500,1500,1,20,0.893838,1500,1500,simples_n1500_p20%_v1.col,0.68607
1500,225120,0.674216,1500,1500,2,20,0.889564,1500,1500,simples_n1500_p20%_v2.col,0.676527
1500,224419,0.720864,1500,1500,3,20,0.883377,1500,1500,simples_n1500_p20%_v3.col,0.673082
1500,225907,0.687977,1500,1500,4,20,0.897716,1500,1500,simples_n1500_p20%_v4.col,0.689023
1500,224803,0.713023,1500,1500,5,20,0.889995,1500,1500,simples_n1500_p20%_v5.col,0.676636
1500,337438,1.475674,1500,1500,1,30,1.948574,1500,1500,simples_n1500_p30%_v1.col,1.470202
1500,337407,1.477115,1500,1500,2,30,1.908163,1500,1500,simples_n1500_p30%_v2.col,1.473184
