N,p,n,M,v,mean_time,se_time,instancia,mean_chi,se_chi
2000,1,2000,20148,1,452.46556,59.75618,simples_n2000_p01%_v1.col,348.6,0.4
2000,1,2000,19958,2,586.6383,143.7278,simples_n2000_p01%_v2.col,346.8,0.91652
2000,1,2000,20227,3,525.51453,56.88031,simples_n2000_p01%_v3.col,350.6,0.6
2000,1,2000,20220,4,450.34155,69.48841,simples_n2000_p01%_v4.col,350.6,0.6
2000,1,2000,19902,5,453.13542,54.06705,simples_n2000_p01%_v5.col,345.0,0.83666
2000,3,2000,59842,1,1686.38878,133.37072,simples_n2000_p03%_v1.col,861.8,0.86023
2000,3,2000,60488,2,1842.04179,200.24834,simples_n2000_p03%_v2.col,867.0,1.22474
2000,3,2000,60146,3,1471.89873,147.28343,simples_n2000_p03%_v3.col,864.4,1.36382
2000,3,2000,59866,4,1484.8925,134.22495,simples_n2000_p03%_v4.col,861.8,0.86023
2000,3,2000,59882,5,1464.16942,217.83036,simples_n2000_p03%_v5.col,864.4,2.74955
2000,5,2000,100255,1,3290.65455,346.69095,simples_n2000_p05%_v1.col,1391.6,1.91311
2000,5,2000,100340,2,3550.01887,485.72621,simples_n2000_p05%_v2.col,1389.0,3.47851
2000,5,2000,100077,3,3736.76262,363.93612,simples_n2000_p05%_v3.col,1385.8,4.64112
2000,5,2000,100159,4,3434.00376,410.81836,simples_n2000_p05%_v4.col,1389.0,4.02492
2000,5,2000,100013,5,4491.30646,827.33232,simples_n2000_p05%_v5.col,1385.4,3.85487
2000,10,2000,200162,1,99.23639,0.75565,simples_n2000_p10%_v1.col,2000.0,0.0
2000,10,2000,199606,2,94.13875,0.04743,simples_n2000_p10%_v2.col,2000.0,0.0
2000,10,2000,199295,3,94.17054,0.07653,simples_n2000_p10%_v3.col,2000.0,0.0
2000,10,2000,200272,4,95.83714,0.17345,simples_n2000_p10%_v4.col,2000.0,0.0
2000,10,2000,199600,5,94.91328,0.27838,simples_n2000_p10%_v5.col,2000.0,0.0
2000,20,2000,399450,1,352.33955,0.55615,simples_n2000_p20%_v1.col,2000.0,0.0
2000,20,2000,398863,2,352.01839,0.41776,simples_n2000_p20%_v2.col,2000.0,0.0
2000,20,2000,400017,3,351.95727,0.48178,simples_n2000_p20%_v3.col,2000.0,0.0
2000,20,2000,399528,4,351.45146,0.31979,simples_n2000_p20%_v4.col,2000.0,0.0
2000,20,2000,398829,5,347.9927,1.09674,simples_n2000_p20%_v5.col,2000.0,0.0
2000,30,2000,600020,1,761.69272,2.24534,simples_n2000_p30%_v1.col,2000.0,0.0
2000,30,2000,599634,2,771.25253,1.34864,simples_n2000_p30%_v2.col,2000.0,0.0
2000,30,2000,600474,3,767.64593,2.09583,simples_n2000_p30%_v3.col,2000.0,0.0
2000,30,2000,599638,4,773.83687,0.90738,simples_n2000_p30%_v4.col,2000.0,0.0
2000,30,2000,599567,5,774.6017,0.45878,simples_n2000_p30%_v5.col,2000.0,0.0
2000,40,2000,798960,1,1352.49402,3.76161,simples_n2000_p40%_v1.col,2000.0,0.0
2000,40,2000,799929,2,1356.18021,5.90128,simples_n2000_p40%_v2.col,2000.0,0.0
2000,40,2000,799919,3,1369.99843,2.0761,simples_n2000_p40%_v3.col,2000.0,0.0
2000,40,2000,801234,4,1356.41386,2.17741,simples_n2000_p40%_v4.col,2000.0,0.0
2000,40,2000,799385,5,1351.09058,2.45767,simples_n2000_p40%_v5.col,2000.0,0.0
2000,50,2000,1001061,1,2025.42225,15.80495,simples_n2000_p50%_v1.col,2000.0,0.0
2000,50,2000,999330,2,2068.44074,6.15909,simples_n2000_p50%_v2.col,2000.0,0.0
2000,50,2000,999624,3,2060.07945,15.28884,simples_n2000_p50%_v3.col,2000.0,0.0
2000,50,2000,999501,4,2005.79045,0.47755,simples_n2000_p50%_v4.col,2000.0,0.0
2000,50,2000,1000308,5,2009.75243,0.44022,simples_n2000_p50%_v5.col,2000.0,0.0
2000,60,2000,1198681,1,2845.48173,0.49403,simples_n2000_p60%_v1.col,2000.0,0.0
2000,60,2000,1198508,2,2843.78202,0.67005,simples_n2000_p60%_v2.col,2000.0,0.0
2000,60,2000,1200267,3,2944.26667,19.68408,simples_n2000_p60%_v3.col,2000.0,0.0
2000,60,2000,1199581,4,2897.98925,11.90787,simples_n2000_p60%_v4.col,2000.0,0.0
2000,60,2000,1200521,5,2884.05357,11.45887,simples_n2000_p60%_v5.col,2000.0,0.0
2000,70,2000,1399527,1,4030.75138,5.03104,simples_n2000_p70%_v1.col,2000.0,0.0
2000,70,2000,1399581,2,4031.92625,5.75364,simples_n2000_p70%_v2.col,2000.0,0.0
2000,70,2000,1398845,3,4025.56243,1.18366,simples_n2000_p70%_v3.col,2000.0,0.0
2000,70,2000,1399060,4,4027.00831,0.91571,simples_n2000_p70%_v4.col,2000.0,0.0
2000,70,2000,1399275,5,4028.18788,3.41695,simples_n2000_p70%_v5.col,2000.0,0.0
2000,80,2000,1599409,1,5193.32244,1.87986,simples_n2000_p80%_v1.col,2000.0,0.0
