n_config,tempo_melhor,v_config,N_real,melhor_chi,instancia,heuristica_vencedora,M_real,p_config
1000,0.004501,1,1000,169,simples_n1000_p01%_v1.col,MaxGrau,4972,1
1000,0.004597,2,1000,172,simples_n1000_p01%_v2.col,MaxGrau,4997,1
1000,0.004413,3,1000,161,simples_n1000_p01%_v3.col,MaxGrau,5119,1
1000,0.004439,4,1000,186,simples_n1000_p01%_v4.col,MaxGrau,4875,1
1000,0.004502,5,1000,185,simples_n1000_p01%_v5.col,MaxGrau,4914,1
1000,0.010832,1,1000,333,simples_n1000_p03%_v1.col,MaxGrau,15032,3
1000,0.01089,2,1000,327,simples_n1000_p03%_v2.col,MaxGrau,14860,3
1000,0.010218,3,1000,330,simples_n1000_p03%_v3.col,MaxGrau,14977,3
1000,0.011085,4,1000,331,simples_n1000_p03%_v4.col,MaxGrau,15042,3
1000,0.010821,5,1000,327,simples_n1000_p03%_v5.col,MaxGrau,14848,3
1000,0.019107,1,1000,507,simples_n1000_p05%_v1.col,MaxGrau,25093,5
1000,0.018896,2,1000,505,simples_n1000_p05%_v2.col,MaxGrau,25053,5
1000,0.018473,3,1000,508,simples_n1000_p05%_v3.col,MaxGrau,25160,5
1000,0.018447,4,1000,502,simples_n1000_p05%_v4.col,MaxGrau,24797,5
1000,0.018871,5,1000,501,simples_n1000_p05%_v5.col,MaxGrau,24991,5
1000,0.06125,1,1000,986,simples_n1000_p10%_v1.col,MaxGrau,50462,10
1000,0.057022,2,1000,980,simples_n1000_p10%_v2.col,MaxGrau,50213,10
1000,0.056831,3,1000,984,simples_n1000_p10%_v3.col,MinGrau,49945,10
1000,0.057267,4,1000,983,simples_n1000_p10%_v4.col,MaxGrau,50219,10
1000,0.056558,5,1000,987,simples_n1000_p10%_v5.col,MaxGrau,49888,10
1000,0.201717,1,1000,1000,simples_n1000_p20%_v1.col,MaxGrau,100166,20
1000,0.200728,2,1000,1000,simples_n1000_p20%_v2.col,MaxGrau,99937,20
1000,0.201547,3,1000,1000,simples_n1000_p20%_v3.col,MinGrau,99503,20
1000,0.201538,4,1000,1000,simples_n1000_p20%_v4.col,MaxGrau,99768,20
1000,0.198907,5,1000,1000,simples_n1000_p20%_v5.col,MaxGrau,99473,20
1000,0.427675,1,1000,1000,simples_n1000_p30%_v1.col,MinGrau,149824,30
1000,0.439943,2,1000,1000,simples_n1000_p30%_v2.col,MinGrau,149947,30
1000,0.425737,3,1000,1000,simples_n1000_p30%_v3.col,MinGrau,149431,30
1000,0.427126,4,1000,1000,simples_n1000_p30%_v4.col,MaxGrau,149807,30
1000,0.430598,5,1000,1000,simples_n1000_p30%_v5.col,MinGrau,149667,30
1000,0.748632,1,1000,1000,simples_n1000_p40%_v1.col,MinGrau,199724,40
1000,0.779384,2,1000,1000,simples_n1000_p40%_v2.col,MaxGrau,199519,40
1000,0.766631,3,1000,1000,simples_n1000_p40%_v3.col,MinGrau,199351,40
1000,0.770398,4,1000,1000,simples_n1000_p40%_v4.col,MinGrau,199889,40
1000,0.779318,5,1000,1000,simples_n1000_p40%_v5.col,MinGrau,199704,40
1000,1.186599,1,1000,1000,simples_n1000_p50%_v1.col,MaxGrau,249890,50
1000,1.216528,2,1000,1000,simples_n1000_p50%_v2.col,MinGrau,249852,50
1000,1.229468,3,1000,1000,simples_n1000_p50%_v3.col,MinGrau,249634,50
1000,1.258002,4,1000,1000,simples_n1000_p50%_v4.col,MaxGrau,250057,50
1000,1.229482,5,1000,1000,simples_n1000_p50%_v5.col,MaxGrau,249847,50
1000,1.748741,1,1000,1000,simples_n1000_p60%_v1.col,MaxGrau,299535,60
1000,1.73545,2,1000,1000,simples_n1000_p60%_v2.col,MaxGrau,300172,60
1000,1.731457,3,1000,1000,simples_n1000_p60%_v3.col,MinGrau,300038,60
1000,1.779459,4,1000,1000,simples_n1000_p60%_v4.col,MinGrau,299442,60
1000,1.737897,5,1000,1000,simples_n1000_p60%_v5.col,MinGrau,299127,60
1000,2.461021,1,1000,1000,simples_n1000_p70%_v1.col,MinGrau,349750,70
1000,2.307654,2,1000,1000,simples_n1000_p70%_v2.col,MaxGrau,349819,70
1000,2.309711,3,1000,1000,simples_n1000_p70%_v3.col,MinGrau,350170,70
1000,2.314194,4,1000,1000,simples_n1000_p70%_v4.col,MaxGrau,349548,70
1000,2.375415,5,1000,1000,simples_n1000_p70%_v5.col,MinGrau,349995,70
1000,3.053043,1,1000,1000,simples_n1000_p80%_v1.col,MaxGrau,399441,80
1000,3.073091,2,1000,1000,simples_n1000_p80%_v2.col,MaxGrau,399599,80
1000,3.054032,3,1000,1000,simples_n1000_p80%_v3.col,MinGrau,400003,80
1000,3.136177,4,1000,1000,simples_n1000_p80%_v4.col,MinGrau,399849,80
1000,3.133928,5,1000,1000,simples_n1000_p80%_v5.col,MaxGrau,399695,80
1000,3.835072,1,1000,1000,simples_n1000_p90%_v1.col,MaxGrau,449228,90
1000,3.71273,2,1000,1000,simples_n1000_p90%_v2.col,MinGrau,449678,90
1000,3.713116,3,1000,1000,simples_n1000_p90%_v3.col,MinGrau,449857,90
1000,3.690681,4,1000,1000,simples_n1000_p90%_v4.col,MinGrau,449445,90
1000,3.719492,5,1000,1000,simples_n1000_p90%_v5.col,MaxGrau,449707,90
