n_config,tempo_melhor,v_config,N_real,melhor_chi,instancia,heuristica_vencedora,M_real,p_config
1500,0.012338,1,1500,230,simples_n1500_p01%_v1.col,MaxGrau,11366,1
1500,0.012721,2,1500,248,simples_n1500_p01%_v2.col,MaxGrau,11342,1
1500,0.012424,3,1500,243,simples_n1500_p01%_v3.col,MaxGrau,11148,1
1500,0.013181,4,1500,242,simples_n1500_p01%_v4.col,MaxGrau,11074,1
1500,0.012326,5,1500,226,simples_n1500_p01%_v5.col,MaxGrau,11227,1
1500,0.028985,1,1500,579,simples_n1500_p03%_v1.col,MaxGrau,33773,3
1500,0.028662,2,1500,573,simples_n1500_p03%_v2.col,MaxGrau,33497,3
1500,0.028961,3,1500,571,simples_n1500_p03%_v3.col,MaxGrau,33732,3
1500,0.028724,4,1500,580,simples_n1500_p03%_v4.col,MaxGrau,33940,3
1500,0.028883,5,1500,576,simples_n1500_p03%_v5.col,MaxGrau,33924,3
1500,0.067033,1,1500,883,simples_n1500_p05%_v1.col,MaxGrau,56316,5
1500,0.066493,2,1500,883,simples_n1500_p05%_v2.col,MaxGrau,56011,5
1500,0.056801,3,1500,884,simples_n1500_p05%_v3.col,MaxGrau,55766,5
1500,0.057235,4,1500,894,simples_n1500_p05%_v4.col,MaxGrau,56187,5
1500,0.05797,5,1500,899,simples_n1500_p05%_v5.col,MaxGrau,56021,5
1500,0.185871,1,1500,1500,simples_n1500_p10%_v1.col,MaxGrau,112217,10
1500,0.188811,2,1500,1500,simples_n1500_p10%_v2.col,MaxGrau,112691,10
1500,0.186207,3,1500,1500,simples_n1500_p10%_v3.col,MinGrau,112672,10
1500,0.186937,4,1500,1499,simples_n1500_p10%_v4.col,MinGrau,112801,10
1500,0.186356,5,1500,1500,simples_n1500_p10%_v5.col,MinGrau,112693,10
1500,0.68607,1,1500,1500,simples_n1500_p20%_v1.col,MinGrau,224745,20
1500,0.674216,2,1500,1500,simples_n1500_p20%_v2.col,MaxGrau,225120,20
1500,0.673082,3,1500,1500,simples_n1500_p20%_v3.col,MinGrau,224419,20
1500,0.687977,4,1500,1500,simples_n1500_p20%_v4.col,MaxGrau,225907,20
1500,0.676636,5,1500,1500,simples_n1500_p20%_v5.col,MinGrau,224803,20
1500,1.470202,1,1500,1500,simples_n1500_p30%_v1.col,MinGrau,337438,30
1500,1.473184,2,1500,1500,simples_n1500_p30%_v2.col,MinGrau,337407,30
1500,1.503423,3,1500,1500,simples_n1500_p30%_v3.col,MaxGrau,337774,30
1500,1.566833,4,1500,1500,simples_n1500_p30%_v4.col,MaxGrau,337081,30
1500,1.529016,5,1500,1500,simples_n1500_p30%_v5.col,MinGrau,337047,30
1500,2.745061,1,1500,1500,simples_n1500_p40%_v1.col,MinGrau,449641,40
1500,2.737775,2,1500,1500,simples_n1500_p40%_v2.col,MinGrau,449668,40
1500,2.756881,3,1500,1500,simples_n1500_p40%_v3.col,MinGrau,449631,40
1500,2.720044,4,1500,1500,simples_n1500_p40%_v4.col,MaxGrau,449348,40
1500,2.681815,5,1500,1500,simples_n1500_p40%_v5.col,MaxGrau,450031,40
1500,4.15442,1,1500,1500,simples_n1500_p50%_v1.col,MaxGrau,560825,50
1500,4.356827,2,1500,1500,simples_n1500_p50%_v2.col,MaxGrau,562370,50
1500,4.385838,3,1500,1500,simples_n1500_p50%_v3.col,MinGrau,562325,50
1500,4.393783,4,1500,1500,simples_n1500_p50%_v4.col,MaxGrau,561533,50
1500,4.431817,5,1500,1500,simples_n1500_p50%_v5.col,MaxGrau,561820,50
1500,6.363304,1,1500,1500,simples_n1500_p60%_v1.col,MinGrau,674980,60
1500,6.450858,2,1500,1500,simples_n1500_p60%_v2.col,MinGrau,675035,60
1500,6.334842,3,1500,1500,simples_n1500_p60%_v3.col,MinGrau,673524,60
1500,6.312608,4,1500,1500,simples_n1500_p60%_v4.col,MinGrau,673908,60
1500,6.369772,5,1500,1500,simples_n1500_p60%_v5.col,MaxGrau,673927,60
1500,8.692068,1,1500,1500,simples_n1500_p70%_v1.col,MinGrau,787254,70
1500,8.607777,2,1500,1500,simples_n1500_p70%_v2.col,MinGrau,786348,70
1500,8.676973,3,1500,1500,simples_n1500_p70%_v3.col,MinGrau,787288,70
1500,8.77603,4,1500,1500,simples_n1500_p70%_v4.col,MaxGrau,786636,70
1500,10.539686,5,1500,1500,simples_n1500_p70%_v5.col,MaxGrau,787179,70
1500,12.179214,1,1500,1500,simples_n1500_p80%_v1.col,MinGrau,899947,80
1500,13.799473,2,1500,1500,simples_n1500_p80%_v2.col,MaxGrau,899114,80
1500,13.985264,3,1500,1500,simples_n1500_p80%_v3.col,MaxGrau,899160,80
1500,14.409418,4,1500,1500,simples_n1500_p80%_v4.col,MaxGrau,899083,80
1500,16.786542,5,1500,1500,simples_n1500_p80%_v5.col,MaxGrau,898806,80
1500,20.364018,1,1500,1500,simples_n1500_p90%_v1.col,MaxGrau,1012291,90
1500,22.835022,2,1500,1500,simples_n1500_p90%_v2.col,MaxGrau,1011429,90
1500,25.551249,3,1500,1500,simples_n1500_p90%_v3.col,MinGrau,1011851,90
1500,26.927263,4,1500,1500,simples_n1500_p90%_v4.col,MinGrau,1011205,90
1500,23.661722,5,1500,1500,simples_n1500_p90%_v5.col,MinGrau,1011484,90
