a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
100,100,200,1,92,1,1.6007685326,1.3005351180584845,41.2,0.7999999999999999,bi_a100_b100_p01%_v1.col
100,100,200,1,103,2,0.44901589680000004,0.1142412487862471,37.0,0.7071067811865476,bi_a100_b100_p01%_v2.col
100,100,200,3,306,1,0.9777091602000001,0.15420658367839157,43.0,0.31622776601683794,bi_a100_b100_p03%_v1.col
100,100,200,3,317,2,0.9296362528,0.14368367249620406,42.8,2.1540659228538015,bi_a100_b100_p03%_v2.col
100,100,200,5,497,1,1.1512230860000001,0.17025259187170685,42.6,0.6,bi_a100_b100_p05%_v1.col
100,100,200,5,488,2,1.1182917794,0.08542330135724396,41.6,0.6782329983125268,bi_a100_b100_p05%_v2.col
100,100,200,10,971,1,0.9188215754,0.11241699916197316,65.0,0.0,bi_a100_b100_p10%_v1.col
100,100,200,10,922,2,1.0127085108,0.1995278180741221,62.4,0.39999999999999997,bi_a100_b100_p10%_v2.col
100,100,200,20,1973,1,2.1829970399999996,0.19961141229015683,107.2,0.3741657386773941,bi_a100_b100_p20%_v1.col
100,100,200,20,2003,2,2.8368334062,0.25174779104790485,108.6,0.24494897427831777,bi_a100_b100_p20%_v2.col
100,100,200,30,2897,1,3.6719673552000005,0.33852755640582527,140.6,0.24494897427831777,bi_a100_b100_p30%_v1.col
100,100,200,30,3016,2,2.7252597498,0.29137755122533215,144.2,0.3741657386773941,bi_a100_b100_p30%_v2.col
100,100,200,40,3953,1,5.790271863999999,0.5813922514078353,160.4,0.24494897427831777,bi_a100_b100_p40%_v1.col
100,100,200,40,4048,2,4.272391453,0.19501488937634479,163.8,0.19999999999999998,bi_a100_b100_p40%_v2.col
100,100,200,50,5022,1,8.2835025328,1.102351259596552,173.6,0.24494897427831777,bi_a100_b100_p50%_v1.col
100,100,200,50,5019,2,8.946732509399999,0.9737803872188733,173.4,0.24494897427831777,bi_a100_b100_p50%_v2.col
100,100,200,60,6000,1,9.0193570362,0.9899023981503674,181.6,0.24494897427831777,bi_a100_b100_p60%_v1.col
100,100,200,60,5978,2,9.6997153132,1.1298245671595302,181.6,0.24494897427831777,bi_a100_b100_p60%_v2.col
100,100,200,70,7039,1,10.897140105999998,0.5748759560607871,187.4,0.24494897427831777,bi_a100_b100_p70%_v1.col
100,100,200,70,7044,2,14.0190318254,1.4097873619310324,187.2,0.2,bi_a100_b100_p70%_v2.col
100,100,200,80,8007,1,12.0399260434,0.44525457395329016,190.6,0.24494897427831777,bi_a100_b100_p80%_v1.col
100,100,200,80,7988,2,12.827930259800002,0.9977360589682084,190.2,0.19999999999999998,bi_a100_b100_p80%_v2.col
100,100,200,90,9021,1,12.995528329199999,0.4888200417655874,194.0,0.0,bi_a100_b100_p90%_v1.col
100,100,200,90,8994,2,14.077492456800002,1.604120116680862,193.8,0.19999999999999998,bi_a100_b100_p90%_v2.col
100,500,600,1,525,1,5.294251291799999,0.9458997728762844,77.4,1.4352700094407322,bi_a100_b500_p01%_v1.col
100,500,600,1,516,2,4.963350322799999,0.6940613667796292,76.8,2.8,bi_a100_b500_p01%_v2.col
100,500,600,3,1537,1,5.430581163800001,0.9269334639708793,83.8,1.5937377450509227,bi_a100_b500_p03%_v1.col
100,500,600,3,1444,2,5.137098798,0.6348825302767654,84.6,1.6911534525287761,bi_a100_b500_p03%_v2.col
100,500,600,5,2497,1,5.128197920400001,0.5349179668995957,99.6,0.39999999999999997,bi_a100_b500_p05%_v1.col
100,500,600,5,2502,2,5.809768017,0.14394510894152632,98.2,0.3741657386773941,bi_a100_b500_p05%_v2.col
100,500,600,10,5152,1,13.8841179418,2.0505053094447914,163.6,0.39999999999999997,bi_a100_b500_p10%_v1.col
100,500,600,10,4977,2,9.6437098036,1.1702473117155197,158.2,0.3741657386773941,bi_a100_b500_p10%_v2.col
100,500,600,20,10077,1,48.02329541980001,3.642739209552287,334.8,1.1135528725660042,bi_a100_b500_p20%_v1.col
100,500,600,20,10063,2,45.136241294399994,5.640210797118253,332.6,0.8717797887081347,bi_a100_b500_p20%_v2.col
100,500,600,30,15047,1,60.0982236338,8.369753314827696,513.6,0.24494897427831783,bi_a100_b500_p30%_v1.col
100,500,600,30,15090,2,53.071550026,5.904754416908318,522.0,0.4472135954999579,bi_a100_b500_p30%_v2.col
100,500,600,40,20050,1,77.17973555799999,10.637367547524958,551.8,0.3741657386773941,bi_a100_b500_p40%_v1.col
100,500,600,40,19920,2,81.3834982562,7.32898876749034,550.6,0.24494897427831783,bi_a100_b500_p40%_v2.col
100,500,600,50,25075,1,135.3437833492,12.823935684263711,567.4,0.24494897427831783,bi_a100_b500_p50%_v1.col
