a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
500,500,1000,5,12517,2,136.123239345,19.88619260242939,294.6,0.6782329983125268,bi_a500_b500_p05%_v2.col
500,500,1000,10,25253,1,565.2202204409999,77.49216595559407,514.0,1.9235384061671343,bi_a500_b500_p10%_v1.col
500,500,1000,10,24872,2,526.5995489643999,58.55324606634165,506.2,0.58309518948453,bi_a500_b500_p10%_v2.col
500,500,1000,20,50042,1,1076.5783399404002,113.87705381417094,794.8,1.4966629547095764,bi_a500_b500_p20%_v1.col
500,500,1000,20,50009,2,1031.4257660061999,64.46283371705769,793.0,1.3038404810405297,bi_a500_b500_p20%_v2.col
500,500,1000,30,75280,1,1858.9801473658001,117.3547736583337,895.8,0.3741657386773941,bi_a500_b500_p30%_v1.col
500,500,1000,30,75133,2,1880.8147149514,239.23128336501279,895.4,0.5099019513592785,bi_a500_b500_p30%_v2.col
500,500,1000,40,100391,1,2106.0054458584,115.44080801539731,939.4,0.39999999999999997,bi_a500_b500_p40%_v1.col
500,500,1000,40,100075,2,2462.6344302284,304.4045272662587,938.2,0.58309518948453,bi_a500_b500_p40%_v2.col
500,500,1000,50,124819,1,3154.5048625932004,146.51399348063896,960.2,0.3741657386773941,bi_a500_b500_p50%_v1.col
500,500,1000,50,125009,2,3465.9442495247995,416.12236713293566,960.2,0.3741657386773941,bi_a500_b500_p50%_v2.col
500,500,1000,60,149899,1,3041.744589381,208.8413296008102,973.2,0.3741657386773941,bi_a500_b500_p60%_v1.col
500,500,1000,60,149722,2,4035.1925255940005,573.3491295988492,972.2,0.19999999999999998,bi_a500_b500_p60%_v2.col
500,500,1000,70,175289,1,4022.9294963044,110.81508775512945,981.6,0.4,bi_a500_b500_p70%_v1.col
500,500,1000,70,174970,2,4870.3835519888,675.8402898211898,981.6,0.24494897427831783,bi_a500_b500_p70%_v2.col
500,500,1000,80,199919,1,5423.451544993601,732.213807974238,986.8,0.20000000000000004,bi_a500_b500_p80%_v1.col
500,500,1000,80,200277,2,6548.108252060201,412.7214661951101,987.0,0.0,bi_a500_b500_p80%_v2.col
500,500,1000,90,224990,1,5273.125938754,597.3182481964238,991.6,0.24494897427831783,bi_a500_b500_p90%_v1.col
500,500,1000,90,225217,2,4420.4569486502,274.7872606869824,991.6,0.24494897427831783,bi_a500_b500_p90%_v2.col
