a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,instancia
100,100,200,1,92,1,3.0743799222000003,1.879948678610199,40.2,0.7348469228349533,bi_a100_b100_p01%_v1.col
100,100,200,1,103,2,0.974702768,0.1350721944610123,37.6,0.6782329983125267,bi_a100_b100_p01%_v2.col
100,100,200,3,306,1,2.9292848606,0.37426022242951973,41.6,0.39999999999999997,bi_a100_b100_p03%_v1.col
100,100,200,3,317,2,2.5341665751999995,0.3920436612369001,40.6,0.6,bi_a100_b100_p03%_v2.col
100,100,200,5,497,1,2.5748996832,0.24874238537988735,42.8,0.7348469228349533,bi_a100_b100_p05%_v1.col
100,100,200,5,488,2,2.4694572494000004,0.2967465124289632,42.2,0.19999999999999998,bi_a100_b100_p05%_v2.col
100,100,200,10,971,1,3.3884401435999996,0.24513399270993888,63.2,0.19999999999999998,bi_a100_b100_p10%_v1.col
100,100,200,10,922,2,2.6603900168,0.3176284402291568,61.8,0.3741657386773941,bi_a100_b100_p10%_v2.col
100,100,200,20,1973,1,6.5499339480000005,0.9119741946567697,107.6,0.7483314773547882,bi_a100_b100_p20%_v1.col
100,100,200,20,2003,2,6.893686713399999,2.1224687285701496,109.0,0.5477225575051661,bi_a100_b100_p20%_v2.col
100,100,200,30,2897,1,8.7935884788,0.7483724261629232,140.2,0.3741657386773941,bi_a100_b100_p30%_v1.col
100,100,200,30,3016,2,15.696217347599998,3.9749712571491704,143.2,0.7348469228349535,bi_a100_b100_p30%_v2.col
100,100,200,40,3953,1,18.3310947524,2.5568141323019424,159.6,0.5099019513592785,bi_a100_b100_p40%_v1.col
100,100,200,40,4048,2,9.4543383554,0.7269940950746608,163.8,0.2,bi_a100_b100_p40%_v2.col
100,100,200,50,5022,1,13.286307789,0.7474861438571626,173.4,0.24494897427831777,bi_a100_b100_p50%_v1.col
100,100,200,50,5019,2,15.689256930600001,2.246842808960951,173.2,0.2,bi_a100_b100_p50%_v2.col
100,100,200,60,6000,1,18.12256657,2.9477940685622688,181.4,0.39999999999999997,bi_a100_b100_p60%_v1.col
100,100,200,60,5978,2,18.400918113400003,0.8849495306432812,181.4,0.24494897427831777,bi_a100_b100_p60%_v2.col
100,100,200,70,7039,1,19.0257942278,0.40799748613456144,187.0,0.0,bi_a100_b100_p70%_v1.col
100,100,200,70,7044,2,19.834755983599997,1.0685381601059565,187.0,0.0,bi_a100_b100_p70%_v2.col
100,100,200,80,8007,1,27.0202018798,1.9488906841052436,190.0,0.0,bi_a100_b100_p80%_v1.col
100,100,200,80,7988,2,26.302118453200002,2.1305138856918386,190.2,0.19999999999999998,bi_a100_b100_p80%_v2.col
100,100,200,90,9021,1,22.175145594999996,0.2712967402278021,194.0,0.0,bi_a100_b100_p90%_v1.col
