mean_fit_t,b,c,mean_upd_t,mean_init_t,se_init_t,mean_mut_t,se_fit_t,se_mut_t,se_upd_t,N,M,v,mean_sel_t,a,se_cross_t,se_sel_t,mean_cross_t,instancia
0.01036,10,80,0.0,0.01058,0.0,0.0,0.0,0.0,0.0,81,80,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c80_v4.col
0.00095,10,80,0.0,0.00108,0.0,0.0,0.0,0.0,0.0,15,14,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c80_v5.col
0.00296,10,90,0.0,0.00311,0.0011,0.0,0.0011,0.0,0.0,26,25,1,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c90_v1.col
0.00997,10,90,0.0,0.01021,0.0,0.0,0.0,0.0,0.0,79,78,2,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c90_v2.col
0.00586,10,90,0.0,0.00611,0.0,0.0,0.0,0.0,0.0,54,53,3,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c90_v3.col
0.00946,10,90,0.0,0.00968,0.0,0.0,0.0,0.0,0.0,77,76,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c90_v4.col
0.0082,10,90,0.0,0.00935,0.001,0.0,0.0001,0.0,0.0,69,68,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c90_v5.col
0.03694,10,100,0.0,0.03741,0.0009,0.0,0.0009,0.0,0.0,245,240,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c100_v1.col
0.05384,10,100,0.0,0.05529,0.0008,0.0,0.0008,0.0,0.0,318,313,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c100_v2.col
0.05283,10,100,0.0,0.05358,0.0001,0.0,0.0001,0.0,0.0,304,299,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c100_v3.col
0.02514,10,100,0.0,0.02553,0.0007,0.0,0.0007,0.0,0.0,179,174,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c100_v4.col
0.03899,10,100,0.0,0.04004,0.0006,0.0,0.0007,0.0,0.0,251,246,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c100_v5.col
0.01035,10,20,0.0,0.01062,0.005,0.0,0.005,0.0,0.0,63,58,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c20_v1.col
0.00823,10,20,0.0,0.00858,0.0007,0.0,0.0007,0.0,0.0,81,76,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c20_v2.col
0.00804,10,20,0.0,0.00832,0.0007,0.0,0.0007,0.0,0.0,81,76,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c20_v3.col
0.00624,10,20,0.0,0.00648,0.0006,0.0,0.0006,0.0,0.0,68,63,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c20_v4.col
0.00759,10,20,0.0,0.00781,0.0006,0.0,0.0006,0.0,0.0,80,75,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c20_v5.col
0.01079,10,30,0.0,0.01107,0.0006,0.0,0.0006,0.0,0.0,108,103,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c30_v1.col
0.01141,10,30,0.0,0.0117,0.0007,0.0,0.0007,0.0,0.0,111,106,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c30_v2.col
0.01078,10,30,0.0,0.01108,0.0006,0.0,0.0006,0.0,0.0,108,103,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c30_v3.col
0.00887,10,30,0.0,0.00981,0.0006,0.0,0.0,0.0,0.0,96,91,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c30_v4.col
0.01051,10,30,0.0,0.01078,0.0008,0.0,0.0008,0.0,0.0,102,97,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c30_v5.col
0.0166,10,40,0.0,0.01693,0.0006,0.0,0.0006,0.0,0.0,149,144,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c40_v1.col
0.02017,10,40,0.0,0.02058,0.0007,0.0,0.0007,0.0,0.0,161,156,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c40_v2.col
0.01525,10,40,0.0,0.0163,0.0006,0.0,0.0001,0.0,0.0,142,137,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c40_v3.col
0.01145,10,40,0.0,0.0124,0.0006,0.0,0.0001,0.0,0.0,118,113,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c40_v4.col
0.01937,10,40,0.0,0.0198,0.0008,0.0,0.0008,0.0,0.0,162,157,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c40_v5.col
0.0204,10,50,0.0,0.02081,0.0007,0.0,0.0007,0.0,0.0,165,160,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c50_v1.col
0.01416,10,50,0.0,0.01448,0.0008,0.0,0.0008,0.0,0.0,130,125,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c50_v2.col
0.01718,10,50,0.0,0.01809,0.0008,0.0,0.0006,0.0,0.0,150,145,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c50_v3.col
0.01819,10,50,0.0,0.01859,0.0006,0.0,0.0006,0.0,0.0,156,151,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c50_v4.col
