instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time,peak_mem_mb,mean_mem_mb
galaxy_a80_b10_c40_v1.col,80,10,40,1,1982,1902,91.0,0.6325,28.11382,8.5685,564.2808456420898,324.8323028564453
galaxy_a80_b10_c50_v1.col,80,10,50,1,2440,2360,91.6,0.4,34.28667,4.5916,519.1542358398438,341.64013519287107
galaxy_a80_b10_c60_v1.col,80,10,60,1,2804,2724,95.6,0.7483,59.97372,17.0881,761.0142440795898,472.31422271728513
galaxy_a80_b10_c70_v1.col,80,10,70,1,3150,3070,99.0,1.0,54.91814,7.4718,486.7708053588867,427.3539764404297
galaxy_a80_b10_c80_v1.col,80,10,80,1,3477,3397,100.8,1.3928,67.18784,17.576,719.4215087890625,422.3556930541992
galaxy_a80_b10_c90_v1.col,80,10,90,1,3822,3742,104.0,0.9487,88.9351,12.963,672.3609161376953,496.5694839477539
galaxy_a85_b10_c100_v1.col,85,10,100,1,5319,5234,127.2,1.8547,138.49551,18.2755,714.1865615844727,579.0975296020508
galaxy_a85_b10_c20_v1.col,85,10,20,1,1379,1294,92.2,0.3742,11.29539,1.8284,353.1543502807617,201.44221038818358
galaxy_a85_b10_c30_v1.col,85,10,30,1,1764,1679,94.8,0.3742,51.35572,24.0025,1436.505226135254,555.1550964355469
galaxy_a85_b10_c40_v1.col,85,10,40,1,2298,2213,98.2,0.5831,31.37703,4.9392,437.1031799316406,287.8693450927734
galaxy_a85_b10_c50_v1.col,85,10,50,1,2827,2742,99.2,0.2,63.14045,15.7951,860.014289855957,507.2974227905273
galaxy_a85_b10_c60_v1.col,85,10,60,1,3001,2916,98.8,1.241,111.19744,37.7552,1593.1627731323242,809.9465789794922
galaxy_a85_b10_c70_v1.col,85,10,70,1,3352,3267,102.4,0.7483,86.73265,20.563,894.8273468017578,565.5134994506836
galaxy_a85_b10_c80_v1.col,85,10,80,1,3938,3853,109.6,1.249,119.40272,30.9752,1197.0408401489258,659.6569168090821
galaxy_a85_b10_c90_v1.col,85,10,90,1,4342,4257,112.6,1.5684,145.90693,33.2512,1158.7671813964844,736.7728988647461
galaxy_a90_b10_c100_v1.col,90,10,100,1,5144,5054,124.6,1.0296,287.20833,56.7242,1782.9380645751953,1221.7353683471679
galaxy_a90_b10_c20_v1.col,90,10,20,1,1466,1376,97.4,0.2449,11.77082,0.797,225.63404083251953,179.62534790039064
galaxy_a90_b10_c30_v1.col,90,10,30,1,1929,1839,99.2,0.3742,37.04616,7.5531,579.4091033935547,410.7602081298828
galaxy_a90_b10_c40_v1.col,90,10,40,1,2516,2426,102.2,0.5831,57.47041,21.4854,1120.2501907348633,477.5020233154297
galaxy_a90_b10_c50_v1.col,90,10,50,1,2972,2882,105.8,0.9695,65.41648,15.4406,787.4360961914062,492.41626739501953
galaxy_a90_b10_c60_v1.col,90,10,60,1,3107,3017,107.4,0.5099,74.58926,13.753,741.8034591674805,500.8021240234375
galaxy_a90_b10_c70_v1.col,90,10,70,1,3796,3706,110.4,0.9274,160.2253,42.3899,1668.7369232177734,898.6181594848633
galaxy_a90_b10_c80_v1.col,90,10,80,1,3939,3849,112.6,0.9274,90.3141,8.7453,641.1665496826172,514.1238616943359
galaxy_a90_b10_c90_v1.col,90,10,90,1,4650,4560,118.2,0.8602,165.17866,35.5132,1354.316307067871,791.1832672119141
galaxy_a95_b10_c100_v1.col,95,10,100,1,5439,5344,126.8,0.8,254.15174,99.8535,2531.62296295166,1074.687956237793
galaxy_a95_b10_c20_v1.col,95,10,20,1,1488,1393,101.8,0.3742,23.72277,10.8816,767.2470397949219,307.74087982177736
galaxy_a95_b10_c30_v1.col,95,10,30,1,1947,1852,104.6,0.2449,14.55015,1.246,219.54122161865234,187.23360748291014
galaxy_a95_b10_c40_v1.col,95,10,40,1,2588,2493,106.6,0.4,52.28208,12.9607,720.7473068237305,468.5867660522461
galaxy_a95_b10_c50_v1.col,95,10,50,1,3073,2978,112.6,0.6782,58.24226,13.5663,685.1523971557617,407.2559814453125
galaxy_a95_b10_c60_v1.col,95,10,60,1,3501,3406,112.8,1.4283,61.37796,10.6434,554.2168502807617,395.8334167480469
galaxy_a95_b10_c70_v1.col,95,10,70,1,3744,3649,111.2,0.3742,96.71077,34.6,1312.652946472168,643.4395416259765
galaxy_a95_b10_c80_v1.col,95,10,80,1,4388,4293,119.8,1.0198,109.60946,17.7686,762.2772369384766,550.2394943237305
galaxy_a95_b10_c90_v1.col,95,10,90,1,4894,4799,122.8,1.4629,165.192,46.8991,1505.290428161621,769.5550994873047
