instancia,a,b,c,v,N,M,melhor_chi,tempo_melhor,heuristica_vencedora
galaxy_a05_b10_c50_v3.col,5,10,50,3,150,145,51,6.8083e-5,MinGrau
galaxy_a05_b10_c50_v4.col,5,10,50,4,156,151,45,6.9967e-5,MinGrau
galaxy_a05_b10_c50_v5.col,5,10,50,5,150,145,41,7.4141e-5,MinGrau
galaxy_a05_b10_c60_v1.col,5,10,60,1,158,153,47,7.3486e-5,MinGrau
galaxy_a05_b10_c60_v2.col,5,10,60,2,166,161,41,7.6512e-5,MinGrau
galaxy_a05_b10_c60_v3.col,5,10,60,3,216,211,61,0.000120043,MinGrau
galaxy_a05_b10_c60_v4.col,5,10,60,4,222,217,60,0.000127398,MinGrau
galaxy_a05_b10_c60_v5.col,5,10,60,5,147,142,58,6.54e-5,MinGrau
galaxy_a05_b10_c70_v1.col,5,10,70,1,190,185,67,0.000102784,MinGrau
galaxy_a05_b10_c70_v2.col,5,10,70,2,166,161,70,7.7829e-5,MinGrau
galaxy_a05_b10_c70_v3.col,5,10,70,3,178,173,67,9.1324e-5,MinGrau
galaxy_a05_b10_c70_v4.col,5,10,70,4,264,259,68,0.000153966,MinGrau
galaxy_a05_b10_c70_v5.col,5,10,70,5,265,260,67,0.000151847,MinGrau
galaxy_a05_b10_c80_v1.col,5,10,80,1,261,256,66,0.000139116,MinGrau
galaxy_a05_b10_c80_v2.col,5,10,80,2,165,160,75,7.4789e-5,MinGrau
galaxy_a05_b10_c80_v3.col,5,10,80,3,217,212,67,0.000111139,MinGrau
galaxy_a05_b10_c80_v4.col,5,10,80,4,237,232,81,0.000132126,MinGrau
galaxy_a05_b10_c80_v5.col,5,10,80,5,204,199,63,0.000102204,MinGrau
galaxy_a05_b10_c90_v1.col,5,10,90,1,239,234,88,0.000139018,MinGrau
galaxy_a05_b10_c90_v2.col,5,10,90,2,312,307,90,0.00018517,MinGrau
galaxy_a05_b10_c90_v3.col,5,10,90,3,252,247,69,0.000142815,MinGrau
galaxy_a05_b10_c90_v4.col,5,10,90,4,221,216,78,0.000119492,MinGrau
galaxy_a05_b10_c90_v5.col,5,10,90,5,254,249,90,0.000148925,MinGrau
galaxy_a100_b10_c100_v1.col,100,10,100,1,5804,5704,112,0.018464032,MinGrau
galaxy_a100_b10_c100_v2.col,100,10,100,2,5555,5455,111,0.017361352,MinGrau
galaxy_a100_b10_c100_v3.col,100,10,100,3,5712,5612,114,0.018224835,MinGrau
galaxy_a100_b10_c100_v4.col,100,10,100,4,5713,5613,111,0.018875255,MinGrau
galaxy_a100_b10_c100_v5.col,100,10,100,5,6255,6155,122,0.021783229,MinGrau
galaxy_a100_b10_c20_v1.col,100,10,20,1,1608,1508,110,0.001871703,MinGrau
