instancia,a,b,c,v,N,M,melhor_chi,tempo_melhor,heuristica_vencedora
galaxy_a25_b10_c70_v1.col,25,10,70,1,1030,1005,71,0.000882784,MinGrau
galaxy_a25_b10_c70_v2.col,25,10,70,2,1013,988,68,0.000847401,MinGrau
galaxy_a25_b10_c70_v3.col,25,10,70,3,1028,1003,68,0.000868428,MinGrau
galaxy_a25_b10_c70_v4.col,25,10,70,4,1004,979,71,0.000839103,MinGrau
galaxy_a25_b10_c70_v5.col,25,10,70,5,949,924,64,0.000762488,MinGrau
galaxy_a25_b10_c80_v1.col,25,10,80,1,1071,1046,78,0.000950754,MinGrau
galaxy_a25_b10_c80_v2.col,25,10,80,2,1275,1250,79,0.001280156,MinGrau
galaxy_a25_b10_c80_v3.col,25,10,80,3,1339,1314,82,0.001375273,MinGrau
galaxy_a25_b10_c80_v4.col,25,10,80,4,1099,1074,81,0.000996736,MinGrau
galaxy_a25_b10_c80_v5.col,25,10,80,5,1277,1252,73,0.001280762,MinGrau
galaxy_a25_b10_c90_v1.col,25,10,90,1,1220,1195,90,0.001177707,MinGrau
galaxy_a25_b10_c90_v2.col,25,10,90,2,1128,1103,79,0.001023059,MinGrau
galaxy_a25_b10_c90_v3.col,25,10,90,3,1201,1176,91,0.001165669,MinGrau
galaxy_a25_b10_c90_v4.col,25,10,90,4,1077,1052,89,0.000968987,MinGrau
galaxy_a25_b10_c90_v5.col,25,10,90,5,1435,1410,90,0.00155025,MinGrau
galaxy_a30_b10_c100_v1.col,30,10,100,1,1837,1807,100,0.00235323,MinGrau
galaxy_a30_b10_c100_v2.col,30,10,100,2,1411,1381,83,0.001485044,MinGrau
galaxy_a30_b10_c100_v3.col,30,10,100,3,1687,1657,97,0.001981801,MinGrau
galaxy_a30_b10_c100_v4.col,30,10,100,4,1489,1459,101,0.001636821,MinGrau
galaxy_a30_b10_c100_v5.col,30,10,100,5,1571,1541,101,0.001762527,MinGrau
galaxy_a30_b10_c20_v1.col,30,10,20,1,479,449,40,0.000240505,MinGrau
galaxy_a30_b10_c20_v2.col,30,10,20,2,494,464,40,0.000267552,MinGrau
galaxy_a30_b10_c20_v3.col,30,10,20,3,492,462,40,0.00024196,MinGrau
galaxy_a30_b10_c20_v4.col,30,10,20,4,497,467,40,0.000258821,MinGrau
galaxy_a30_b10_c20_v5.col,30,10,20,5,468,438,40,0.000250412,MinGrau
galaxy_a30_b10_c30_v1.col,30,10,30,1,561,531,40,0.00030869,MinGrau
galaxy_a30_b10_c30_v2.col,30,10,30,2,623,593,40,0.000392725,MinGrau
galaxy_a30_b10_c30_v3.col,30,10,30,3,609,579,40,0.000383148,MinGrau
galaxy_a30_b10_c30_v4.col,30,10,30,4,621,591,40,0.000402123,MinGrau
galaxy_a30_b10_c30_v5.col,30,10,30,5,600,570,40,0.000338303,MinGrau
galaxy_a30_b10_c40_v1.col,30,10,40,1,839,809,45,0.000605668,MinGrau
galaxy_a30_b10_c40_v2.col,30,10,40,2,786,756,43,0.000530152,MinGrau
galaxy_a30_b10_c40_v3.col,30,10,40,3,840,810,46,0.000610008,MinGrau
galaxy_a30_b10_c40_v4.col,30,10,40,4,677,647,40,0.000423157,MinGrau
galaxy_a30_b10_c40_v5.col,30,10,40,5,745,715,43,0.000507859,MinGrau
galaxy_a30_b10_c50_v1.col,30,10,50,1,984,954,51,0.00079003,MinGrau
galaxy_a30_b10_c50_v2.col,30,10,50,2,856,826,49,0.000623053,MinGrau
galaxy_a30_b10_c50_v3.col,30,10,50,3,992,962,55,0.000798302,MinGrau
galaxy_a30_b10_c50_v4.col,30,10,50,4,973,943,51,0.000773333,MinGrau
galaxy_a30_b10_c50_v5.col,30,10,50,5,922,892,52,0.000694519,MinGrau
galaxy_a30_b10_c60_v1.col,30,10,60,1,1088,1058,61,0.000992306,MinGrau
galaxy_a30_b10_c60_v2.col,30,10,60,2,1115,1085,63,0.001001037,MinGrau
galaxy_a30_b10_c60_v3.col,30,10,60,3,1104,1074,60,0.000965021,MinGrau
galaxy_a30_b10_c60_v4.col,30,10,60,4,936,906,61,0.000736614,MinGrau
galaxy_a30_b10_c60_v5.col,30,10,60,5,1075,1045,60,0.000941505,MinGrau
galaxy_a30_b10_c70_v1.col,30,10,70,1,1148,1118,71,0.001053679,MinGrau
galaxy_a30_b10_c70_v2.col,30,10,70,2,1132,1102,70,0.001036668,MinGrau
galaxy_a30_b10_c70_v3.col,30,10,70,3,1318,1288,71,0.0012973,MinGrau
galaxy_a30_b10_c70_v4.col,30,10,70,4,1123,1093,73,0.001015258,MinGrau
galaxy_a30_b10_c70_v5.col,30,10,70,5,1182,1152,71,0.001100222,MinGrau
galaxy_a30_b10_c80_v1.col,30,10,80,1,1403,1373,81,0.001457062,MinGrau
galaxy_a30_b10_c80_v2.col,30,10,80,2,1432,1402,83,0.001643549,MinGrau
galaxy_a30_b10_c80_v3.col,30,10,80,3,1220,1190,79,0.001126531,MinGrau
galaxy_a30_b10_c80_v4.col,30,10,80,4,1515,1485,80,0.001649163,MinGrau
galaxy_a30_b10_c80_v5.col,30,10,80,5,1360,1330,72,0.001357793,MinGrau
galaxy_a30_b10_c90_v1.col,30,10,90,1,1608,1578,92,0.001807276,MinGrau
galaxy_a30_b10_c90_v2.col,30,10,90,2,1408,1378,86,0.001485211,MinGrau
galaxy_a30_b10_c90_v3.col,30,10,90,3,1498,1468,91,0.001683996,MinGrau
galaxy_a30_b10_c90_v4.col,30,10,90,4,1863,1833,90,0.002324451,MinGrau
galaxy_a30_b10_c90_v5.col,30,10,90,5,1520,1490,91,0.001678496,MinGrau
galaxy_a35_b10_c100_v1.col,35,10,100,1,1935,1900,101,0.002466266,MinGrau
galaxy_a35_b10_c100_v2.col,35,10,100,2,1868,1833,101,0.002319587,MinGrau
galaxy_a35_b10_c100_v3.col,35,10,100,3,1678,1643,93,0.001966634,MinGrau
galaxy_a35_b10_c100_v4.col,35,10,100,4,2167,2132,102,0.003200177,MinGrau
galaxy_a35_b10_c100_v5.col,35,10,100,5,1803,1768,101,0.002232384,MinGrau
galaxy_a35_b10_c20_v1.col,35,10,20,1,556,521,45,0.00031792,MinGrau
galaxy_a35_b10_c20_v2.col,35,10,20,2,551,516,45,0.000290887,MinGrau
galaxy_a35_b10_c20_v3.col,35,10,20,3,533,498,45,0.000296721,MinGrau
galaxy_a35_b10_c20_v4.col,35,10,20,4,534,499,45,0.000295276,MinGrau
galaxy_a35_b10_c20_v5.col,35,10,20,5,527,492,45,0.000291137,MinGrau
galaxy_a35_b10_c30_v1.col,35,10,30,1,743,708,46,0.000522488,MinGrau
galaxy_a35_b10_c30_v2.col,35,10,30,2,728,693,45,0.000490171,MinGrau
galaxy_a35_b10_c30_v3.col,35,10,30,3,764,729,45,0.00052446,MinGrau
galaxy_a35_b10_c30_v4.col,35,10,30,4,731,696,46,0.000485282,MinGrau
galaxy_a35_b10_c30_v5.col,35,10,30,5,723,688,45,0.000476742,MinGrau
galaxy_a35_b10_c40_v1.col,35,10,40,1,996,961,51,0.000762394,MinGrau
galaxy_a35_b10_c40_v2.col,35,10,40,2,927,892,48,0.000697529,MinGrau
galaxy_a35_b10_c40_v3.col,35,10,40,3,930,895,47,0.00068913,MinGrau
galaxy_a35_b10_c40_v4.col,35,10,40,4,875,840,47,0.015447313,MinGrau
galaxy_a35_b10_c40_v5.col,35,10,40,5,766,731,45,0.000538069,MinGrau
galaxy_a35_b10_c50_v1.col,35,10,50,1,1115,1080,52,0.000957031,MinGrau
galaxy_a35_b10_c50_v2.col,35,10,50,2,1186,1151,53,0.001081679,MinGrau
galaxy_a35_b10_c50_v3.col,35,10,50,3,1150,1115,54,0.001044253,MinGrau
galaxy_a35_b10_c50_v4.col,35,10,50,4,1074,1039,51,0.000948416,MinGrau
galaxy_a35_b10_c50_v5.col,35,10,50,5,1084,1049,52,0.000937738,MinGrau
galaxy_a35_b10_c60_v1.col,35,10,60,1,1295,1260,61,0.001231181,MinGrau
galaxy_a35_b10_c60_v2.col,35,10,60,2,1199,1164,57,0.001078737,MinGrau
galaxy_a35_b10_c60_v3.col,35,10,60,3,1270,1235,57,0.001214871,MinGrau
galaxy_a35_b10_c60_v4.col,35,10,60,4,1259,1224,61,0.001184942,MinGrau
galaxy_a35_b10_c60_v5.col,35,10,60,5,1205,1170,59,0.001121715,MinGrau
galaxy_a35_b10_c70_v1.col,35,10,70,1,1521,1486,71,0.00165657,MinGrau
galaxy_a35_b10_c70_v2.col,35,10,70,2,1394,1359,64,0.001404455,MinGrau
galaxy_a35_b10_c70_v3.col,35,10,70,3,1415,1380,67,0.001591973,MinGrau
galaxy_a35_b10_c70_v4.col,35,10,70,4,1389,1354,72,0.001451606,MinGrau
galaxy_a35_b10_c70_v5.col,35,10,70,5,1323,1288,70,0.001280248,MinGrau
galaxy_a35_b10_c80_v1.col,35,10,80,1,1668,1633,81,0.001900621,MinGrau
galaxy_a35_b10_c80_v2.col,35,10,80,2,1491,1456,78,0.001642459,MinGrau
galaxy_a35_b10_c80_v3.col,35,10,80,3,1628,1593,82,0.001893467,MinGrau
galaxy_a35_b10_c80_v4.col,35,10,80,4,1451,1416,79,0.001535209,MinGrau
galaxy_a35_b10_c80_v5.col,35,10,80,5,1571,1536,81,0.001725472,MinGrau
galaxy_a35_b10_c90_v1.col,35,10,90,1,1716,1681,90,0.002018774,MinGrau
galaxy_a35_b10_c90_v2.col,35,10,90,2,1608,1573,90,0.001760079,MinGrau
galaxy_a35_b10_c90_v3.col,35,10,90,3,1390,1355,86,0.001444363,MinGrau
galaxy_a35_b10_c90_v4.col,35,10,90,4,1729,1694,91,0.002082712,MinGrau
galaxy_a35_b10_c90_v5.col,35,10,90,5,1924,1889,91,0.002424655,MinGrau
galaxy_a40_b10_c100_v1.col,40,10,100,1,2441,2401,102,0.003859332,MinGrau
galaxy_a40_b10_c100_v2.col,40,10,100,2,2316,2276,99,0.003487242,MinGrau
galaxy_a40_b10_c100_v3.col,40,10,100,3,2184,2144,101,0.003145514,MinGrau
galaxy_a40_b10_c100_v4.col,40,10,100,4,2262,2222,100,0.003367459,MinGrau
galaxy_a40_b10_c100_v5.col,40,10,100,5,2104,2064,101,0.002981556,MinGrau
galaxy_a40_b10_c20_v1.col,40,10,20,1,637,597,50,0.000392237,MinGrau
galaxy_a40_b10_c20_v2.col,40,10,20,2,642,602,50,0.000397329,MinGrau
galaxy_a40_b10_c20_v3.col,40,10,20,3,623,583,50,0.000355267,MinGrau
galaxy_a40_b10_c20_v4.col,40,10,20,4,666,626,50,0.000436555,MinGrau
galaxy_a40_b10_c20_v5.col,40,10,20,5,636,596,50,0.000399679,MinGrau
galaxy_a40_b10_c30_v1.col,40,10,30,1,797,757,50,0.000555879,MinGrau
galaxy_a40_b10_c30_v2.col,40,10,30,2,799,759,50,0.000561627,MinGrau
galaxy_a40_b10_c30_v3.col,40,10,30,3,788,748,50,0.000538424,MinGrau
galaxy_a40_b10_c30_v4.col,40,10,30,4,824,784,50,0.000577452,MinGrau
galaxy_a40_b10_c30_v5.col,40,10,30,5,889,849,50,0.000679779,MinGrau
galaxy_a40_b10_c40_v1.col,40,10,40,1,1053,1013,51,0.000895,MinGrau
galaxy_a40_b10_c40_v2.col,40,10,40,2,1028,988,50,0.000818616,MinGrau
galaxy_a40_b10_c40_v3.col,40,10,40,3,1089,1049,50,0.000951181,MinGrau
galaxy_a40_b10_c40_v4.col,40,10,40,4,978,938,50,0.000756908,MinGrau
galaxy_a40_b10_c40_v5.col,40,10,40,5,1053,1013,51,0.000882515,MinGrau
galaxy_a40_b10_c50_v1.col,40,10,50,1,1176,1136,53,0.001061572,MinGrau
galaxy_a40_b10_c50_v2.col,40,10,50,2,1276,1236,56,0.001209876,MinGrau
galaxy_a40_b10_c50_v3.col,40,10,50,3,1278,1238,56,0.001356149,MinGrau
galaxy_a40_b10_c50_v4.col,40,10,50,4,1208,1168,52,0.001091758,MinGrau
galaxy_a40_b10_c50_v5.col,40,10,50,5,1354,1314,58,0.001313088,MinGrau
galaxy_a40_b10_c60_v1.col,40,10,60,1,1561,1521,66,0.001703501,MinGrau
galaxy_a40_b10_c60_v2.col,40,10,60,2,1399,1359,61,0.001388951,MinGrau
galaxy_a40_b10_c60_v3.col,40,10,60,3,1409,1369,60,0.001455842,MinGrau
galaxy_a40_b10_c60_v4.col,40,10,60,4,1484,1444,62,0.001542754,MinGrau
galaxy_a40_b10_c60_v5.col,40,10,60,5,1377,1337,61,0.001388703,MinGrau
galaxy_a40_b10_c70_v1.col,40,10,70,1,1551,1511,69,0.001646025,MinGrau
galaxy_a40_b10_c70_v2.col,40,10,70,2,1571,1531,68,0.001695139,MinGrau
galaxy_a40_b10_c70_v3.col,40,10,70,3,1643,1603,72,0.001802366,MinGrau
galaxy_a40_b10_c70_v4.col,40,10,70,4,1441,1401,71,0.001513985,MinGrau
galaxy_a40_b10_c70_v5.col,40,10,70,5,1662,1622,71,0.001913698,MinGrau
galaxy_a40_b10_c80_v1.col,40,10,80,1,2093,2053,83,0.002945952,MinGrau
galaxy_a40_b10_c80_v2.col,40,10,80,2,1859,1819,81,0.002278706,MinGrau
galaxy_a40_b10_c80_v3.col,40,10,80,3,1771,1731,81,0.002113946,MinGrau
galaxy_a40_b10_c80_v4.col,40,10,80,4,1736,1696,76,0.001990899,MinGrau
galaxy_a40_b10_c80_v5.col,40,10,80,5,1864,1824,82,0.002278722,MinGrau
galaxy_a40_b10_c90_v1.col,40,10,90,1,2157,2117,91,0.003077632,MinGrau
galaxy_a40_b10_c90_v2.col,40,10,90,2,2012,1972,92,0.002668484,MinGrau
galaxy_a40_b10_c90_v3.col,40,10,90,3,1918,1878,91,0.002459272,MinGrau
galaxy_a40_b10_c90_v4.col,40,10,90,4,1937,1897,89,0.00249809,MinGrau
galaxy_a40_b10_c90_v5.col,40,10,90,5,2098,2058,91,0.003040405,MinGrau
galaxy_a45_b10_c100_v1.col,45,10,100,1,2601,2556,102,0.004304719,MinGrau
galaxy_a45_b10_c100_v2.col,45,10,100,2,2498,2453,100,0.004069064,MinGrau
galaxy_a45_b10_c100_v3.col,45,10,100,3,2530,2485,101,0.004083235,MinGrau
galaxy_a45_b10_c100_v4.col,45,10,100,4,2621,2576,100,0.004381146,MinGrau
galaxy_a45_b10_c100_v5.col,45,10,100,5,2454,2409,98,0.003818225,MinGrau
galaxy_a45_b10_c20_v1.col,45,10,20,1,716,671,55,0.000474535,MinGrau
galaxy_a45_b10_c20_v2.col,45,10,20,2,701,656,55,0.000458711,MinGrau
galaxy_a45_b10_c20_v3.col,45,10,20,3,730,685,55,0.000500938,MinGrau
galaxy_a45_b10_c20_v4.col,45,10,20,4,707,662,55,0.000425521,MinGrau
galaxy_a45_b10_c20_v5.col,45,10,20,5,712,667,55,0.000467435,MinGrau
galaxy_a45_b10_c30_v1.col,45,10,30,1,933,888,56,0.000705099,MinGrau
galaxy_a45_b10_c30_v2.col,45,10,30,2,945,900,55,0.000700466,MinGrau
galaxy_a45_b10_c30_v3.col,45,10,30,3,901,856,56,0.000678098,MinGrau
galaxy_a45_b10_c30_v4.col,45,10,30,4,899,854,55,0.000697617,MinGrau
galaxy_a45_b10_c30_v5.col,45,10,30,5,994,949,55,0.000751908,MinGrau
galaxy_a45_b10_c40_v1.col,45,10,40,1,1267,1222,57,0.001144324,MinGrau
galaxy_a45_b10_c40_v2.col,45,10,40,2,1309,1264,57,0.00124655,MinGrau
galaxy_a45_b10_c40_v3.col,45,10,40,3,1162,1117,55,0.001007413,MinGrau
galaxy_a45_b10_c40_v4.col,45,10,40,4,1140,1095,55,0.000970252,MinGrau
galaxy_a45_b10_c40_v5.col,45,10,40,5,1178,1133,55,0.001060433,MinGrau
galaxy_a45_b10_c50_v1.col,45,10,50,1,1467,1422,59,0.001484587,MinGrau
galaxy_a45_b10_c50_v2.col,45,10,50,2,1385,1340,56,0.001358921,MinGrau
galaxy_a45_b10_c50_v3.col,45,10,50,3,1430,1385,61,0.001437931,MinGrau
galaxy_a45_b10_c50_v4.col,45,10,50,4,1386,1341,55,0.001333145,MinGrau
galaxy_a45_b10_c50_v5.col,45,10,50,5,1300,1255,57,0.001208027,MinGrau
galaxy_a45_b10_c60_v1.col,45,10,60,1,1781,1736,64,0.002079434,MinGrau
galaxy_a45_b10_c60_v2.col,45,10,60,2,1659,1614,62,0.001837809,MinGrau
galaxy_a45_b10_c60_v3.col,45,10,60,3,1552,1507,61,0.001637678,MinGrau
galaxy_a45_b10_c60_v4.col,45,10,60,4,1711,1666,63,0.008386356,MinGrau
galaxy_a45_b10_c60_v5.col,45,10,60,5,1572,1527,60,0.001643627,MinGrau
galaxy_a45_b10_c70_v1.col,45,10,70,1,1662,1617,70,0.001889024,MinGrau
galaxy_a45_b10_c70_v2.col,45,10,70,2,1876,1831,69,0.00225838,MinGrau
galaxy_a45_b10_c70_v3.col,45,10,70,3,1690,1645,68,0.00195123,MinGrau
galaxy_a45_b10_c70_v4.col,45,10,70,4,1826,1781,69,0.002242671,MinGrau
galaxy_a45_b10_c70_v5.col,45,10,70,5,1821,1776,73,0.002275102,MinGrau
galaxy_a45_b10_c80_v1.col,45,10,80,1,2167,2122,81,0.003109108,MinGrau
galaxy_a45_b10_c80_v2.col,45,10,80,2,2298,2253,82,0.003445531,MinGrau
galaxy_a45_b10_c80_v3.col,45,10,80,3,2089,2044,83,0.002952868,MinGrau
galaxy_a45_b10_c80_v4.col,45,10,80,4,2035,1990,81,0.002672601,MinGrau
galaxy_a45_b10_c80_v5.col,45,10,80,5,2364,2319,81,0.003674215,MinGrau
galaxy_a45_b10_c90_v1.col,45,10,90,1,2249,2204,89,0.003262837,MinGrau
galaxy_a45_b10_c90_v2.col,45,10,90,2,2216,2171,90,0.003173991,MinGrau
galaxy_a45_b10_c90_v3.col,45,10,90,3,2472,2427,91,0.003856394,MinGrau
galaxy_a45_b10_c90_v4.col,45,10,90,4,2279,2234,91,0.003327851,MinGrau
galaxy_a45_b10_c90_v5.col,45,10,90,5,2600,2555,94,0.004283742,MinGrau
galaxy_a50_b10_c100_v1.col,50,10,100,1,2731,2681,101,0.004674162,MinGrau
galaxy_a50_b10_c100_v2.col,50,10,100,2,2773,2723,102,0.004784762,MinGrau
galaxy_a50_b10_c100_v3.col,50,10,100,3,3163,3113,102,0.00614884,MinGrau
galaxy_a50_b10_c100_v4.col,50,10,100,4,2923,2873,99,0.00554138,MinGrau
galaxy_a50_b10_c100_v5.col,50,10,100,5,3016,2966,101,0.012142066,MinGrau
galaxy_a50_b10_c20_v1.col,50,10,20,1,807,757,60,0.000553764,MinGrau
galaxy_a50_b10_c20_v2.col,50,10,20,2,816,766,60,0.000567963,MinGrau
galaxy_a50_b10_c20_v3.col,50,10,20,3,775,725,60,0.000529494,MinGrau
galaxy_a50_b10_c20_v4.col,50,10,20,4,822,772,60,0.000598062,MinGrau
galaxy_a50_b10_c20_v5.col,50,10,20,5,806,756,60,0.000554921,MinGrau
galaxy_a50_b10_c30_v1.col,50,10,30,1,1116,1066,60,0.000964142,MinGrau
galaxy_a50_b10_c30_v2.col,50,10,30,2,1005,955,60,0.000776611,MinGrau
galaxy_a50_b10_c30_v3.col,50,10,30,3,1080,1030,60,0.000893785,MinGrau
galaxy_a50_b10_c30_v4.col,50,10,30,4,1122,1072,60,0.0009782,MinGrau
galaxy_a50_b10_c30_v5.col,50,10,30,5,1007,957,60,0.000792909,MinGrau
galaxy_a50_b10_c40_v1.col,50,10,40,1,1380,1330,60,0.001316963,MinGrau
galaxy_a50_b10_c40_v2.col,50,10,40,2,1264,1214,61,0.001181935,MinGrau
galaxy_a50_b10_c40_v3.col,50,10,40,3,1256,1206,61,0.001254909,MinGrau
galaxy_a50_b10_c40_v4.col,50,10,40,4,1222,1172,60,0.001084354,MinGrau
galaxy_a50_b10_c40_v5.col,50,10,40,5,1325,1275,60,0.001265289,MinGrau
galaxy_a50_b10_c50_v1.col,50,10,50,1,1551,1501,61,0.001599114,MinGrau
galaxy_a50_b10_c50_v2.col,50,10,50,2,1604,1554,64,0.001668289,MinGrau
galaxy_a50_b10_c50_v3.col,50,10,50,3,1465,1415,60,0.00153968,MinGrau
galaxy_a50_b10_c50_v4.col,50,10,50,4,1584,1534,60,0.001660673,MinGrau
galaxy_a50_b10_c50_v5.col,50,10,50,5,1487,1437,60,0.001516181,MinGrau
galaxy_a50_b10_c60_v1.col,50,10,60,1,1723,1673,61,0.001932904,MinGrau
galaxy_a50_b10_c60_v2.col,50,10,60,2,1678,1628,61,0.001834521,MinGrau
galaxy_a50_b10_c60_v3.col,50,10,60,3,1704,1654,62,0.001916757,MinGrau
galaxy_a50_b10_c60_v4.col,50,10,60,4,1865,1815,65,0.002264596,MinGrau
galaxy_a50_b10_c60_v5.col,50,10,60,5,1654,1604,60,0.001853407,MinGrau
galaxy_a50_b10_c70_v1.col,50,10,70,1,2249,2199,75,0.00324952,MinGrau
galaxy_a50_b10_c70_v2.col,50,10,70,2,1898,1848,72,0.002339664,MinGrau
galaxy_a50_b10_c70_v3.col,50,10,70,3,2197,2147,72,0.003069735,MinGrau
galaxy_a50_b10_c70_v4.col,50,10,70,4,2096,2046,73,0.00291711,MinGrau
galaxy_a50_b10_c70_v5.col,50,10,70,5,1948,1898,69,0.002432064,MinGrau
galaxy_a50_b10_c80_v1.col,50,10,80,1,2476,2426,81,0.003960446,MinGrau
galaxy_a50_b10_c80_v2.col,50,10,80,2,2285,2235,81,0.003364647,MinGrau
galaxy_a50_b10_c80_v3.col,50,10,80,3,2263,2213,81,0.003205501,MinGrau
galaxy_a50_b10_c80_v4.col,50,10,80,4,2134,2084,79,0.002931284,MinGrau
galaxy_a50_b10_c80_v5.col,50,10,80,5,2318,2268,82,0.003395826,MinGrau
galaxy_a50_b10_c90_v1.col,50,10,90,1,2469,2419,89,0.003873285,MinGrau
galaxy_a50_b10_c90_v2.col,50,10,90,2,2475,2425,88,0.003887867,MinGrau
galaxy_a50_b10_c90_v3.col,50,10,90,3,2566,2516,92,0.004194464,MinGrau
galaxy_a50_b10_c90_v4.col,50,10,90,4,2559,2509,93,0.00411594,MinGrau
galaxy_a50_b10_c90_v5.col,50,10,90,5,2452,2402,91,0.003751865,MinGrau
galaxy_a55_b10_c100_v1.col,55,10,100,1,2941,2886,101,0.005405045,MinGrau
galaxy_a55_b10_c100_v2.col,55,10,100,2,3117,3062,101,0.006040885,MinGrau
galaxy_a55_b10_c100_v3.col,55,10,100,3,2565,2510,101,0.010376145,MinGrau
galaxy_a55_b10_c100_v4.col,55,10,100,4,2939,2884,101,0.005451195,MinGrau
galaxy_a55_b10_c100_v5.col,55,10,100,5,3257,3202,103,0.006547754,MinGrau
galaxy_a55_b10_c20_v1.col,55,10,20,1,889,834,65,0.000641402,MinGrau
galaxy_a55_b10_c20_v2.col,55,10,20,2,927,872,66,0.000688498,MinGrau
galaxy_a55_b10_c20_v3.col,55,10,20,3,895,840,65,0.000669938,MinGrau
galaxy_a55_b10_c20_v4.col,55,10,20,4,885,830,65,0.000671569,MinGrau
galaxy_a55_b10_c20_v5.col,55,10,20,5,909,854,65,0.00071332,MinGrau
galaxy_a55_b10_c30_v1.col,55,10,30,1,1187,1132,65,0.001045082,MinGrau
galaxy_a55_b10_c30_v2.col,55,10,30,2,1143,1088,65,0.001070658,MinGrau
galaxy_a55_b10_c30_v3.col,55,10,30,3,1146,1091,65,0.000990206,MinGrau
galaxy_a55_b10_c30_v4.col,55,10,30,4,1163,1108,65,0.000991706,MinGrau
galaxy_a55_b10_c30_v5.col,55,10,30,5,1102,1047,65,0.000926544,MinGrau
galaxy_a55_b10_c40_v1.col,55,10,40,1,1455,1400,66,0.001437722,MinGrau
galaxy_a55_b10_c40_v2.col,55,10,40,2,1494,1439,65,0.001538079,MinGrau
galaxy_a55_b10_c40_v3.col,55,10,40,3,1404,1349,65,0.001364869,MinGrau
galaxy_a55_b10_c40_v4.col,55,10,40,4,1498,1443,65,0.001518003,MinGrau
galaxy_a55_b10_c40_v5.col,55,10,40,5,1446,1391,66,0.001457138,MinGrau
galaxy_a55_b10_c50_v1.col,55,10,50,1,1618,1563,65,0.001735016,MinGrau
galaxy_a55_b10_c50_v2.col,55,10,50,2,1976,1921,70,0.008764314,MinGrau
galaxy_a55_b10_c50_v3.col,55,10,50,3,1661,1606,65,0.001829022,MinGrau
galaxy_a55_b10_c50_v4.col,55,10,50,4,1733,1678,65,0.001946908,MinGrau
galaxy_a55_b10_c50_v5.col,55,10,50,5,1798,1743,66,0.00208429,MinGrau
galaxy_a55_b10_c60_v1.col,55,10,60,1,2028,1973,69,0.002543779,MinGrau
galaxy_a55_b10_c60_v2.col,55,10,60,2,1905,1850,66,0.002310424,MinGrau
galaxy_a55_b10_c60_v3.col,55,10,60,3,1938,1883,65,0.002355869,MinGrau
galaxy_a55_b10_c60_v4.col,55,10,60,4,2299,2244,75,0.003374536,MinGrau
galaxy_a55_b10_c60_v5.col,55,10,60,5,1836,1781,65,0.00214641,MinGrau
galaxy_a55_b10_c70_v1.col,55,10,70,1,1987,1932,70,0.002461772,MinGrau
galaxy_a55_b10_c70_v2.col,55,10,70,2,2107,2052,71,0.002985343,MinGrau
galaxy_a55_b10_c70_v3.col,55,10,70,3,2553,2498,77,0.004190362,MinGrau
galaxy_a55_b10_c70_v4.col,55,10,70,4,2152,2097,69,0.002990572,MinGrau
galaxy_a55_b10_c70_v5.col,55,10,70,5,2260,2205,74,0.003235334,MinGrau
galaxy_a55_b10_c80_v1.col,55,10,80,1,2705,2650,83,0.004466271,MinGrau
galaxy_a55_b10_c80_v2.col,55,10,80,2,2820,2765,89,0.011687829,MinGrau
galaxy_a55_b10_c80_v3.col,55,10,80,3,2714,2659,82,0.004501142,MinGrau
galaxy_a55_b10_c80_v4.col,55,10,80,4,2407,2352,80,0.003623122,MinGrau
galaxy_a55_b10_c80_v5.col,55,10,80,5,2663,2608,83,0.004318137,MinGrau
galaxy_a55_b10_c90_v1.col,55,10,90,1,2859,2804,91,0.00517356,MinGrau
galaxy_a55_b10_c90_v2.col,55,10,90,2,2907,2852,91,0.005388608,MinGrau
galaxy_a55_b10_c90_v3.col,55,10,90,3,3004,2949,92,0.005698627,MinGrau
galaxy_a55_b10_c90_v4.col,55,10,90,4,2937,2882,89,0.005447733,MinGrau
galaxy_a55_b10_c90_v5.col,55,10,90,5,2814,2759,91,0.005186956,MinGrau
galaxy_a60_b10_c100_v1.col,60,10,100,1,3200,3140,100,0.006369632,MinGrau
galaxy_a60_b10_c100_v2.col,60,10,100,2,3438,3378,102,0.00711553,MinGrau
galaxy_a60_b10_c100_v3.col,60,10,100,3,3252,3192,99,0.006503967,MinGrau
galaxy_a60_b10_c100_v4.col,60,10,100,4,3296,3236,101,0.006567884,MinGrau
galaxy_a60_b10_c100_v5.col,60,10,100,5,3338,3278,101,0.006749041,MinGrau
galaxy_a60_b10_c20_v1.col,60,10,20,1,933,873,70,0.000697561,MinGrau
galaxy_a60_b10_c20_v2.col,60,10,20,2,981,921,70,0.000732623,MinGrau
galaxy_a60_b10_c20_v3.col,60,10,20,3,932,872,70,0.000689216,MinGrau
galaxy_a60_b10_c20_v4.col,60,10,20,4,927,867,70,0.00070693,MinGrau
galaxy_a60_b10_c20_v5.col,60,10,20,5,950,890,70,0.000704806,MinGrau
galaxy_a60_b10_c30_v1.col,60,10,30,1,1318,1258,70,0.001226862,MinGrau
galaxy_a60_b10_c30_v2.col,60,10,30,2,1350,1290,70,0.001265044,MinGrau
galaxy_a60_b10_c30_v3.col,60,10,30,3,1229,1169,70,0.001098535,MinGrau
galaxy_a60_b10_c30_v4.col,60,10,30,4,1259,1199,70,0.001144166,MinGrau
galaxy_a60_b10_c30_v5.col,60,10,30,5,1360,1300,70,0.00126836,MinGrau
