instancia,a,b,c,v,N,M,chi_sat,tempo_sat,chi_min,tempo_min,chi_max,tempo_max
galaxy_a20_b10_c30_v5.col,20,10,30,5,427,407,408,0.002103342,34,0.000210857,408,0.001746069
galaxy_a20_b10_c40_v1.col,20,10,40,1,595,575,576,0.004096222,43,0.000346185,576,0.003438471
galaxy_a20_b10_c40_v2.col,20,10,40,2,580,560,561,0.003879179,43,0.000328635,561,0.003282676
galaxy_a20_b10_c40_v3.col,20,10,40,3,503,483,484,0.002897112,42,0.000277789,484,0.002458451
galaxy_a20_b10_c40_v4.col,20,10,40,4,483,463,464,0.002695933,41,0.000253953,464,0.002256859
galaxy_a20_b10_c40_v5.col,20,10,40,5,545,525,526,0.003445925,41,0.00031055,526,0.002910617
galaxy_a20_b10_c50_v1.col,20,10,50,1,621,601,602,0.004497713,49,0.000427373,602,0.003849591
galaxy_a20_b10_c50_v2.col,20,10,50,2,674,654,655,0.005342209,51,0.000461033,655,0.004521838
galaxy_a20_b10_c50_v3.col,20,10,50,3,710,690,691,0.005911645,52,0.000482934,691,0.005060911
galaxy_a20_b10_c50_v4.col,20,10,50,4,589,569,570,0.004040884,51,0.000344271,570,0.003455638
galaxy_a20_b10_c50_v5.col,20,10,50,5,643,623,624,0.004815749,52,0.000389389,624,0.004117908
galaxy_a20_b10_c60_v1.col,20,10,60,1,845,825,826,0.008345129,59,0.000659827,826,0.00733262
galaxy_a20_b10_c60_v2.col,20,10,60,2,688,668,669,0.005581788,58,0.000451745,669,0.004748439
galaxy_a20_b10_c60_v3.col,20,10,60,3,755,735,736,0.006721128,61,0.000570621,736,0.00577734
galaxy_a20_b10_c60_v4.col,20,10,60,4,743,723,724,0.006525206,58,0.000560815,724,0.005580001
galaxy_a20_b10_c60_v5.col,20,10,60,5,678,658,659,0.005412341,60,0.000465401,659,0.012934122
galaxy_a20_b10_c70_v1.col,20,10,70,1,863,843,844,0.008654337,71,0.000700017,844,0.00753069
galaxy_a20_b10_c70_v2.col,20,10,70,2,624,604,605,0.004576862,55,0.000407412,605,0.003837193
galaxy_a20_b10_c70_v3.col,20,10,70,3,825,805,806,0.007960159,66,0.000631635,806,0.006886134
galaxy_a20_b10_c70_v4.col,20,10,70,4,818,798,799,0.007856402,64,0.000631106,799,0.006757691
galaxy_a20_b10_c70_v5.col,20,10,70,5,819,799,800,0.007832812,63,0.000616522,800,0.006772023
galaxy_a20_b10_c80_v1.col,20,10,80,1,923,903,904,0.009944656,78,0.000765743,904,0.008628148
galaxy_a20_b10_c80_v2.col,20,10,80,2,918,898,899,0.009841511,78,0.000758508,899,0.008516034
galaxy_a20_b10_c80_v3.col,20,10,80,3,1028,1008,1009,0.012319925,78,0.000919323,1009,0.010821443
galaxy_a20_b10_c80_v4.col,20,10,80,4,867,847,848,0.0086742,81,0.00069501,848,0.007568483
galaxy_a20_b10_c80_v5.col,20,10,80,5,999,979,980,0.011657167,75,0.000837337,980,0.010220064
galaxy_a20_b10_c90_v1.col,20,10,90,1,1013,993,994,0.012026983,86,0.000862227,994,0.010525222
galaxy_a20_b10_c90_v2.col,20,10,90,2,1017,997,998,0.012048014,91,0.000904652,998,0.010562298
galaxy_a20_b10_c90_v3.col,20,10,90,3,841,821,822,0.008205832,87,0.000646501,822,0.007093102
galaxy_a20_b10_c90_v4.col,20,10,90,4,1028,1008,1009,0.012294661,85,0.000913717,1009,0.010773498
galaxy_a20_b10_c90_v5.col,20,10,90,5,1063,1043,1044,0.013133303,88,0.000950808,1044,0.011626466
galaxy_a25_b10_c100_v1.col,25,10,100,1,1373,1348,1349,0.021997991,99,0.001475894,1349,0.019446898
galaxy_a25_b10_c100_v2.col,25,10,100,2,1480,1455,1456,0.025675786,98,0.001611553,1456,0.022772753
galaxy_a25_b10_c100_v3.col,25,10,100,3,1574,1549,1550,0.028926069,101,0.001853336,1550,0.025829457
galaxy_a25_b10_c100_v4.col,25,10,100,4,1630,1605,1606,0.031207644,101,0.001971023,1606,0.027849534
galaxy_a25_b10_c100_v5.col,25,10,100,5,1456,1431,1432,0.024892528,97,0.001629344,1432,0.022043445
galaxy_a25_b10_c20_v1.col,25,10,20,1,387,362,363,0.001698385,35,0.0001797,363,0.001451125
galaxy_a25_b10_c20_v2.col,25,10,20,2,398,373,374,0.001790371,35,0.000186407,374,0.001496871
galaxy_a25_b10_c20_v3.col,25,10,20,3,403,378,379,0.001860735,35,0.000188352,379,0.0015378
galaxy_a25_b10_c20_v4.col,25,10,20,4,372,347,348,0.001547882,35,0.000168226,348,0.00132401
galaxy_a25_b10_c20_v5.col,25,10,20,5,398,373,374,0.001792668,35,0.000196104,374,0.001495764
galaxy_a25_b10_c30_v1.col,25,10,30,1,557,532,533,0.003616384,37,0.00031941,533,0.003004833
galaxy_a25_b10_c30_v2.col,25,10,30,2,544,519,520,0.003401817,37,0.000296208,520,0.002867929
galaxy_a25_b10_c30_v3.col,25,10,30,3,513,488,489,0.002999592,35,0.000289361,489,0.002572104
galaxy_a25_b10_c30_v4.col,25,10,30,4,525,500,501,0.003144792,35,0.000277887,501,0.002619688
galaxy_a25_b10_c30_v5.col,25,10,30,5,528,503,504,0.003185563,37,0.000283122,504,0.002682927
galaxy_a25_b10_c40_v1.col,25,10,40,1,604,579,580,0.004261439,41,0.000347467,580,0.003521126
galaxy_a25_b10_c40_v2.col,25,10,40,2,655,630,631,0.004993135,42,0.000428045,631,0.004215835
galaxy_a25_b10_c40_v3.col,25,10,40,3,634,609,610,0.00467838,41,0.000401465,610,0.003931737
galaxy_a25_b10_c40_v4.col,25,10,40,4,692,667,668,0.005572019,42,0.000462478,668,0.004715934
galaxy_a25_b10_c40_v5.col,25,10,40,5,625,600,601,0.004550023,41,0.000392189,601,0.003821934
galaxy_a25_b10_c50_v1.col,25,10,50,1,797,772,773,0.007379213,50,0.000563383,773,0.006302492
galaxy_a25_b10_c50_v2.col,25,10,50,2,749,724,725,0.006526562,51,0.000508054,725,0.00554462
galaxy_a25_b10_c50_v3.col,25,10,50,3,762,737,738,0.006744977,51,0.000533135,738,0.005766463
galaxy_a25_b10_c50_v4.col,25,10,50,4,849,824,825,0.008374942,50,0.000639237,825,0.007195976
galaxy_a25_b10_c50_v5.col,25,10,50,5,789,764,765,0.007263598,50,0.000565185,765,0.006154835
galaxy_a25_b10_c60_v1.col,25,10,60,1,814,789,790,0.007645471,60,0.000605954,790,0.006578176
galaxy_a25_b10_c60_v2.col,25,10,60,2,882,857,858,0.009036482,61,0.000683142,858,0.00776812
galaxy_a25_b10_c60_v3.col,25,10,60,3,865,840,841,0.008666982,61,0.000661498,841,0.007440405
galaxy_a25_b10_c60_v4.col,25,10,60,4,913,888,889,0.009637945,61,0.000720723,889,0.008404231
galaxy_a25_b10_c60_v5.col,25,10,60,5,887,862,863,0.009092266,60,0.000730116,863,0.007852245
galaxy_a25_b10_c70_v1.col,25,10,70,1,1030,1005,1006,0.012331978,71,0.000882784,1006,0.010791308
galaxy_a25_b10_c70_v2.col,25,10,70,2,1013,988,989,0.011958824,68,0.000847401,989,0.010422527
galaxy_a25_b10_c70_v3.col,25,10,70,3,1028,1003,1004,0.012340648,68,0.000868428,1004,0.011019079
galaxy_a25_b10_c70_v4.col,25,10,70,4,1004,979,980,0.011721766,71,0.000839103,980,0.010239128
galaxy_a25_b10_c70_v5.col,25,10,70,5,949,924,925,0.010541642,64,0.000762488,925,0.009137948
galaxy_a25_b10_c80_v1.col,25,10,80,1,1071,1046,1047,0.013380786,78,0.000950754,1047,0.011684408
galaxy_a25_b10_c80_v2.col,25,10,80,2,1275,1250,1251,0.018941248,79,0.001280156,1251,0.016769994
galaxy_a25_b10_c80_v3.col,25,10,80,3,1339,1314,1315,0.020918854,82,0.001375273,1315,0.018581981
galaxy_a25_b10_c80_v4.col,25,10,80,4,1099,1074,1075,0.014046258,81,0.000996736,1075,0.012318541
galaxy_a25_b10_c80_v5.col,25,10,80,5,1277,1252,1253,0.019147668,73,0.001280762,1253,0.016916514
galaxy_a25_b10_c90_v1.col,25,10,90,1,1220,1195,1196,0.017344814,90,0.001177707,1196,0.015991235
galaxy_a25_b10_c90_v2.col,25,10,90,2,1128,1103,1104,0.014822809,79,0.001023059,1104,0.013141854
galaxy_a25_b10_c90_v3.col,25,10,90,3,1201,1176,1177,0.016773741,91,0.001165669,1177,0.014784778
galaxy_a25_b10_c90_v4.col,25,10,90,4,1077,1052,1053,0.01349364,89,0.000968987,1053,0.011922757
galaxy_a25_b10_c90_v5.col,25,10,90,5,1435,1410,1411,0.024055528,90,0.00155025,1411,0.021398663
galaxy_a30_b10_c100_v1.col,30,10,100,1,1837,1807,1808,0.03977176,100,0.00235323,1808,0.037138583
galaxy_a30_b10_c100_v2.col,30,10,100,2,1411,1381,1382,0.023409429,83,0.001485044,1382,0.021322219
galaxy_a30_b10_c100_v3.col,30,10,100,3,1687,1657,1658,0.033377603,97,0.001981801,1658,0.030277872
galaxy_a30_b10_c100_v4.col,30,10,100,4,1489,1459,1460,0.025934418,101,0.001636821,1460,0.022943091
galaxy_a30_b10_c100_v5.col,30,10,100,5,1571,1541,1542,0.028845263,101,0.001762527,1542,0.025590701
galaxy_a30_b10_c20_v1.col,30,10,20,1,479,449,450,0.00261104,40,0.000240505,450,0.002155399
galaxy_a30_b10_c20_v2.col,30,10,20,2,494,464,465,0.002757407,40,0.000267552,465,0.002289349
galaxy_a30_b10_c20_v3.col,30,10,20,3,492,462,463,0.002723584,40,0.00024196,463,0.002263892
galaxy_a30_b10_c20_v4.col,30,10,20,4,497,467,468,0.002776865,40,0.000258821,468,0.002320767
galaxy_a30_b10_c20_v5.col,30,10,20,5,468,438,439,0.002458281,40,0.000250412,439,0.002043923
galaxy_a30_b10_c30_v1.col,30,10,30,1,561,531,532,0.003584799,40,0.00030869,532,0.003021563
galaxy_a30_b10_c30_v2.col,30,10,30,2,623,593,594,0.004478178,40,0.000392725,594,0.003841965
galaxy_a30_b10_c30_v3.col,30,10,30,3,609,579,580,0.004256596,40,0.000383148,580,0.003564089
galaxy_a30_b10_c30_v4.col,30,10,30,4,621,591,592,0.004564945,40,0.000402123,592,0.003734908
galaxy_a30_b10_c30_v5.col,30,10,30,5,600,570,571,0.004107558,40,0.000338303,571,0.003427485
galaxy_a30_b10_c40_v1.col,30,10,40,1,839,809,810,0.008174001,45,0.000605668,810,0.007006258
galaxy_a30_b10_c40_v2.col,30,10,40,2,786,756,757,0.007187563,43,0.000530152,757,0.006117067
galaxy_a30_b10_c40_v3.col,30,10,40,3,840,810,811,0.008248683,46,0.000610008,811,0.007022719
galaxy_a30_b10_c40_v4.col,30,10,40,4,677,647,648,0.005289444,40,0.000423157,648,0.004482972
galaxy_a30_b10_c40_v5.col,30,10,40,5,745,715,716,0.006437527,43,0.000507859,716,0.005483763
galaxy_a30_b10_c50_v1.col,30,10,50,1,984,954,955,0.011255837,51,0.00079003,955,0.009826197
galaxy_a30_b10_c50_v2.col,30,10,50,2,856,826,827,0.008461671,49,0.000623053,827,0.0072831
galaxy_a30_b10_c50_v3.col,30,10,50,3,992,962,963,0.011414729,55,0.000798302,963,0.016772358
galaxy_a30_b10_c50_v4.col,30,10,50,4,973,943,944,0.010952353,51,0.000773333,944,0.009572963
galaxy_a30_b10_c50_v5.col,30,10,50,5,922,892,893,0.009865776,52,0.000694519,893,0.008522406
galaxy_a30_b10_c60_v1.col,30,10,60,1,1088,1058,1059,0.013892588,61,0.000992306,1059,0.012060448
galaxy_a30_b10_c60_v2.col,30,10,60,2,1115,1085,1086,0.014517728,63,0.001001037,1086,0.012762221
galaxy_a30_b10_c60_v3.col,30,10,60,3,1104,1074,1075,0.014178678,60,0.000965021,1075,0.012462796
galaxy_a30_b10_c60_v4.col,30,10,60,4,936,906,907,0.010144424,61,0.000736614,907,0.008796698
galaxy_a30_b10_c60_v5.col,30,10,60,5,1075,1045,1046,0.013436011,60,0.000941505,1046,0.011814719
galaxy_a30_b10_c70_v1.col,30,10,70,1,1148,1118,1119,0.01531979,71,0.001053679,1119,0.013494496
galaxy_a30_b10_c70_v2.col,30,10,70,2,1132,1102,1103,0.014922634,70,0.001036668,1103,0.013084003
galaxy_a30_b10_c70_v3.col,30,10,70,3,1318,1288,1289,0.020233576,71,0.0012973,1289,0.017915881
galaxy_a30_b10_c70_v4.col,30,10,70,4,1123,1093,1094,0.014647461,73,0.001015258,1094,0.012886975
galaxy_a30_b10_c70_v5.col,30,10,70,5,1182,1152,1153,0.016290231,71,0.001100222,1153,0.014330463
galaxy_a30_b10_c80_v1.col,30,10,80,1,1403,1373,1374,0.022936102,81,0.001457062,1374,0.020413832
galaxy_a30_b10_c80_v2.col,30,10,80,2,1432,1402,1403,0.023889221,83,0.001643549,1403,0.021269548
galaxy_a30_b10_c80_v3.col,30,10,80,3,1220,1190,1191,0.017340171,79,0.001126531,1191,0.015220944
galaxy_a30_b10_c80_v4.col,30,10,80,4,1515,1485,1486,0.02678885,80,0.001649163,1486,0.023701715
galaxy_a30_b10_c80_v5.col,30,10,80,5,1360,1330,1331,0.021597914,72,0.001357793,1331,0.019061284
galaxy_a30_b10_c90_v1.col,30,10,90,1,1608,1578,1579,0.030198776,92,0.001807276,1579,0.026899634
galaxy_a30_b10_c90_v2.col,30,10,90,2,1408,1378,1379,0.02325989,86,0.001485211,1379,0.020539271
galaxy_a30_b10_c90_v3.col,30,10,90,3,1498,1468,1469,0.026062884,91,0.001683996,1469,0.023284839
galaxy_a30_b10_c90_v4.col,30,10,90,4,1863,1833,1834,0.041136282,90,0.002324451,1834,0.036425922
galaxy_a30_b10_c90_v5.col,30,10,90,5,1520,1490,1491,0.02712757,91,0.001678496,1491,0.023927994
galaxy_a35_b10_c100_v1.col,35,10,100,1,1935,1900,1901,0.044107848,101,0.002466266,1901,0.039181439
galaxy_a35_b10_c100_v2.col,35,10,100,2,1868,1833,1834,0.047591091,101,0.002319587,1834,0.036602136
galaxy_a35_b10_c100_v3.col,35,10,100,3,1678,1643,1644,0.032888939,93,0.001966634,1644,0.029226799
galaxy_a35_b10_c100_v4.col,35,10,100,4,2167,2132,2133,0.055638977,102,0.003200177,2133,0.050044091
galaxy_a35_b10_c100_v5.col,35,10,100,5,1803,1768,1769,0.038134443,101,0.002232384,1769,0.033915334
galaxy_a35_b10_c20_v1.col,35,10,20,1,556,521,522,0.003471139,45,0.00031792,522,0.002893422
galaxy_a35_b10_c20_v2.col,35,10,20,2,551,516,517,0.003406689,45,0.000290887,517,0.002871419
galaxy_a35_b10_c20_v3.col,35,10,20,3,533,498,499,0.003185745,45,0.000296721,499,0.002647648
galaxy_a35_b10_c20_v4.col,35,10,20,4,534,499,500,0.003185858,45,0.000295276,500,0.00271017
galaxy_a35_b10_c20_v5.col,35,10,20,5,527,492,493,0.003095094,45,0.000291137,493,0.002596001
galaxy_a35_b10_c30_v1.col,35,10,30,1,743,708,709,0.006341488,46,0.000522488,709,0.005429083
galaxy_a35_b10_c30_v2.col,35,10,30,2,728,693,694,0.006134636,45,0.000490171,694,0.00515514
galaxy_a35_b10_c30_v3.col,35,10,30,3,764,729,730,0.010924565,45,0.00052446,730,0.005735627
galaxy_a35_b10_c30_v4.col,35,10,30,4,731,696,697,0.006200413,46,0.000485282,697,0.00524786
galaxy_a35_b10_c30_v5.col,35,10,30,5,723,688,689,0.006082188,45,0.000476742,689,0.005099103
galaxy_a35_b10_c40_v1.col,35,10,40,1,996,961,962,0.011491059,51,0.000762394,962,0.009986275
galaxy_a35_b10_c40_v2.col,35,10,40,2,927,892,893,0.009931407,48,0.000697529,893,0.008627103
galaxy_a35_b10_c40_v3.col,35,10,40,3,930,895,896,0.010110158,47,0.00068913,896,0.008684946
galaxy_a35_b10_c40_v4.col,35,10,40,4,875,840,841,0.008875154,47,0.015447313,841,0.007591983
galaxy_a35_b10_c40_v5.col,35,10,40,5,766,731,732,0.006752239,45,0.000538069,732,0.005762606
galaxy_a35_b10_c50_v1.col,35,10,50,1,1115,1080,1081,0.01443688,52,0.000957031,1081,0.012642804
galaxy_a35_b10_c50_v2.col,35,10,50,2,1186,1151,1152,0.016341888,53,0.001081679,1152,0.014515014
galaxy_a35_b10_c50_v3.col,35,10,50,3,1150,1115,1116,0.015389014,54,0.001044253,1116,0.01349975
galaxy_a35_b10_c50_v4.col,35,10,50,4,1074,1039,1040,0.013380272,51,0.000948416,1040,0.011699608
galaxy_a35_b10_c50_v5.col,35,10,50,5,1084,1049,1050,0.013763085,52,0.000937738,1050,0.011932636
galaxy_a35_b10_c60_v1.col,35,10,60,1,1295,1260,1261,0.01959848,61,0.001231181,1261,0.017190946
galaxy_a35_b10_c60_v2.col,35,10,60,2,1199,1164,1165,0.016714415,57,0.001078737,1165,0.014644032
galaxy_a35_b10_c60_v3.col,35,10,60,3,1270,1235,1236,0.018712081,57,0.001214871,1236,0.016926326
galaxy_a35_b10_c60_v4.col,35,10,60,4,1259,1224,1225,0.018393836,61,0.001184942,1225,0.016249498
galaxy_a35_b10_c60_v5.col,35,10,60,5,1205,1170,1171,0.016890734,59,0.001121715,1171,0.014863507
galaxy_a35_b10_c70_v1.col,35,10,70,1,1521,1486,1487,0.027071181,71,0.00165657,1487,0.02396646
galaxy_a35_b10_c70_v2.col,35,10,70,2,1394,1359,1360,0.022703838,64,0.001404455,1360,0.020019574
galaxy_a35_b10_c70_v3.col,35,10,70,3,1415,1380,1381,0.023731947,67,0.001591973,1381,0.020826142
galaxy_a35_b10_c70_v4.col,35,10,70,4,1389,1354,1355,0.022427798,72,0.001451606,1355,0.019869807
galaxy_a35_b10_c70_v5.col,35,10,70,5,1323,1288,1289,0.020360343,70,0.001280248,1289,0.017959745
galaxy_a35_b10_c80_v1.col,35,10,80,1,1668,1633,1634,0.032491587,81,0.001900621,1634,0.028939576
galaxy_a35_b10_c80_v2.col,35,10,80,2,1491,1456,1457,0.025907194,78,0.001642459,1457,0.022865672
galaxy_a35_b10_c80_v3.col,35,10,80,3,1628,1593,1594,0.031069765,82,0.001893467,1594,0.027530227
galaxy_a35_b10_c80_v4.col,35,10,80,4,1451,1416,1417,0.024592382,79,0.001535209,1417,0.021746086
galaxy_a35_b10_c80_v5.col,35,10,80,5,1571,1536,1537,0.028752461,81,0.001725472,1537,0.02551842
galaxy_a35_b10_c90_v1.col,35,10,90,1,1716,1681,1682,0.034514244,90,0.002018774,1682,0.030625914
galaxy_a35_b10_c90_v2.col,35,10,90,2,1608,1573,1574,0.030217909,90,0.001760079,1574,0.026609312
galaxy_a35_b10_c90_v3.col,35,10,90,3,1390,1355,1356,0.022493934,86,0.001444363,1356,0.019827499
galaxy_a35_b10_c90_v4.col,35,10,90,4,1729,1694,1695,0.034901442,91,0.002082712,1695,0.031064821
galaxy_a35_b10_c90_v5.col,35,10,90,5,1924,1889,1890,0.043645794,91,0.002424655,1890,0.038779441
galaxy_a40_b10_c100_v1.col,40,10,100,1,2441,2401,2402,0.071757333,102,0.003859332,2402,0.064813466
galaxy_a40_b10_c100_v2.col,40,10,100,2,2316,2276,2277,0.064035996,99,0.003487242,2277,0.057015394
galaxy_a40_b10_c100_v3.col,40,10,100,3,2184,2144,2145,0.056483532,101,0.003145514,2145,0.050548118
galaxy_a40_b10_c100_v4.col,40,10,100,4,2262,2222,2223,0.061124074,100,0.003367459,2223,0.054714043
galaxy_a40_b10_c100_v5.col,40,10,100,5,2104,2064,2065,0.052026141,101,0.002981556,2065,0.046892974
galaxy_a40_b10_c20_v1.col,40,10,20,1,637,597,598,0.004724995,50,0.000392237,598,0.003817294
galaxy_a40_b10_c20_v2.col,40,10,20,2,642,602,603,0.004704629,50,0.000397329,603,0.00388397
galaxy_a40_b10_c20_v3.col,40,10,20,3,623,583,584,0.004384672,50,0.000355267,584,0.003629469
galaxy_a40_b10_c20_v4.col,40,10,20,4,666,626,627,0.005072925,50,0.000436555,627,0.004317498
galaxy_a40_b10_c20_v5.col,40,10,20,5,636,596,597,0.004592584,50,0.000399679,597,0.003819192
galaxy_a40_b10_c30_v1.col,40,10,30,1,797,757,758,0.007278771,50,0.000555879,758,0.006145329
galaxy_a40_b10_c30_v2.col,40,10,30,2,799,759,760,0.00735594,50,0.000561627,760,0.006237305
galaxy_a40_b10_c30_v3.col,40,10,30,3,788,748,749,0.007243104,50,0.000538424,749,0.006072415
galaxy_a40_b10_c30_v4.col,40,10,30,4,824,784,785,0.00783666,50,0.000577452,785,0.006657188
galaxy_a40_b10_c30_v5.col,40,10,30,5,889,849,850,0.00909724,50,0.000679779,850,0.007850112
galaxy_a40_b10_c40_v1.col,40,10,40,1,1053,1013,1014,0.012864164,51,0.000895,1014,0.011169624
galaxy_a40_b10_c40_v2.col,40,10,40,2,1028,988,989,0.012216367,50,0.000818616,989,0.01058823
galaxy_a40_b10_c40_v3.col,40,10,40,3,1089,1049,1050,0.013737036,50,0.000951181,1050,0.012026481
galaxy_a40_b10_c40_v4.col,40,10,40,4,978,938,939,0.011021593,50,0.000756908,939,0.009555198
galaxy_a40_b10_c40_v5.col,40,10,40,5,1053,1013,1014,0.012821676,51,0.000882515,1014,0.011185082
galaxy_a40_b10_c50_v1.col,40,10,50,1,1176,1136,1137,0.016062646,53,0.001061572,1137,0.014036988
galaxy_a40_b10_c50_v2.col,40,10,50,2,1276,1236,1237,0.018894389,56,0.001209876,1237,0.016586453
galaxy_a40_b10_c50_v3.col,40,10,50,3,1278,1238,1239,0.018980594,56,0.001356149,1239,0.016723325
galaxy_a40_b10_c50_v4.col,40,10,50,4,1208,1168,1169,0.016974157,52,0.001091758,1169,0.014845937
galaxy_a40_b10_c50_v5.col,40,10,50,5,1354,1314,1315,0.021361716,58,0.001313088,1315,0.018784112
galaxy_a40_b10_c60_v1.col,40,10,60,1,1561,1521,1522,0.028508624,66,0.001703501,1522,0.025349408
galaxy_a40_b10_c60_v2.col,40,10,60,2,1399,1359,1360,0.022764326,61,0.001388951,1360,0.019872909
galaxy_a40_b10_c60_v3.col,40,10,60,3,1409,1369,1370,0.023157026,60,0.001455842,1370,0.020447103
galaxy_a40_b10_c60_v4.col,40,10,60,4,1484,1444,1445,0.025714293,62,0.001542754,1445,0.022726581
galaxy_a40_b10_c60_v5.col,40,10,60,5,1377,1337,1338,0.022062129,61,0.001388703,1338,0.01950684
galaxy_a40_b10_c70_v1.col,40,10,70,1,1551,1511,1512,0.028097619,69,0.001646025,1512,0.024810028
galaxy_a40_b10_c70_v2.col,40,10,70,2,1571,1531,1532,0.029249614,68,0.001695139,1532,0.025610398
galaxy_a40_b10_c70_v3.col,40,10,70,3,1643,1603,1604,0.031595412,72,0.001802366,1604,0.027970117
galaxy_a40_b10_c70_v4.col,40,10,70,4,1441,1401,1402,0.024211062,71,0.001513985,1402,0.021553188
galaxy_a40_b10_c70_v5.col,40,10,70,5,1662,1622,1623,0.032454184,71,0.001913698,1623,0.028934869
galaxy_a40_b10_c80_v1.col,40,10,80,1,2093,2053,2054,0.051977055,83,0.002945952,2054,0.046675554
galaxy_a40_b10_c80_v2.col,40,10,80,2,1859,1819,1820,0.040692395,81,0.002278706,1820,0.036154938
galaxy_a40_b10_c80_v3.col,40,10,80,3,1771,1731,1732,0.036754112,81,0.002113946,1732,0.032593022
galaxy_a40_b10_c80_v4.col,40,10,80,4,1736,1696,1697,0.035341863,76,0.001990899,1697,0.031423429
galaxy_a40_b10_c80_v5.col,40,10,80,5,1864,1824,1825,0.041525483,82,0.002278722,1825,0.036528942
galaxy_a40_b10_c90_v1.col,40,10,90,1,2157,2117,2118,0.055258823,91,0.003077632,2118,0.049468248
galaxy_a40_b10_c90_v2.col,40,10,90,2,2012,1972,1973,0.047807712,92,0.002668484,1973,0.042509086
galaxy_a40_b10_c90_v3.col,40,10,90,3,1918,1878,1879,0.044049402,91,0.002459272,1879,0.038794186
galaxy_a40_b10_c90_v4.col,40,10,90,4,1937,1897,1898,0.04409627,89,0.00249809,1898,0.039402607
galaxy_a40_b10_c90_v5.col,40,10,90,5,2098,2058,2059,0.05201751,91,0.003040405,2059,0.046717503
galaxy_a45_b10_c100_v1.col,45,10,100,1,2601,2556,2557,0.082906222,102,0.004304719,2557,0.074714631
galaxy_a45_b10_c100_v2.col,45,10,100,2,2498,2453,2454,0.075813882,100,0.004069064,2454,0.068200237
galaxy_a45_b10_c100_v3.col,45,10,100,3,2530,2485,2486,0.077698986,101,0.004083235,2486,0.070103598
galaxy_a45_b10_c100_v4.col,45,10,100,4,2621,2576,2577,0.084460908,100,0.004381146,2577,0.076097317
galaxy_a45_b10_c100_v5.col,45,10,100,5,2454,2409,2410,0.072443345,98,0.003818225,2410,0.065286099
galaxy_a45_b10_c20_v1.col,45,10,20,1,716,671,672,0.005842087,55,0.000474535,672,0.004847768
galaxy_a45_b10_c20_v2.col,45,10,20,2,701,656,657,0.005597556,55,0.000458711,657,0.004664657
galaxy_a45_b10_c20_v3.col,45,10,20,3,730,685,686,0.006029054,55,0.000500938,686,0.005072728
galaxy_a45_b10_c20_v4.col,45,10,20,4,707,662,663,0.005682014,55,0.000425521,663,0.004769115
galaxy_a45_b10_c20_v5.col,45,10,20,5,712,667,668,0.005865061,55,0.000467435,668,0.004809241
galaxy_a45_b10_c30_v1.col,45,10,30,1,933,888,889,0.0099785,56,0.000705099,889,0.008575955
galaxy_a45_b10_c30_v2.col,45,10,30,2,945,900,901,0.010219027,55,0.000700466,901,0.008707059
galaxy_a45_b10_c30_v3.col,45,10,30,3,901,856,857,0.0093199,56,0.000678098,857,0.007941461
galaxy_a45_b10_c30_v4.col,45,10,30,4,899,854,855,0.009229687,55,0.000697617,855,0.00790217
galaxy_a45_b10_c30_v5.col,45,10,30,5,994,949,950,0.011476546,55,0.000751908,950,0.009769498
galaxy_a45_b10_c40_v1.col,45,10,40,1,1267,1222,1223,0.018583823,57,0.001144324,1223,0.016268114
galaxy_a45_b10_c40_v2.col,45,10,40,2,1309,1264,1265,0.019925075,57,0.00124655,1265,0.017488552
galaxy_a45_b10_c40_v3.col,45,10,40,3,1162,1117,1118,0.015611596,55,0.001007413,1118,0.013597986
galaxy_a45_b10_c40_v4.col,45,10,40,4,1140,1095,1096,0.015065753,55,0.000970252,1096,0.013375422
galaxy_a45_b10_c40_v5.col,45,10,40,5,1178,1133,1134,0.016220811,55,0.001060433,1134,0.014201289
galaxy_a45_b10_c50_v1.col,45,10,50,1,1467,1422,1423,0.02531819,59,0.001484587,1423,0.022031155
galaxy_a45_b10_c50_v2.col,45,10,50,2,1385,1340,1341,0.022259702,56,0.001358921,1341,0.019657941
galaxy_a45_b10_c50_v3.col,45,10,50,3,1430,1385,1386,0.023801946,61,0.001437931,1386,0.020944205
galaxy_a45_b10_c50_v4.col,45,10,50,4,1386,1341,1342,0.022244802,55,0.001333145,1342,0.019585186
galaxy_a45_b10_c50_v5.col,45,10,50,5,1300,1255,1256,0.019594494,57,0.001208027,1256,0.017168274
galaxy_a45_b10_c60_v1.col,45,10,60,1,1781,1736,1737,0.037066824,64,0.002079434,1737,0.033057118
galaxy_a45_b10_c60_v2.col,45,10,60,2,1659,1614,1615,0.03212395,62,0.001837809,1615,0.028385121
galaxy_a45_b10_c60_v3.col,45,10,60,3,1552,1507,1508,0.028013477,61,0.001637678,1508,0.024781144
galaxy_a45_b10_c60_v4.col,45,10,60,4,1711,1666,1667,0.034230024,63,0.008386356,1667,0.030431103
galaxy_a45_b10_c60_v5.col,45,10,60,5,1572,1527,1528,0.02876936,60,0.001643627,1528,0.025371926
galaxy_a45_b10_c70_v1.col,45,10,70,1,1662,1617,1618,0.032295148,70,0.001889024,1618,0.028571115
galaxy_a45_b10_c70_v2.col,45,10,70,2,1876,1831,1832,0.041195591,69,0.00225838,1832,0.03670348
galaxy_a45_b10_c70_v3.col,45,10,70,3,1690,1645,1646,0.034002044,68,0.00195123,1646,0.029617405
