instancia,a,b,c,v,N,M,melhor_chi,tempo_melhor,heuristica_vencedora
galaxy_a05_b10_c60_v2.col,5,10,60,2,166,161,41,0.000964323,MinGrau
galaxy_a05_b10_c60_v3.col,5,10,60,3,216,211,61,0.002780767,MinGrau
galaxy_a05_b10_c60_v4.col,5,10,60,4,222,217,60,0.002979972,MinGrau
galaxy_a05_b10_c60_v5.col,5,10,60,5,147,142,58,0.000789119,MinGrau
galaxy_a05_b10_c70_v1.col,5,10,70,1,190,185,67,0.001404034,MinGrau
galaxy_a05_b10_c70_v2.col,5,10,70,2,166,161,70,0.002697965,MinGrau
galaxy_a05_b10_c70_v3.col,5,10,70,3,178,173,67,0.002940671,MinGrau
galaxy_a05_b10_c70_v4.col,5,10,70,4,264,259,68,0.003380381,MinGrau
galaxy_a05_b10_c70_v5.col,5,10,70,5,265,260,67,0.005203288,MinGrau
galaxy_a05_b10_c80_v1.col,5,10,80,1,261,256,66,0.003399992,MinGrau
galaxy_a05_b10_c80_v2.col,5,10,80,2,165,160,75,0.001476196,MinGrau
galaxy_a05_b10_c80_v3.col,5,10,80,3,217,212,67,0.004576589,MinGrau
galaxy_a05_b10_c80_v4.col,5,10,80,4,237,232,81,0.005004389,MinGrau
galaxy_a05_b10_c80_v5.col,5,10,80,5,204,199,63,0.002075695,MinGrau
galaxy_a05_b10_c90_v1.col,5,10,90,1,239,234,88,0.003825691,MinGrau
galaxy_a05_b10_c90_v2.col,5,10,90,2,312,307,90,0.010966675,MinGrau
galaxy_a05_b10_c90_v3.col,5,10,90,3,252,247,69,0.003419992,MinGrau
galaxy_a05_b10_c90_v4.col,5,10,90,4,221,216,78,0.003489192,MinGrau
galaxy_a05_b10_c90_v5.col,5,10,90,5,254,249,90,0.004045191,MinGrau
galaxy_a10_b10_c100_v1.col,10,10,100,1,510,500,94,0.045109591,MinGrau
galaxy_a10_b10_c100_v2.col,10,10,100,2,650,640,97,0.056788063,MinGrau
galaxy_a10_b10_c100_v3.col,10,10,100,3,600,590,98,0.031018321,MinGrau
galaxy_a10_b10_c100_v4.col,10,10,100,4,601,591,101,0.036346504,MinGrau
galaxy_a10_b10_c100_v5.col,10,10,100,5,545,535,88,0.041673489,MinGrau
galaxy_a10_b10_c20_v1.col,10,10,20,1,164,154,22,0.000662998,MinGrau
galaxy_a10_b10_c20_v2.col,10,10,20,2,159,149,21,0.000590899,MinGrau
galaxy_a10_b10_c20_v3.col,10,10,20,3,160,150,22,0.000715398,MinGrau
galaxy_a10_b10_c20_v4.col,10,10,20,4,147,137,21,0.000549299,MinGrau
galaxy_a10_b10_c20_v5.col,10,10,20,5,167,157,23,0.000694998,MinGrau
galaxy_a10_b10_c30_v1.col,10,10,30,1,218,208,28,0.001518796,MinGrau
galaxy_a10_b10_c30_v2.col,10,10,30,2,222,212,31,0.001814695,MinGrau
galaxy_a10_b10_c30_v3.col,10,10,30,3,208,198,27,0.001348116,MinGrau
galaxy_a10_b10_c30_v4.col,10,10,30,4,196,186,28,0.000978311,MinGrau
galaxy_a10_b10_c30_v5.col,10,10,30,5,212,202,31,0.001643919,MinGrau
galaxy_a10_b10_c40_v1.col,10,10,40,1,245,235,37,0.003133636,MinGrau
galaxy_a10_b10_c40_v2.col,10,10,40,2,246,236,39,0.002722731,MinGrau
galaxy_a10_b10_c40_v3.col,10,10,40,3,279,269,41,0.002360927,MinGrau
galaxy_a10_b10_c40_v4.col,10,10,40,4,259,249,38,0.002005723,MinGrau
galaxy_a10_b10_c40_v5.col,10,10,40,5,262,252,41,0.002097424,MinGrau
galaxy_a10_b10_c50_v1.col,10,10,50,1,337,327,51,0.007565487,MinGrau
galaxy_a10_b10_c50_v2.col,10,10,50,2,376,366,50,0.007775789,MinGrau
galaxy_a10_b10_c50_v3.col,10,10,50,3,351,341,49,0.005171459,MinGrau
galaxy_a10_b10_c50_v4.col,10,10,50,4,286,276,48,0.010716122,MinGrau
galaxy_a10_b10_c50_v5.col,10,10,50,5,320,310,51,0.004543952,MinGrau
galaxy_a10_b10_c60_v1.col,10,10,60,1,360,350,61,0.005605564,MinGrau
galaxy_a10_b10_c60_v2.col,10,10,60,2,261,251,51,0.004707353,MinGrau
galaxy_a10_b10_c60_v3.col,10,10,60,3,259,249,53,0.003588441,MinGrau
galaxy_a10_b10_c60_v4.col,10,10,60,4,402,392,59,0.01673869,MinGrau
galaxy_a10_b10_c60_v5.col,10,10,60,5,341,331,59,0.008497996,MinGrau
galaxy_a10_b10_c70_v1.col,10,10,70,1,458,448,61,0.018345606,MinGrau
galaxy_a10_b10_c70_v2.col,10,10,70,2,492,482,65,0.018238206,MinGrau
galaxy_a10_b10_c70_v3.col,10,10,70,3,447,437,72,0.018298473,MinGrau
galaxy_a10_b10_c70_v4.col,10,10,70,4,430,420,69,0.020748967,MinGrau
galaxy_a10_b10_c70_v5.col,10,10,70,5,456,446,69,0.012766279,MinGrau
galaxy_a10_b10_c80_v1.col,10,10,80,1,469,459,77,0.03031625,MinGrau
galaxy_a10_b10_c80_v2.col,10,10,80,2,519,509,79,0.064250592,MinGrau
galaxy_a10_b10_c80_v3.col,10,10,80,3,575,565,82,0.024961257,MinGrau
galaxy_a10_b10_c80_v4.col,10,10,80,4,435,425,75,0.011057098,MinGrau
galaxy_a10_b10_c80_v5.col,10,10,80,5,424,414,77,0.009161297,MinGrau
galaxy_a10_b10_c90_v1.col,10,10,90,1,550,540,90,0.022370893,MinGrau
galaxy_a10_b10_c90_v2.col,10,10,90,2,618,608,85,0.032732789,MinGrau
galaxy_a10_b10_c90_v3.col,10,10,90,3,438,428,71,0.011167596,MinGrau
galaxy_a10_b10_c90_v4.col,10,10,90,4,475,465,89,0.016643192,MinGrau
galaxy_a10_b10_c90_v5.col,10,10,90,5,593,583,87,0.042891078,MinGrau
galaxy_a15_b10_c100_v1.col,15,10,100,1,876,861,94,0.061069861,MinGrau
