b,c,mean_time,se_time,N,M,v,mean_chi,a,instancia,se_chi
10,30,0.01114,0.0006,108,103,3,27.0,5,galaxy_a05_b10_c30_v3.col,0.0
10,30,0.00987,0.0006,96,91,4,29.0,5,galaxy_a05_b10_c30_v4.col,0.0
10,30,0.01083,0.0008,102,97,5,31.0,5,galaxy_a05_b10_c30_v5.col,0.0
10,40,0.017,0.0006,149,144,1,40.0,5,galaxy_a05_b10_c40_v1.col,0.0
10,40,0.02065,0.0007,161,156,2,41.0,5,galaxy_a05_b10_c40_v2.col,0.0
10,40,0.01637,0.0006,142,137,3,40.0,5,galaxy_a05_b10_c40_v3.col,0.0
10,40,0.01246,0.0006,118,113,4,32.0,5,galaxy_a05_b10_c40_v4.col,0.0
10,40,0.01987,0.0008,162,157,5,42.0,5,galaxy_a05_b10_c40_v5.col,0.0
10,50,0.02088,0.0007,165,160,1,48.0,5,galaxy_a05_b10_c50_v1.col,0.0
10,50,0.01454,0.0008,130,125,2,35.0,5,galaxy_a05_b10_c50_v2.col,0.0
10,50,0.01815,0.0008,150,145,3,51.0,5,galaxy_a05_b10_c50_v3.col,0.0
10,50,0.01866,0.0006,156,151,4,45.0,5,galaxy_a05_b10_c50_v4.col,0.0
10,50,0.01779,0.0008,150,145,5,41.0,5,galaxy_a05_b10_c50_v5.col,0.0
10,60,0.01993,0.0007,158,153,1,47.0,5,galaxy_a05_b10_c60_v1.col,0.0
10,60,0.0206,0.0007,166,161,2,41.0,5,galaxy_a05_b10_c60_v2.col,0.0
10,60,0.03177,0.0006,216,211,3,61.0,5,galaxy_a05_b10_c60_v3.col,0.0
10,60,0.03287,0.0007,222,217,4,60.0,5,galaxy_a05_b10_c60_v4.col,0.0
10,60,0.01796,0.0007,147,142,5,58.0,5,galaxy_a05_b10_c60_v5.col,0.0
10,70,0.02817,0.0007,190,185,1,67.0,5,galaxy_a05_b10_c70_v1.col,0.0
10,70,0.0221,0.0008,166,161,2,70.0,5,galaxy_a05_b10_c70_v2.col,0.0
10,70,0.02562,0.0006,178,173,3,67.0,5,galaxy_a05_b10_c70_v3.col,0.0
10,70,0.04169,0.0009,264,259,4,68.0,5,galaxy_a05_b10_c70_v4.col,0.0
10,70,0.04239,0.0008,265,260,5,67.0,5,galaxy_a05_b10_c70_v5.col,0.0
10,80,0.04057,0.0009,261,256,1,66.0,5,galaxy_a05_b10_c80_v1.col,0.0
10,80,0.02218,0.0008,165,160,2,75.0,5,galaxy_a05_b10_c80_v2.col,0.0
10,80,0.03247,0.0007,217,212,3,67.0,5,galaxy_a05_b10_c80_v3.col,0.0
10,80,0.03688,0.0007,237,232,4,81.0,5,galaxy_a05_b10_c80_v4.col,0.0
10,80,0.0299,0.0007,204,199,5,63.0,5,galaxy_a05_b10_c80_v5.col,0.0
10,90,0.03864,0.0007,239,234,1,88.0,5,galaxy_a05_b10_c90_v1.col,0.0
10,90,0.05428,0.0008,312,307,2,90.0,5,galaxy_a05_b10_c90_v2.col,0.0
10,90,0.04224,0.002,252,247,3,69.0,5,galaxy_a05_b10_c90_v3.col,0.0
10,90,0.03336,0.0008,221,216,4,78.0,5,galaxy_a05_b10_c90_v4.col,0.0
10,90,0.04285,0.001,254,249,5,90.0,5,galaxy_a05_b10_c90_v5.col,0.0
10,100,4.75497,0.1217,5804,5704,1,160.8,100,galaxy_a100_b10_c100_v1.col,1.3191
10,100,4.42525,0.0984,5555,5455,2,160.2,100,galaxy_a100_b10_c100_v2.col,1.5297
10,100,4.47844,0.0804,5712,5612,3,158.2,100,galaxy_a100_b10_c100_v3.col,1.3928
10,100,4.69909,0.1143,5713,5613,4,156.4,100,galaxy_a100_b10_c100_v4.col,1.9391
10,100,5.39231,0.1128,6255,6155,5,163.2,100,galaxy_a100_b10_c100_v5.col,3.2465
10,20,0.55504,0.0022,1608,1508,1,117.6,100,galaxy_a100_b10_c20_v1.col,2.2935
10,20,0.56917,0.0016,1614,1514,2,115.4,100,galaxy_a100_b10_c20_v2.col,0.9798
