instancia,a,b,c,v,N,M,chi_sat,tempo_sat,chi_min,tempo_min,chi_max,tempo_max
galaxy_a25_b10_c50_v2.col,25,10,50,2,749,724,724,0.859921945,51,0.029564854,725,0.805555759
galaxy_a25_b10_c50_v3.col,25,10,50,3,762,737,737,0.937445671,51,0.034401257,738,0.861780764
galaxy_a25_b10_c50_v4.col,25,10,50,4,849,824,824,1.242944226,50,0.038421355,825,1.174042833
galaxy_a25_b10_c50_v5.col,25,10,50,5,789,764,764,0.991769531,50,0.038922851,765,0.94636773
galaxy_a25_b10_c60_v1.col,25,10,60,1,814,789,789,1.088495641,60,0.040202946,790,1.035139131
galaxy_a25_b10_c60_v2.col,25,10,60,2,882,857,857,1.397823167,61,0.047105117,858,1.344177731
galaxy_a25_b10_c60_v3.col,25,10,60,3,865,840,840,1.381312438,61,0.049928534,841,1.326332157
galaxy_a25_b10_c60_v4.col,25,10,60,4,913,888,888,1.558502425,61,0.054607407,889,1.465237043
galaxy_a25_b10_c60_v5.col,25,10,60,5,887,862,862,1.464050532,60,0.049363799,863,1.380986521
galaxy_a25_b10_c70_v1.col,25,10,70,1,1030,1005,1005,2.276254468,71,0.077636381,1006,2.192325399
galaxy_a25_b10_c70_v2.col,25,10,70,2,1013,988,988,2.209204656,68,0.079932398,989,2.039105124
galaxy_a25_b10_c70_v3.col,25,10,70,3,1028,1003,1003,2.275416304,68,0.07579159,1004,2.148942939
galaxy_a25_b10_c70_v4.col,25,10,70,4,1004,979,979,2.126152812,71,0.067927058,980,2.082828426
galaxy_a25_b10_c70_v5.col,25,10,70,5,949,924,924,1.748809244,64,0.064607825,925,1.606084789
galaxy_a25_b10_c80_v1.col,25,10,80,1,1071,1046,1046,2.543446692,78,0.087066185,1047,2.432850021
galaxy_a25_b10_c80_v2.col,25,10,80,2,1275,1250,1250,6.684067799,79,0.252462107,1251,7.06897968
galaxy_a25_b10_c80_v3.col,25,10,80,3,1339,1314,1314,5.31613661,82,0.18563151,1315,5.426602318
galaxy_a25_b10_c80_v4.col,25,10,80,4,1099,1074,1074,2.783427047,81,0.102545504,1075,2.8886678
galaxy_a25_b10_c80_v5.col,25,10,80,5,1277,1252,1252,5.183069202,73,0.15974762,1253,4.849154737
galaxy_a25_b10_c90_v1.col,25,10,90,1,1220,1195,1195,4.272584896,90,0.143837374,1196,4.38658233
galaxy_a25_b10_c90_v2.col,25,10,90,2,1128,1103,1103,3.005653928,79,0.091247803,1104,3.002091039
galaxy_a25_b10_c90_v3.col,25,10,90,3,1201,1176,1176,5.912910718,91,0.2120619,1177,5.824525083
galaxy_a25_b10_c90_v4.col,25,10,90,4,1077,1052,1052,2.6507645,89,0.085325479,1053,2.503778085
galaxy_a25_b10_c90_v5.col,25,10,90,5,1435,1410,1410,9.244801214,90,0.326483033,1411,10.24586121
