instancia,a,b,c,v,N,M,chi_sat,tempo_sat,chi_min,tempo_min,chi_max,tempo_max
galaxy_a05_b10_c20_v5.col,5,10,20,5,80,75,75,0.000862321,20,0.000136003,76,0.000712817
galaxy_a05_b10_c30_v1.col,5,10,30,1,108,103,103,0.001970748,31,0.000278207,104,0.002423359
galaxy_a05_b10_c30_v2.col,5,10,30,2,111,106,106,0.002184752,31,0.000310707,107,0.002722065
galaxy_a05_b10_c30_v3.col,5,10,30,3,108,103,103,0.001925046,27,0.000278307,104,0.00166284
galaxy_a05_b10_c30_v4.col,5,10,30,4,96,91,91,0.00456381,29,0.000957323,92,0.003875093
galaxy_a05_b10_c30_v5.col,5,10,30,5,102,97,97,0.003966496,31,0.000772019,98,0.002937571
galaxy_a05_b10_c40_v1.col,5,10,40,1,149,144,144,0.005881842,40,0.000909422,145,0.005731038
galaxy_a05_b10_c40_v2.col,5,10,40,2,161,156,156,0.01412114,41,0.000833021,157,0.005574135
galaxy_a05_b10_c40_v3.col,5,10,40,3,142,137,137,0.005314028,40,0.000796319,138,0.004810916
galaxy_a05_b10_c40_v4.col,5,10,40,4,118,113,113,0.005411631,32,0.00082532,114,0.007587182
galaxy_a05_b10_c40_v5.col,5,10,40,5,162,157,157,0.007124872,42,0.001210429,158,0.008534306
galaxy_a05_b10_c50_v1.col,5,10,50,1,165,160,160,0.020889803,48,0.000959123,161,0.007019969
galaxy_a05_b10_c50_v2.col,5,10,50,2,130,125,125,0.003513584,35,0.000556013,126,0.003264979
galaxy_a05_b10_c50_v3.col,5,10,50,3,150,145,145,0.007924491,51,0.00204725,146,0.01493996
galaxy_a05_b10_c50_v4.col,5,10,50,4,156,151,151,0.006756563,45,0.000950922,152,0.006994368
galaxy_a05_b10_c50_v5.col,5,10,50,5,150,145,145,0.015928483,41,0.001368333,146,0.006245651
galaxy_a05_b10_c60_v1.col,5,10,60,1,158,153,153,0.007302676,47,0.001383534,154,0.010936663
galaxy_a05_b10_c60_v2.col,5,10,60,2,166,161,161,0.006760663,41,0.000964323,162,0.00874341
galaxy_a05_b10_c60_v3.col,5,10,60,3,216,211,211,0.030507235,61,0.002780767,212,0.036684083
galaxy_a05_b10_c60_v4.col,5,10,60,4,222,217,217,0.017694926,60,0.002979972,218,0.016309392
galaxy_a05_b10_c60_v5.col,5,10,60,5,147,142,142,0.005643936,58,0.000789119,143,0.003957895
galaxy_a05_b10_c70_v1.col,5,10,70,1,190,185,185,0.011776883,67,0.001404034,186,0.009938139
galaxy_a05_b10_c70_v2.col,5,10,70,2,166,161,161,0.01160828,70,0.002697965,162,0.015313169
galaxy_a05_b10_c70_v3.col,5,10,70,3,178,173,173,0.017490621,67,0.002940671,174,0.020056383
galaxy_a05_b10_c70_v4.col,5,10,70,4,264,259,259,0.029615013,68,0.003380381,260,0.046692824
galaxy_a05_b10_c70_v5.col,5,10,70,5,265,260,260,0.033064823,67,0.005203288,261,0.041299104
galaxy_a05_b10_c80_v1.col,5,10,80,1,261,256,256,0.040643605,66,0.003399992,257,0.026766738
galaxy_a05_b10_c80_v2.col,5,10,80,2,165,160,160,0.007805381,75,0.001476196,161,0.007528483
galaxy_a05_b10_c80_v3.col,5,10,80,3,217,212,212,0.020578852,67,0.004576589,213,0.020690652
galaxy_a05_b10_c80_v4.col,5,10,80,4,237,232,232,0.022824047,81,0.005004389,233,0.019621554
galaxy_a05_b10_c80_v5.col,5,10,80,5,204,199,199,0.026901338,63,0.002075695,200,0.013590268
galaxy_a05_b10_c90_v1.col,5,10,90,1,239,234,234,0.020351453,88,0.003825691,235,0.020097853
galaxy_a05_b10_c90_v2.col,5,10,90,2,312,307,307,0.047075591,90,0.010966675,308,0.068725039
galaxy_a05_b10_c90_v3.col,5,10,90,3,252,247,247,0.024833342,69,0.003419992,248,0.037066214
galaxy_a05_b10_c90_v4.col,5,10,90,4,221,216,216,0.018221658,78,0.003489192,217,0.02978893
galaxy_a05_b10_c90_v5.col,5,10,90,5,254,249,249,0.023460745,90,0.004045191,250,0.040243206
galaxy_a10_b10_c100_v1.col,10,10,100,1,510,500,500,0.270977947,94,0.045109591,501,0.266401975
galaxy_a10_b10_c100_v2.col,10,10,100,2,650,640,640,0.677750314,97,0.056788063,641,0.536657205
galaxy_a10_b10_c100_v3.col,10,10,100,3,600,590,590,0.487802447,98,0.031018321,591,0.410910167
galaxy_a10_b10_c100_v4.col,10,10,100,4,601,591,591,0.479202231,101,0.036346504,592,0.412799635
galaxy_a10_b10_c100_v5.col,10,10,100,5,545,535,535,0.349380852,88,0.041673489,536,0.318710256
galaxy_a10_b10_c20_v1.col,10,10,20,1,164,154,154,0.011573268,22,0.000662998,155,0.009677073
galaxy_a10_b10_c20_v2.col,10,10,20,2,159,149,149,0.008780176,21,0.000590899,150,0.006731482
galaxy_a10_b10_c20_v3.col,10,10,20,3,160,150,150,0.008263477,22,0.000715398,151,0.008817476
galaxy_a10_b10_c20_v4.col,10,10,20,4,147,137,137,0.006328582,21,0.000549299,138,0.005244586
galaxy_a10_b10_c20_v5.col,10,10,20,5,167,157,157,0.008962475,23,0.000694998,158,0.00746928
galaxy_a10_b10_c30_v1.col,10,10,30,1,218,208,208,0.020666644,28,0.001518796,209,0.017418253
galaxy_a10_b10_c30_v2.col,10,10,30,2,222,212,212,0.021128042,31,0.001814695,213,0.020558844
galaxy_a10_b10_c30_v3.col,10,10,30,3,208,198,198,0.016828093,27,0.001348116,199,0.030463128
galaxy_a10_b10_c30_v4.col,10,10,30,4,196,186,186,0.01391456,28,0.000978311,187,0.01218034
galaxy_a10_b10_c30_v5.col,10,10,30,5,212,202,202,0.019777527,31,0.001643919,203,0.027011211
galaxy_a10_b10_c40_v1.col,10,10,40,1,245,235,235,0.029543539,37,0.003133636,236,0.039419753
galaxy_a10_b10_c40_v2.col,10,10,40,2,246,236,236,0.024554282,39,0.002722731,237,0.02875983
galaxy_a10_b10_c40_v3.col,10,10,40,3,279,269,269,0.049925273,41,0.002360927,270,0.048659859
galaxy_a10_b10_c40_v4.col,10,10,40,4,259,249,249,0.030155646,38,0.002005723,250,0.041083672
galaxy_a10_b10_c40_v5.col,10,10,40,5,262,252,252,0.048313551,41,0.002097424,253,0.045522923
galaxy_a10_b10_c50_v1.col,10,10,50,1,337,327,327,0.06750207,51,0.007565487,328,0.062324011
galaxy_a10_b10_c50_v2.col,10,10,50,2,376,366,366,0.124965325,50,0.007775789,367,0.101216954
galaxy_a10_b10_c50_v3.col,10,10,50,3,351,341,341,0.073864242,49,0.005171459,342,0.098463322
galaxy_a10_b10_c50_v4.col,10,10,50,4,286,276,276,0.051995293,48,0.010716122,277,0.053736813
galaxy_a10_b10_c50_v5.col,10,10,50,5,320,310,310,0.067327968,51,0.004543952,311,0.065953652
galaxy_a10_b10_c60_v1.col,10,10,60,1,360,350,350,0.094947679,61,0.005605564,351,0.071124711
galaxy_a10_b10_c60_v2.col,10,10,60,2,261,251,251,0.051658285,51,0.004707353,252,0.033262677
galaxy_a10_b10_c60_v3.col,10,10,60,3,259,249,249,0.029654036,53,0.003588441,250,0.036898118
galaxy_a10_b10_c60_v4.col,10,10,60,4,402,392,392,0.17396377,59,0.01673869,393,0.142875818
galaxy_a10_b10_c60_v5.col,10,10,60,5,341,331,331,0.082542035,59,0.008497996,332,0.100655939
galaxy_a10_b10_c70_v1.col,10,10,70,1,458,448,448,0.235083744,61,0.018345606,449,0.211359683
galaxy_a10_b10_c70_v2.col,10,10,70,2,492,482,482,0.335083014,65,0.018238206,483,0.344518275
galaxy_a10_b10_c70_v3.col,10,10,70,3,447,437,437,0.258556007,72,0.018298473,438,0.237856138
