mean_fit_t,b,c,mean_upd_t,mean_init_t,se_init_t,mean_mut_t,se_fit_t,se_mut_t,se_upd_t,N,M,v,mean_sel_t,a,se_cross_t,se_sel_t,mean_cross_t,instancia
0.02646,10,80,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,81,80,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c80_v4.col
0.00184,10,80,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,15,14,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c80_v5.col
0.00334,10,90,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,26,25,1,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c90_v1.col
0.01622,10,90,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,79,78,2,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c90_v2.col
0.00966,10,90,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,54,53,3,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c90_v3.col
0.01521,10,90,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,77,76,4,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c90_v4.col
0.01334,10,90,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,69,68,5,0.0,1,0.0,0.0,0.0,galaxy_a01_b10_c90_v5.col
0.06053,10,100,0.0,0.0,0.0,0.0,0.0044,0.0,0.0,245,240,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c100_v1.col
0.08876,10,100,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,318,313,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c100_v2.col
0.08968,10,100,0.0,0.0,0.0,0.0,0.01,0.0,0.0,304,299,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c100_v3.col
0.03861,10,100,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,179,174,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c100_v4.col
0.06233,10,100,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,251,246,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c100_v5.col
0.00942,10,20,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,63,58,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c20_v1.col
0.01259,10,20,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,81,76,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c20_v2.col
0.01207,10,20,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,81,76,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c20_v3.col
0.00989,10,20,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,68,63,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c20_v4.col
0.01194,10,20,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,80,75,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c20_v5.col
0.01704,10,30,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,108,103,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c30_v1.col
0.01784,10,30,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,111,106,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c30_v2.col
0.01689,10,30,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,108,103,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c30_v3.col
0.01413,10,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,91,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c30_v4.col
0.01642,10,30,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,102,97,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c30_v5.col
0.02628,10,40,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,149,144,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c40_v1.col
0.03058,10,40,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,161,156,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c40_v2.col
0.02571,10,40,0.0,0.0,0.0,0.0,0.001,0.0,0.0,142,137,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c40_v3.col
0.01889,10,40,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,118,113,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c40_v4.col
0.02933,10,40,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,162,157,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c40_v5.col
0.03222,10,50,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,165,160,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c50_v1.col
0.02148,10,50,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,130,125,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c50_v2.col
0.02758,10,50,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,150,145,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c50_v3.col
0.03794,10,50,0.0,0.0,0.0,0.0,0.0064,0.0,0.0,156,151,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c50_v4.col
0.02783,10,50,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,150,145,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c50_v5.col
0.03005,10,60,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,158,153,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c60_v1.col
0.03549,10,60,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,166,161,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c60_v2.col
0.05662,10,60,0.0,0.0,0.0,0.0,0.0094,0.0,0.0,216,211,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c60_v3.col
0.05066,10,60,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,222,217,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c60_v4.col
0.02816,10,60,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,147,142,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c60_v5.col
0.05995,10,70,0.0,0.0,0.0,0.0,0.0083,0.0,0.0,190,185,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c70_v1.col
0.0367,10,70,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,166,161,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c70_v2.col
0.06616,10,70,0.0,0.0,0.0,0.0,0.0074,0.0,0.0,178,173,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c70_v3.col
0.06331,10,70,0.0,0.0,0.0,0.0,0.001,0.0,0.0,264,259,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c70_v4.col
0.06328,10,70,0.0,0.0,0.0,0.0,0.001,0.0,0.0,265,260,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c70_v5.col
0.06276,10,80,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,261,256,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c80_v1.col
0.03315,10,80,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,165,160,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c80_v2.col
0.0497,10,80,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,217,212,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c80_v3.col
0.05665,10,80,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,237,232,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c80_v4.col
0.0781,10,80,0.0,0.0,0.0,0.0,0.0108,0.0,0.0,204,199,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c80_v5.col
0.06968,10,90,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,239,234,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c90_v1.col
0.0929,10,90,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,312,307,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c90_v2.col
0.05925,10,90,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,252,247,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c90_v3.col
0.06006,10,90,0.0,0.0,0.0,0.0,0.0106,0.0,0.0,221,216,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c90_v4.col
0.06908,10,90,0.0,0.0,0.0,0.0,0.0044,0.0,0.0,254,249,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c90_v5.col
7.93647,10,100,0.0,0.0,0.0,0.0,0.1999,0.0,0.0,5804,5704,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c100_v1.col
7.54936,10,100,0.0,0.0,0.0,0.0,0.1836,0.0,0.0,5555,5455,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c100_v2.col
7.80959,10,100,0.0,0.0,0.0,0.0,0.141,0.0,0.0,5712,5612,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c100_v3.col
8.39419,10,100,0.0,0.0,0.0,0.0,0.2237,0.0,0.0,5713,5613,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c100_v4.col
9.15882,10,100,0.0,0.0,0.0,0.0,0.1807,0.0,0.0,6255,6155,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c100_v5.col
0.91886,10,20,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,1608,1508,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c20_v1.col
0.95718,10,20,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,1614,1514,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c20_v2.col
1.05088,10,20,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,1561,1461,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c20_v3.col
0.95759,10,20,0.0,0.0,0.0,0.0,0.0057,0.0,0.0,1660,1560,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c20_v4.col
