b,c,mean_time,se_time,N,M,v,mean_chi,a,instancia,se_chi
10,30,0.01846,0.0007,111,106,2,31.0,5,galaxy_a05_b10_c30_v2.col,0.0
10,30,0.01759,0.0007,108,103,3,27.0,5,galaxy_a05_b10_c30_v3.col,0.0
10,30,0.01553,0.0007,96,91,4,29.0,5,galaxy_a05_b10_c30_v4.col,0.0
10,30,0.01709,0.0009,102,97,5,31.0,5,galaxy_a05_b10_c30_v5.col,0.0
10,40,0.02702,0.0007,149,144,1,40.0,5,galaxy_a05_b10_c40_v1.col,0.0
10,40,0.03136,0.0008,161,156,2,41.0,5,galaxy_a05_b10_c40_v2.col,0.0
10,40,0.02644,0.0011,142,137,3,40.0,5,galaxy_a05_b10_c40_v3.col,0.0
10,40,0.01946,0.0007,118,113,4,32.0,5,galaxy_a05_b10_c40_v4.col,0.0
10,40,0.03071,0.0009,162,157,5,42.0,5,galaxy_a05_b10_c40_v5.col,0.0
10,50,0.03306,0.0008,165,160,1,48.0,5,galaxy_a05_b10_c50_v1.col,0.0
10,50,0.0228,0.0008,130,125,2,35.0,5,galaxy_a05_b10_c50_v2.col,0.0
10,50,0.02822,0.0007,150,145,3,51.0,5,galaxy_a05_b10_c50_v3.col,0.0
10,50,0.03924,0.0062,156,151,4,45.0,5,galaxy_a05_b10_c50_v4.col,0.0
10,50,0.02846,0.0009,150,145,5,41.0,5,galaxy_a05_b10_c50_v5.col,0.0
10,60,0.03138,0.0008,158,153,1,47.0,5,galaxy_a05_b10_c60_v1.col,0.0
10,60,0.03619,0.0038,166,161,2,41.0,5,galaxy_a05_b10_c60_v2.col,0.0
10,60,0.05806,0.0093,216,211,3,61.0,5,galaxy_a05_b10_c60_v3.col,0.0
10,60,0.05153,0.0011,222,217,4,60.0,5,galaxy_a05_b10_c60_v4.col,0.0
10,60,0.0288,0.0009,147,142,5,58.0,5,galaxy_a05_b10_c60_v5.col,0.0
10,70,0.06214,0.0088,190,185,1,67.0,5,galaxy_a05_b10_c70_v1.col,0.0
10,70,0.03743,0.0022,166,161,2,70.0,5,galaxy_a05_b10_c70_v2.col,0.0
10,70,0.06772,0.0077,178,173,3,67.0,5,galaxy_a05_b10_c70_v3.col,0.0
10,70,0.06542,0.0009,264,259,4,68.0,5,galaxy_a05_b10_c70_v4.col,0.0
10,70,0.06453,0.001,265,260,5,67.0,5,galaxy_a05_b10_c70_v5.col,0.0
10,80,0.06399,0.0008,261,256,1,66.0,5,galaxy_a05_b10_c80_v1.col,0.0
10,80,0.03451,0.0008,165,160,2,75.0,5,galaxy_a05_b10_c80_v2.col,0.0
10,80,0.05048,0.0007,217,212,3,67.0,5,galaxy_a05_b10_c80_v3.col,0.0
10,80,0.05874,0.0007,237,232,4,81.0,5,galaxy_a05_b10_c80_v4.col,0.0
10,80,0.08062,0.0117,204,199,5,63.0,5,galaxy_a05_b10_c80_v5.col,0.0
