chi_sat,M_real,tempo_max,chi_max,chi_min,v_config,p_config,tempo_sat,n_config,N_real,instancia,tempo_min
135,1247,0.001001,92,178,1,1,0.001793,500,500,simples_n500_p01%_v1.col,0.001493
137,1334,0.001164,119,169,2,1,0.001998,500,500,simples_n500_p01%_v2.col,0.001412
164,1196,0.001139,131,171,3,1,0.001926,500,500,simples_n500_p01%_v3.col,0.001329
168,1278,0.00124,150,178,4,1,0.002031,500,500,simples_n500_p01%_v4.col,0.001405
148,1243,0.001044,110,171,5,1,0.001841,500,500,simples_n500_p01%_v5.col,0.001487
150,3630,0.002064,132,165,1,3,0.003366,500,500,simples_n500_p03%_v1.col,0.002164
151,3730,0.002098,135,166,2,3,0.003227,500,500,simples_n500_p03%_v2.col,0.001992
157,3725,0.002104,135,167,3,3,0.003341,500,500,simples_n500_p03%_v3.col,0.001948
152,3694,0.002159,133,170,4,3,0.003357,500,500,simples_n500_p03%_v4.col,0.002084
155,3741,0.0021,136,165,5,3,0.003302,500,500,simples_n500_p03%_v5.col,0.001985
230,6413,0.003351,217,248,1,5,0.005263,500,500,simples_n500_p05%_v1.col,0.003265
221,6224,0.003378,205,238,2,5,0.005108,500,500,simples_n500_p05%_v2.col,0.003168
221,6266,0.00338,206,238,3,5,0.012472,500,500,simples_n500_p05%_v3.col,0.003218
219,6217,0.00336,203,237,4,5,0.005205,500,500,simples_n500_p05%_v4.col,0.00319
225,6277,0.003435,211,239,5,5,0.005215,500,500,simples_n500_p05%_v5.col,0.003265
408,12548,0.0087,401,414,1,10,0.012219,500,500,simples_n500_p10%_v1.col,0.008406
408,12537,0.008518,407,415,2,10,0.012233,500,500,simples_n500_p10%_v2.col,0.008395
406,12464,0.009677,396,407,3,10,0.012822,500,500,simples_n500_p10%_v3.col,0.009038
400,12431,0.008986,395,411,4,10,0.012714,500,500,simples_n500_p10%_v4.col,0.008963
403,12664,0.00921,405,416,5,10,0.012434,500,500,simples_n500_p10%_v5.col,0.008621
500,25054,0.027051,500,500,1,20,0.035472,500,500,simples_n500_p20%_v1.col,0.026889
500,24765,0.026681,500,500,2,20,0.03428,500,500,simples_n500_p20%_v2.col,0.026445
500,24925,0.026843,500,500,3,20,0.035045,500,500,simples_n500_p20%_v3.col,0.026947
500,25197,0.027155,500,500,4,20,0.035363,500,500,simples_n500_p20%_v4.col,0.027318
500,24833,0.025813,500,500,5,20,0.035032,500,500,simples_n500_p20%_v5.col,0.026589
500,37350,0.057399,500,500,1,30,0.080687,500,500,simples_n500_p30%_v1.col,0.057016
500,37393,0.057162,500,500,2,30,0.072844,500,500,simples_n500_p30%_v2.col,0.057064
500,37423,0.057259,500,500,3,30,0.072887,500,500,simples_n500_p30%_v3.col,0.057292
500,37349,0.057134,500,500,4,30,0.072808,500,500,simples_n500_p30%_v4.col,0.057229
500,37442,0.057045,500,500,5,30,0.073098,500,500,simples_n500_p30%_v5.col,0.057524
500,49424,0.100212,500,500,1,40,0.121962,500,500,simples_n500_p40%_v1.col,0.099665
500,50039,0.098955,500,500,2,40,0.123843,500,500,simples_n500_p40%_v2.col,0.099021
500,49592,0.103585,500,500,3,40,0.122497,500,500,simples_n500_p40%_v3.col,0.097395
500,49987,0.098216,500,500,4,40,0.124598,500,500,simples_n500_p40%_v4.col,0.09839
500,50257,0.106475,500,500,5,40,0.134928,500,500,simples_n500_p40%_v5.col,0.102225
500,61956,0.155278,500,500,1,50,0.191352,500,500,simples_n500_p50%_v1.col,0.156156
500,62439,0.157196,500,500,2,50,0.188405,500,500,simples_n500_p50%_v2.col,0.148773
500,62304,0.148499,500,500,3,50,0.186213,500,500,simples_n500_p50%_v3.col,0.156573
500,62309,0.148766,500,500,4,50,0.196111,500,500,simples_n500_p50%_v4.col,0.149632
500,62349,0.157651,500,500,5,50,0.194739,500,500,simples_n500_p50%_v5.col,0.160131
500,74574,0.210745,500,500,1,60,0.260179,500,500,simples_n500_p60%_v1.col,0.209857
500,74736,0.210915,500,500,2,60,0.260315,500,500,simples_n500_p60%_v2.col,0.210487
500,74632,0.211695,500,500,3,60,0.261778,500,500,simples_n500_p60%_v3.col,0.219708
500,75011,0.224434,500,500,4,60,0.266073,500,500,simples_n500_p60%_v4.col,0.209527
500,74982,0.224548,500,500,5,60,0.271632,500,500,simples_n500_p60%_v5.col,0.221033
500,87094,0.279295,500,500,1,70,0.352534,500,500,simples_n500_p70%_v1.col,0.279423
500,87398,0.286385,500,500,2,70,0.350839,500,500,simples_n500_p70%_v2.col,0.286043
500,87405,0.279676,500,500,3,70,0.353707,500,500,simples_n500_p70%_v3.col,0.278804
500,87580,0.278976,500,500,4,70,0.35855,500,500,simples_n500_p70%_v4.col,0.280581
500,87311,0.282171,500,500,5,70,0.35664,500,500,simples_n500_p70%_v5.col,0.279115
500,99614,0.355364,500,500,1,80,0.442694,500,500,simples_n500_p80%_v1.col,0.354774
500,99748,0.355329,500,500,2,80,0.441852,500,500,simples_n500_p80%_v2.col,0.356172
500,99882,0.365003,500,500,3,80,0.447334,500,500,simples_n500_p80%_v3.col,0.355157
500,99686,0.35783,500,500,4,80,0.443482,500,500,simples_n500_p80%_v4.col,0.355681
500,99554,0.361699,500,500,5,80,0.451684,500,500,simples_n500_p80%_v5.col,0.353899
500,112458,0.416166,500,500,1,90,0.514346,500,500,simples_n500_p90%_v1.col,0.409756
500,112270,0.408752,500,500,2,90,0.515166,500,500,simples_n500_p90%_v2.col,0.410782
500,112133,0.407679,500,500,3,90,0.898531,500,500,simples_n500_p90%_v3.col,0.405777
500,112525,0.429335,500,500,4,90,0.513904,500,500,simples_n500_p90%_v4.col,0.430088
500,112278,0.415712,500,500,5,90,0.513213,500,500,simples_n500_p90%_v5.col,0.411457
