N,p,n,M,v,mean_time,se_time,instancia,mean_chi,se_chi
500,1,500,1247,1,1.85759,0.8401,simples_n500_p01%_v1.col,109.0,3.49285
500,1,500,1334,2,0.67664,0.12948,simples_n500_p01%_v2.col,114.4,2.74955
500,1,500,1196,3,1.10725,0.13599,simples_n500_p01%_v3.col,107.8,2.43721
500,1,500,1278,4,0.92827,0.16952,simples_n500_p01%_v4.col,113.2,4.16413
500,1,500,1243,5,1.03954,0.13777,simples_n500_p01%_v5.col,105.2,4.17612
500,3,500,3630,1,0.63304,0.02577,simples_n500_p03%_v1.col,141.6,0.24495
500,3,500,3730,2,0.88865,0.11311,simples_n500_p03%_v2.col,143.2,0.8
500,3,500,3725,3,0.92093,0.05775,simples_n500_p03%_v3.col,142.6,0.5099
500,3,500,3694,4,0.8392,0.09608,simples_n500_p03%_v4.col,142.6,0.4
500,3,500,3741,5,0.97771,0.17876,simples_n500_p03%_v5.col,143.4,0.67823
500,5,500,6413,1,1.20209,0.02795,simples_n500_p05%_v1.col,219.4,0.4
500,5,500,6224,2,1.21219,0.11046,simples_n500_p05%_v2.col,213.6,0.24495
500,5,500,6266,3,1.36166,0.1313,simples_n500_p05%_v3.col,213.2,0.5831
500,5,500,6217,4,1.52881,0.08757,simples_n500_p05%_v4.col,212.4,0.24495
500,5,500,6277,5,1.13447,0.05648,simples_n500_p05%_v5.col,214.6,0.67823
500,10,500,12548,1,4.34738,0.60879,simples_n500_p10%_v1.col,393.2,1.24097
500,10,500,12537,2,4.11791,0.47473,simples_n500_p10%_v2.col,394.0,0.54772
500,10,500,12464,3,3.89359,0.82179,simples_n500_p10%_v3.col,389.8,1.52971
500,10,500,12431,4,4.12623,0.58937,simples_n500_p10%_v4.col,392.4,0.6
500,10,500,12664,5,3.87048,0.33438,simples_n500_p10%_v5.col,395.2,1.35647
500,20,500,25054,1,2.94171,0.00461,simples_n500_p20%_v1.col,500.0,0.0
500,20,500,24765,2,2.87551,0.00678,simples_n500_p20%_v2.col,500.0,0.0
500,20,500,24925,3,2.92731,0.00571,simples_n500_p20%_v3.col,500.0,0.0
500,20,500,25197,4,2.96463,0.00538,simples_n500_p20%_v4.col,500.0,0.0
500,20,500,24833,5,2.89915,0.00636,simples_n500_p20%_v5.col,500.0,0.0
500,30,500,37350,1,6.20612,0.01087,simples_n500_p30%_v1.col,500.0,0.0
500,30,500,37393,2,6.3534,0.10256,simples_n500_p30%_v2.col,500.0,0.0
500,30,500,37423,3,6.26985,0.00951,simples_n500_p30%_v3.col,500.0,0.0
500,30,500,37349,4,6.2251,0.01018,simples_n500_p30%_v4.col,500.0,0.0
500,30,500,37442,5,6.26285,0.00799,simples_n500_p30%_v5.col,500.0,0.0
500,40,500,49424,1,10.64948,0.01167,simples_n500_p40%_v1.col,500.0,0.0
500,40,500,50039,2,10.83939,0.01175,simples_n500_p40%_v2.col,500.0,0.0
500,40,500,49592,3,10.6774,0.00966,simples_n500_p40%_v3.col,500.0,0.0
500,40,500,49987,4,10.93703,0.11315,simples_n500_p40%_v4.col,500.0,0.0
500,40,500,50257,5,11.00733,0.01396,simples_n500_p40%_v5.col,500.0,0.0
500,50,500,61956,1,16.21242,0.00797,simples_n500_p50%_v1.col,500.0,0.0
500,50,500,62439,2,16.43962,0.01297,simples_n500_p50%_v2.col,500.0,0.0
500,50,500,62304,3,16.39754,0.01062,simples_n500_p50%_v3.col,500.0,0.0
500,50,500,62309,4,16.37051,0.01665,simples_n500_p50%_v4.col,500.0,0.0
500,50,500,62349,5,16.41834,0.01149,simples_n500_p50%_v5.col,500.0,0.0
500,60,500,74574,1,23.12395,0.07573,simples_n500_p60%_v1.col,500.0,0.0
500,60,500,74736,2,23.21923,0.00451,simples_n500_p60%_v2.col,500.0,0.0
500,60,500,74632,3,23.1142,0.01323,simples_n500_p60%_v3.col,500.0,0.0
500,60,500,75011,4,23.2749,0.008,simples_n500_p60%_v4.col,500.0,0.0
500,60,500,74982,5,23.2609,0.00522,simples_n500_p60%_v5.col,500.0,0.0
500,70,500,87094,1,30.90249,0.01159,simples_n500_p70%_v1.col,500.0,0.0
500,70,500,87398,2,31.15651,0.01769,simples_n500_p70%_v2.col,500.0,0.0
500,70,500,87405,3,31.24498,0.09141,simples_n500_p70%_v3.col,500.0,0.0
500,70,500,87580,4,31.41604,0.01994,simples_n500_p70%_v4.col,500.0,0.0
500,70,500,87311,5,31.14434,0.01183,simples_n500_p70%_v5.col,500.0,0.0
500,80,500,99614,1,39.51302,0.0235,simples_n500_p80%_v1.col,500.0,0.0
500,80,500,99748,2,39.65071,0.02042,simples_n500_p80%_v2.col,500.0,0.0
500,80,500,99882,3,39.62815,0.01429,simples_n500_p80%_v3.col,500.0,0.0
500,80,500,99686,4,39.55887,0.0132,simples_n500_p80%_v4.col,500.0,0.0
500,80,500,99554,5,39.63336,0.10141,simples_n500_p80%_v5.col,500.0,0.0
500,90,500,112458,1,46.51573,0.01746,simples_n500_p90%_v1.col,500.0,0.0
500,90,500,112270,2,46.22367,0.02014,simples_n500_p90%_v2.col,500.0,0.0
500,90,500,112133,3,46.21774,0.01073,simples_n500_p90%_v3.col,500.0,0.0
500,90,500,112525,4,46.27225,0.02992,simples_n500_p90%_v4.col,500.0,0.0
500,90,500,112278,5,46.22585,0.03474,simples_n500_p90%_v5.col,500.0,0.0
