a,b,N,p,M,v,tempo_melhor,heuristica_vencedora,melhor_chi,instancia
100,100,200,90,8994,2,0.2222,MinGrau,195,bi_a100_b100_p90%_v2.col
100,100,200,90,9045,3,0.2193,MinGrau,194,bi_a100_b100_p90%_v3.col
100,100,200,90,8972,4,0.2172,MaxGrau,196,bi_a100_b100_p90%_v4.col
100,100,200,90,9008,5,0.228,MinGrau,195,bi_a100_b100_p90%_v5.col
100,500,600,1,525,1,0.1441,MinGrau,96,bi_a100_b500_p01%_v1.col
100,500,600,1,516,2,0.1411,MinGrau,96,bi_a100_b500_p01%_v2.col
100,500,600,1,518,3,0.1409,MinGrau,97,bi_a100_b500_p01%_v3.col
100,500,600,1,503,4,0.1404,MinGrau,95,bi_a100_b500_p01%_v4.col
100,500,600,1,511,5,0.1425,MinGrau,100,bi_a100_b500_p01%_v5.col
100,500,600,3,1537,1,0.3342,MinGrau,109,bi_a100_b500_p03%_v1.col
100,500,600,3,1444,2,0.3341,MinGrau,110,bi_a100_b500_p03%_v2.col
100,500,600,3,1499,3,0.3294,MinGrau,109,bi_a100_b500_p03%_v3.col
100,500,600,3,1505,4,0.3273,MinGrau,108,bi_a100_b500_p03%_v4.col
100,500,600,3,1550,5,0.3265,MinGrau,107,bi_a100_b500_p03%_v5.col
100,500,600,5,2497,1,0.5746,MinGrau,128,bi_a100_b500_p05%_v1.col
100,500,600,5,2502,2,0.5712,MinGrau,129,bi_a100_b500_p05%_v2.col
100,500,600,5,2543,3,0.5549,MinGrau,127,bi_a100_b500_p05%_v3.col
100,500,600,5,2442,4,0.538,MinGrau,124,bi_a100_b500_p05%_v4.col
100,500,600,5,2454,5,0.5352,MinGrau,125,bi_a100_b500_p05%_v5.col
100,500,600,10,5152,1,0.92,MaxGrau,170,bi_a100_b500_p10%_v1.col
100,500,600,10,4977,2,0.905,MaxGrau,169,bi_a100_b500_p10%_v2.col
100,500,600,10,5109,3,0.9514,MaxGrau,178,bi_a100_b500_p10%_v3.col
100,500,600,10,4929,4,0.9098,MaxGrau,172,bi_a100_b500_p10%_v4.col
100,500,600,10,5103,5,0.9119,MaxGrau,169,bi_a100_b500_p10%_v5.col
100,500,600,20,10077,1,2.3945,MaxGrau,325,bi_a100_b500_p20%_v1.col
100,500,600,20,10063,2,2.2569,MaxGrau,320,bi_a100_b500_p20%_v2.col
100,500,600,20,9741,3,2.1429,Satur,314,bi_a100_b500_p20%_v3.col
100,500,600,20,10069,4,2.4085,MaxGrau,320,bi_a100_b500_p20%_v4.col
100,500,600,20,9842,5,2.1714,Satur,310,bi_a100_b500_p20%_v5.col
100,500,600,30,15047,1,10.8103,MinGrau,517,bi_a100_b500_p30%_v1.col
100,500,600,30,15090,2,10.9232,MinGrau,525,bi_a100_b500_p30%_v2.col
100,500,600,30,15149,3,10.8702,MinGrau,528,bi_a100_b500_p30%_v3.col
100,500,600,30,15116,4,10.5702,MinGrau,524,bi_a100_b500_p30%_v4.col
100,500,600,30,14883,5,11.0304,MinGrau,529,bi_a100_b500_p30%_v5.col
100,500,600,40,20050,1,19.818,MinGrau,551,bi_a100_b500_p40%_v1.col
100,500,600,40,19920,2,20.3984,MinGrau,554,bi_a100_b500_p40%_v2.col
100,500,600,40,20094,3,20.5778,MinGrau,552,bi_a100_b500_p40%_v3.col
100,500,600,40,20053,4,21.2542,MinGrau,552,bi_a100_b500_p40%_v4.col
100,500,600,40,20043,5,20.2878,MinGrau,553,bi_a100_b500_p40%_v5.col
100,500,600,50,25075,1,30.9074,MinGrau,570,bi_a100_b500_p50%_v1.col
100,500,600,50,24945,2,31.6959,MinGrau,571,bi_a100_b500_p50%_v2.col
100,500,600,50,24951,3,30.3788,MinGrau,568,bi_a100_b500_p50%_v3.col
100,500,600,50,25104,4,30.6287,MinGrau,569,bi_a100_b500_p50%_v4.col
100,500,600,50,24738,5,31.6238,MinGrau,569,bi_a100_b500_p50%_v5.col
100,500,600,60,29954,1,39.1482,MinGrau,580,bi_a100_b500_p60%_v1.col
100,500,600,60,29933,2,38.8417,MinGrau,578,bi_a100_b500_p60%_v2.col
100,500,600,60,30037,3,38.4758,MinGrau,579,bi_a100_b500_p60%_v3.col
100,500,600,60,30038,4,38.5806,MinGrau,578,bi_a100_b500_p60%_v4.col
100,500,600,60,30091,5,40.6397,MinGrau,581,bi_a100_b500_p60%_v5.col
100,500,600,70,35049,1,44.9436,MinGrau,587,bi_a100_b500_p70%_v1.col
100,500,600,70,35055,2,44.2042,MinGrau,585,bi_a100_b500_p70%_v2.col
100,500,600,70,34835,3,43.1404,MinGrau,584,bi_a100_b500_p70%_v3.col
100,500,600,70,34933,4,44.0577,MinGrau,585,bi_a100_b500_p70%_v4.col
100,500,600,70,34887,5,43.9358,MinGrau,586,bi_a100_b500_p70%_v5.col
100,500,600,80,40002,1,47.9285,MinGrau,591,bi_a100_b500_p80%_v1.col
100,500,600,80,39945,2,48.2284,MinGrau,591,bi_a100_b500_p80%_v2.col
100,500,600,80,40056,3,47.0082,MinGrau,589,bi_a100_b500_p80%_v3.col
100,500,600,80,39985,4,48.0765,MinGrau,591,bi_a100_b500_p80%_v4.col
100,500,600,80,39903,5,47.904,MinGrau,591,bi_a100_b500_p80%_v5.col
100,500,600,90,45019,1,11.2084,MaxGrau,595,bi_a100_b500_p90%_v1.col
100,500,600,90,44905,2,49.3503,MinGrau,594,bi_a100_b500_p90%_v2.col
100,500,600,90,44855,3,49.7267,MinGrau,594,bi_a100_b500_p90%_v3.col
100,500,600,90,45060,4,49.8845,MinGrau,595,bi_a100_b500_p90%_v4.col
100,500,600,90,44926,5,49.3504,MinGrau,594,bi_a100_b500_p90%_v5.col
100,1000,1100,1,1016,1,0.7785,MinGrau,104,bi_a100_b1000_p01%_v1.col
100,1000,1100,1,985,2,0.744,MinGrau,103,bi_a100_b1000_p01%_v2.col
100,1000,1100,1,1007,3,0.7485,MinGrau,102,bi_a100_b1000_p01%_v3.col
100,1000,1100,1,1017,4,0.7786,MinGrau,103,bi_a100_b1000_p01%_v4.col
100,1000,1100,1,996,5,0.752,MinGrau,103,bi_a100_b1000_p01%_v5.col
100,1000,1100,3,2996,1,2.0854,MinGrau,128,bi_a100_b1000_p03%_v1.col
100,1000,1100,3,2967,2,2.2162,MinGrau,134,bi_a100_b1000_p03%_v2.col
100,1000,1100,3,2949,3,2.1379,MinGrau,130,bi_a100_b1000_p03%_v3.col
100,1000,1100,3,2942,4,2.2332,MinGrau,133,bi_a100_b1000_p03%_v4.col
100,1000,1100,3,2936,5,2.0966,MinGrau,129,bi_a100_b1000_p03%_v5.col
100,1000,1100,5,5012,1,4.4816,MinGrau,170,bi_a100_b1000_p05%_v1.col
100,1000,1100,5,4918,2,4.2443,MinGrau,167,bi_a100_b1000_p05%_v2.col
100,1000,1100,5,4997,3,4.4838,MinGrau,170,bi_a100_b1000_p05%_v3.col
100,1000,1100,5,5031,4,4.4133,MinGrau,170,bi_a100_b1000_p05%_v4.col
100,1000,1100,5,4978,5,4.3698,MinGrau,169,bi_a100_b1000_p05%_v5.col
100,1000,1100,10,10054,1,5.4743,MaxGrau,241,bi_a100_b1000_p10%_v1.col
100,1000,1100,10,10092,2,5.3904,MaxGrau,236,bi_a100_b1000_p10%_v2.col
100,1000,1100,10,9994,3,5.4454,MaxGrau,233,bi_a100_b1000_p10%_v3.col
100,1000,1100,10,10029,4,5.405,MaxGrau,235,bi_a100_b1000_p10%_v4.col
100,1000,1100,10,10078,5,5.4347,MaxGrau,235,bi_a100_b1000_p10%_v5.col
100,1000,1100,20,19912,1,15.4738,Satur,542,bi_a100_b1000_p20%_v1.col
100,1000,1100,20,20051,2,16.1507,MaxGrau,546,bi_a100_b1000_p20%_v2.col
100,1000,1100,20,20015,3,15.7162,Satur,546,bi_a100_b1000_p20%_v3.col
100,1000,1100,20,19808,4,15.8667,Satur,541,bi_a100_b1000_p20%_v4.col
100,1000,1100,20,19748,5,15.0516,MaxGrau,538,bi_a100_b1000_p20%_v5.col
100,1000,1100,30,29774,1,101.1205,MinGrau,999,bi_a100_b1000_p30%_v1.col
100,1000,1100,30,30170,2,111.3329,MinGrau,1004,bi_a100_b1000_p30%_v2.col
100,1000,1100,30,30328,3,118.6566,MinGrau,1006,bi_a100_b1000_p30%_v3.col
100,1000,1100,30,29832,4,113.8208,MinGrau,1005,bi_a100_b1000_p30%_v4.col
100,1000,1100,30,29761,5,106.3024,MinGrau,991,bi_a100_b1000_p30%_v5.col
100,1000,1100,40,39882,1,210.4984,MinGrau,1047,bi_a100_b1000_p40%_v1.col
100,1000,1100,40,39993,2,217.9085,MinGrau,1049,bi_a100_b1000_p40%_v2.col
100,1000,1100,40,40117,3,200.8305,MinGrau,1046,bi_a100_b1000_p40%_v3.col
100,1000,1100,40,40206,4,205.8558,MinGrau,1047,bi_a100_b1000_p40%_v4.col
100,1000,1100,40,40131,5,206.5506,MinGrau,1047,bi_a100_b1000_p40%_v5.col
100,1000,1100,50,49850,1,314.5333,MinGrau,1065,bi_a100_b1000_p50%_v1.col
100,1000,1100,50,50038,2,325.3129,MinGrau,1066,bi_a100_b1000_p50%_v2.col
100,1000,1100,50,49784,3,321.8866,MinGrau,1066,bi_a100_b1000_p50%_v3.col
100,1000,1100,50,49973,4,315.901,MinGrau,1065,bi_a100_b1000_p50%_v4.col
100,1000,1100,50,50175,5,329.297,MinGrau,1067,bi_a100_b1000_p50%_v5.col
100,1000,1100,60,59993,1,407.4244,MinGrau,1077,bi_a100_b1000_p60%_v1.col
100,1000,1100,60,59999,2,406.7682,MinGrau,1078,bi_a100_b1000_p60%_v2.col
100,1000,1100,60,60016,3,406.3195,MinGrau,1078,bi_a100_b1000_p60%_v3.col
100,1000,1100,60,60010,4,418.0287,MinGrau,1078,bi_a100_b1000_p60%_v4.col
100,1000,1100,60,59754,5,405.201,MinGrau,1077,bi_a100_b1000_p60%_v5.col
100,1000,1100,70,70111,1,467.9421,MinGrau,1084,bi_a100_b1000_p70%_v1.col
100,1000,1100,70,70169,2,471.4992,MinGrau,1085,bi_a100_b1000_p70%_v2.col
100,1000,1100,70,70178,3,463.6404,MinGrau,1083,bi_a100_b1000_p70%_v3.col
100,1000,1100,70,70090,4,467.2956,MinGrau,1084,bi_a100_b1000_p70%_v4.col
100,1000,1100,70,70187,5,478.2174,MinGrau,1085,bi_a100_b1000_p70%_v5.col
100,1000,1100,80,80051,1,520.0166,MinGrau,1090,bi_a100_b1000_p80%_v1.col
100,1000,1100,80,80061,2,519.3008,MinGrau,1090,bi_a100_b1000_p80%_v2.col
100,1000,1100,80,79942,3,519.2178,MinGrau,1090,bi_a100_b1000_p80%_v3.col
100,1000,1100,80,80154,4,513.4482,MinGrau,1089,bi_a100_b1000_p80%_v4.col
100,1000,1100,80,80014,5,508.7991,MinGrau,1089,bi_a100_b1000_p80%_v5.col
100,1000,1100,90,89871,1,552.1667,MinGrau,1094,bi_a100_b1000_p90%_v1.col
100,1000,1100,90,90013,2,547.4064,MinGrau,1094,bi_a100_b1000_p90%_v2.col
100,1000,1100,90,89866,3,546.9478,MinGrau,1094,bi_a100_b1000_p90%_v3.col
100,1000,1100,90,89909,4,547.3158,MinGrau,1094,bi_a100_b1000_p90%_v4.col
100,1000,1100,90,89908,5,551.7558,MinGrau,1094,bi_a100_b1000_p90%_v5.col
500,500,1000,1,2537,1,3.2083,MaxGrau,236,bi_a500_b500_p01%_v1.col
500,500,1000,1,2396,2,2.8,MaxGrau,211,bi_a500_b500_p01%_v2.col
500,500,1000,1,2522,3,2.8336,MaxGrau,205,bi_a500_b500_p01%_v3.col
500,500,1000,1,2462,4,3.2704,MaxGrau,255,bi_a500_b500_p01%_v4.col
500,500,1000,1,2493,5,2.9201,MaxGrau,194,bi_a500_b500_p01%_v5.col
500,500,1000,3,7384,1,7.9647,MaxGrau,193,bi_a500_b500_p03%_v1.col
500,500,1000,3,7474,2,7.9717,MaxGrau,194,bi_a500_b500_p03%_v2.col
500,500,1000,3,7541,3,8.239,MaxGrau,194,bi_a500_b500_p03%_v3.col
500,500,1000,3,7501,4,7.9402,MaxGrau,191,bi_a500_b500_p03%_v4.col
500,500,1000,3,7478,5,8.012,MaxGrau,190,bi_a500_b500_p03%_v5.col
500,500,1000,5,12438,1,14.5833,MaxGrau,281,bi_a500_b500_p05%_v1.col
500,500,1000,5,12517,2,14.5601,MaxGrau,284,bi_a500_b500_p05%_v2.col
500,500,1000,5,12417,3,14.8291,MaxGrau,282,bi_a500_b500_p05%_v3.col
500,500,1000,5,12678,4,15.0537,MaxGrau,288,bi_a500_b500_p05%_v4.col
500,500,1000,5,12596,5,14.8284,MaxGrau,285,bi_a500_b500_p05%_v5.col
500,500,1000,10,25253,1,30.3419,MaxGrau,507,bi_a500_b500_p10%_v1.col
500,500,1000,10,24872,2,28.8361,MaxGrau,502,bi_a500_b500_p10%_v2.col
500,500,1000,10,25214,3,29.3196,MaxGrau,504,bi_a500_b500_p10%_v3.col
500,500,1000,10,25129,4,30.3585,MaxGrau,504,bi_a500_b500_p10%_v4.col
500,500,1000,10,24870,5,30.3514,MaxGrau,507,bi_a500_b500_p10%_v5.col
500,500,1000,20,50042,1,132.7154,MinGrau,809,bi_a500_b500_p20%_v1.col
500,500,1000,20,50009,2,132.4832,MinGrau,807,bi_a500_b500_p20%_v2.col
500,500,1000,20,49881,3,130.1791,MinGrau,803,bi_a500_b500_p20%_v3.col
500,500,1000,20,50029,4,133.5793,MinGrau,807,bi_a500_b500_p20%_v4.col
500,500,1000,20,50011,5,130.24,MinGrau,805,bi_a500_b500_p20%_v5.col
500,500,1000,30,75280,1,277.9945,MinGrau,898,bi_a500_b500_p30%_v1.col
500,500,1000,30,75133,2,281.0424,MinGrau,899,bi_a500_b500_p30%_v2.col
500,500,1000,30,75090,3,280.6557,MinGrau,900,bi_a500_b500_p30%_v3.col
500,500,1000,30,75347,4,281.5891,MinGrau,900,bi_a500_b500_p30%_v4.col
500,500,1000,30,75084,5,280.9791,MinGrau,897,bi_a500_b500_p30%_v5.col
500,500,1000,40,100391,1,429.5338,MinGrau,939,bi_a500_b500_p40%_v1.col
500,500,1000,40,100075,2,426.6191,MinGrau,941,bi_a500_b500_p40%_v2.col
500,500,1000,40,100085,3,423.2385,MinGrau,940,bi_a500_b500_p40%_v3.col
500,500,1000,40,100045,4,418.2571,MinGrau,939,bi_a500_b500_p40%_v4.col
500,500,1000,40,100122,5,423.5235,MinGrau,941,bi_a500_b500_p40%_v5.col
500,500,1000,50,124819,1,541.4285,MinGrau,964,bi_a500_b500_p50%_v1.col
500,500,1000,50,125009,2,538.3244,MinGrau,963,bi_a500_b500_p50%_v2.col
500,500,1000,50,124539,3,542.4198,MinGrau,963,bi_a500_b500_p50%_v3.col
500,500,1000,50,124813,4,536.4295,MinGrau,963,bi_a500_b500_p50%_v4.col
500,500,1000,50,124972,5,538.8839,MinGrau,963,bi_a500_b500_p50%_v5.col
500,500,1000,60,149899,1,603.8806,MinGrau,972,bi_a500_b500_p60%_v1.col
500,500,1000,60,149722,2,605.235,MinGrau,974,bi_a500_b500_p60%_v2.col
500,500,1000,60,150125,3,605.0279,MinGrau,975,bi_a500_b500_p60%_v3.col
500,500,1000,60,150210,4,605.2242,MinGrau,973,bi_a500_b500_p60%_v4.col
500,500,1000,60,150122,5,600.9018,MinGrau,973,bi_a500_b500_p60%_v5.col
500,500,1000,70,175289,1,650.3339,MinGrau,984,bi_a500_b500_p70%_v1.col
500,500,1000,70,174970,2,637.617,MinGrau,983,bi_a500_b500_p70%_v2.col
500,500,1000,70,174869,3,635.9333,MinGrau,982,bi_a500_b500_p70%_v3.col
500,500,1000,70,175027,4,635.6011,MinGrau,983,bi_a500_b500_p70%_v4.col
500,500,1000,70,174595,5,643.1738,MinGrau,984,bi_a500_b500_p70%_v5.col
500,500,1000,80,199919,1,648.4837,MinGrau,988,bi_a500_b500_p80%_v1.col
500,500,1000,80,200277,2,648.3126,MinGrau,989,bi_a500_b500_p80%_v2.col
500,500,1000,80,199860,3,658.1042,MinGrau,988,bi_a500_b500_p80%_v3.col
500,500,1000,80,200229,4,644.3703,MinGrau,988,bi_a500_b500_p80%_v4.col
500,500,1000,80,200061,5,666.438,MinGrau,989,bi_a500_b500_p80%_v5.col
500,500,1000,90,224990,1,636.0251,MinGrau,993,bi_a500_b500_p90%_v1.col
500,500,1000,90,225217,2,646.7656,MinGrau,992,bi_a500_b500_p90%_v2.col
500,500,1000,90,225175,3,651.9509,MinGrau,993,bi_a500_b500_p90%_v3.col
500,500,1000,90,224958,4,657.7656,MinGrau,993,bi_a500_b500_p90%_v4.col
500,500,1000,90,225220,5,655.5808,MinGrau,993,bi_a500_b500_p90%_v5.col
500,1000,1500,1,4951,1,16.2857,MaxGrau,369,bi_a500_b1000_p01%_v1.col
500,1000,1500,1,4920,2,15.7763,MaxGrau,347,bi_a500_b1000_p01%_v2.col
500,1000,1500,1,5038,3,16.2066,MaxGrau,362,bi_a500_b1000_p01%_v3.col
500,1000,1500,1,4995,4,15.4146,MaxGrau,363,bi_a500_b1000_p01%_v4.col
500,1000,1500,1,5010,5,15.609,MaxGrau,367,bi_a500_b1000_p01%_v5.col
500,1000,1500,3,14962,1,45.2693,Satur,447,bi_a500_b1000_p03%_v1.col
500,1000,1500,3,14877,2,44.7153,MaxGrau,436,bi_a500_b1000_p03%_v2.col
500,1000,1500,3,15019,3,46.175,MaxGrau,444,bi_a500_b1000_p03%_v3.col
500,1000,1500,3,15088,4,46.9399,Satur,448,bi_a500_b1000_p03%_v4.col
500,1000,1500,3,14826,5,43.4803,Satur,440,bi_a500_b1000_p03%_v5.col
500,1000,1500,5,25206,1,68.5529,MaxGrau,538,bi_a500_b1000_p05%_v1.col
500,1000,1500,5,24966,2,68.1825,MaxGrau,540,bi_a500_b1000_p05%_v2.col
500,1000,1500,5,25025,3,68.2101,MaxGrau,543,bi_a500_b1000_p05%_v3.col
500,1000,1500,5,25073,4,68.1992,Satur,538,bi_a500_b1000_p05%_v4.col
500,1000,1500,5,24946,5,68.5112,Satur,546,bi_a500_b1000_p05%_v5.col
500,1000,1500,10,50023,1,111.3393,Satur,766,bi_a500_b1000_p10%_v1.col
500,1000,1500,10,50026,2,111.829,MaxGrau,766,bi_a500_b1000_p10%_v2.col
500,1000,1500,10,49783,3,109.8416,Satur,776,bi_a500_b1000_p10%_v3.col
500,1000,1500,10,49704,4,110.0044,MaxGrau,764,bi_a500_b1000_p10%_v4.col
500,1000,1500,10,50225,5,108.9884,Satur,772,bi_a500_b1000_p10%_v5.col
500,1000,1500,20,99683,1,874.8341,MinGrau,1275,bi_a500_b1000_p20%_v1.col
500,1000,1500,20,99572,2,855.1183,MinGrau,1271,bi_a500_b1000_p20%_v2.col
500,1000,1500,20,100299,3,885.7141,MinGrau,1277,bi_a500_b1000_p20%_v3.col
500,1000,1500,20,100428,4,888.637,MinGrau,1282,bi_a500_b1000_p20%_v4.col
500,1000,1500,20,100288,5,867.1211,MinGrau,1278,bi_a500_b1000_p20%_v5.col
500,1000,1500,30,150068,1,1822.7437,MinGrau,1388,bi_a500_b1000_p30%_v1.col
500,1000,1500,30,150470,2,1834.3156,MinGrau,1391,bi_a500_b1000_p30%_v2.col
500,1000,1500,30,150505,3,1806.4548,MinGrau,1390,bi_a500_b1000_p30%_v3.col
500,1000,1500,30,149719,4,1836.8575,MinGrau,1390,bi_a500_b1000_p30%_v4.col
500,1000,1500,30,150236,5,1819.1273,MinGrau,1390,bi_a500_b1000_p30%_v5.col
500,1000,1500,40,199683,1,2665.0968,MinGrau,1436,bi_a500_b1000_p40%_v1.col
500,1000,1500,40,199790,2,2645.6008,MinGrau,1439,bi_a500_b1000_p40%_v2.col
500,1000,1500,40,199737,3,2637.8069,MinGrau,1436,bi_a500_b1000_p40%_v3.col
500,1000,1500,40,200163,4,2652.6094,MinGrau,1436,bi_a500_b1000_p40%_v4.col
500,1000,1500,40,200116,5,2628.5766,MinGrau,1434,bi_a500_b1000_p40%_v5.col
500,1000,1500,50,250427,1,3344.6816,MinGrau,1461,bi_a500_b1000_p50%_v1.col
500,1000,1500,50,249704,2,3338.8002,MinGrau,1460,bi_a500_b1000_p50%_v2.col
500,1000,1500,50,249490,3,3314.0088,MinGrau,1459,bi_a500_b1000_p50%_v3.col
500,1000,1500,50,249760,4,3347.6105,MinGrau,1462,bi_a500_b1000_p50%_v4.col
500,1000,1500,50,250155,5,3338.2208,MinGrau,1458,bi_a500_b1000_p50%_v5.col
500,1000,1500,60,300085,1,3771.1589,MinGrau,1476,bi_a500_b1000_p60%_v1.col
500,1000,1500,60,300516,2,3802.8092,MinGrau,1474,bi_a500_b1000_p60%_v2.col
500,1000,1500,60,300293,3,3739.0956,MinGrau,1473,bi_a500_b1000_p60%_v3.col
500,1000,1500,60,300049,4,3790.515,MinGrau,1474,bi_a500_b1000_p60%_v4.col
500,1000,1500,60,300747,5,3745.4723,MinGrau,1473,bi_a500_b1000_p60%_v5.col
500,1000,1500,70,349678,1,4003.293,MinGrau,1482,bi_a500_b1000_p70%_v1.col
500,1000,1500,70,349845,2,2081.6127,MaxGrau,1483,bi_a500_b1000_p70%_v2.col
500,1000,1500,70,350377,3,3933.7264,MinGrau,1483,bi_a500_b1000_p70%_v3.col
500,1000,1500,70,349872,4,3949.9409,MinGrau,1483,bi_a500_b1000_p70%_v4.col
500,1000,1500,70,349973,5,3973.181,MinGrau,1482,bi_a500_b1000_p70%_v5.col
500,1000,1500,80,400300,1,4109.3158,MinGrau,1488,bi_a500_b1000_p80%_v1.col
500,1000,1500,80,399801,2,4085.1245,MinGrau,1488,bi_a500_b1000_p80%_v2.col
500,1000,1500,80,399916,3,4084.1091,MinGrau,1488,bi_a500_b1000_p80%_v3.col
500,1000,1500,80,400588,4,4079.9476,MinGrau,1488,bi_a500_b1000_p80%_v4.col
500,1000,1500,80,399829,5,4095.585,MinGrau,1488,bi_a500_b1000_p80%_v5.col
500,1000,1500,90,449955,1,4108.7095,MinGrau,1493,bi_a500_b1000_p90%_v1.col
500,1000,1500,90,449946,2,4149.2457,MinGrau,1493,bi_a500_b1000_p90%_v2.col
500,1000,1500,90,449847,3,4133.7353,MinGrau,1493,bi_a500_b1000_p90%_v3.col
500,1000,1500,90,449742,4,4134.6617,MinGrau,1492,bi_a500_b1000_p90%_v4.col
500,1000,1500,90,450083,5,4113.9182,MinGrau,1493,bi_a500_b1000_p90%_v5.col
