b,chi_sat,p,tempo_max,chi_max,chi_min,N,M,v,a,tempo_sat,instancia,tempo_min
500,170,1,0.2285,167,96,600,516,2,100,0.2394,bi_a100_b500_p01%_v2.col,0.1411
500,173,1,0.226,171,97,600,518,3,100,0.2383,bi_a100_b500_p01%_v3.col,0.1409
500,194,1,0.2631,189,95,600,503,4,100,0.2712,bi_a100_b500_p01%_v4.col,0.1404
500,174,1,0.2446,174,100,600,511,5,100,0.2525,bi_a100_b500_p01%_v5.col,0.1425
500,148,3,0.4321,148,109,600,1537,1,100,0.4407,bi_a100_b500_p03%_v1.col,0.3342
500,153,3,0.4417,153,110,600,1444,2,100,0.4513,bi_a100_b500_p03%_v2.col,0.3341
500,152,3,0.4469,152,109,600,1499,3,100,0.4548,bi_a100_b500_p03%_v3.col,0.3294
500,150,3,0.4402,150,108,600,1505,4,100,0.4489,bi_a100_b500_p03%_v4.col,0.3273
500,151,3,0.4312,151,107,600,1550,5,100,0.4483,bi_a100_b500_p03%_v5.col,0.3265
500,133,5,0.5575,133,128,600,2497,1,100,0.5528,bi_a100_b500_p05%_v1.col,0.5746
500,132,5,0.556,132,129,600,2502,2,100,0.5628,bi_a100_b500_p05%_v2.col,0.5712
500,155,5,0.582,155,127,600,2543,3,100,0.59,bi_a100_b500_p05%_v3.col,0.5549
500,152,5,0.6,152,124,600,2442,4,100,0.5929,bi_a100_b500_p05%_v4.col,0.538
500,135,5,0.5468,135,125,600,2454,5,100,0.5556,bi_a100_b500_p05%_v5.col,0.5352
500,170,10,0.92,170,190,600,5152,1,100,0.9342,bi_a100_b500_p10%_v1.col,1.7079
500,169,10,0.905,169,188,600,4977,2,100,0.9137,bi_a100_b500_p10%_v2.col,1.6434
500,178,10,0.9514,178,193,600,5109,3,100,0.9724,bi_a100_b500_p10%_v3.col,1.7593
500,172,10,0.9098,172,186,600,4929,4,100,0.9206,bi_a100_b500_p10%_v4.col,1.5864
500,169,10,0.9119,169,193,600,5103,5,100,0.9126,bi_a100_b500_p10%_v5.col,1.8
500,325,20,2.3945,325,374,600,10077,1,100,2.4135,bi_a100_b500_p20%_v1.col,6.3213
500,320,20,2.2569,320,371,600,10063,2,100,2.2654,bi_a100_b500_p20%_v2.col,6.0193
500,314,20,2.1675,314,362,600,9741,3,100,2.1429,bi_a100_b500_p20%_v3.col,5.8147
500,320,20,2.4085,320,376,600,10069,4,100,2.4388,bi_a100_b500_p20%_v4.col,6.5653
500,310,20,2.208,310,358,600,9842,5,100,2.1714,bi_a100_b500_p20%_v5.col,6.0727
500,531,30,5.2646,531,517,600,15047,1,100,5.3327,bi_a100_b500_p30%_v1.col,10.8103
500,539,30,5.4957,539,525,600,15090,2,100,5.3774,bi_a100_b500_p30%_v2.col,10.9232
