a,b,N,p,M,v,tempo_melhor,heuristica_vencedora,melhor_chi,instancia
100,500,600,1,518,3,0.0006,MinGrau,97,bi_a100_b500_p01%_v3.col
100,500,600,1,503,4,0.0005,MinGrau,95,bi_a100_b500_p01%_v4.col
100,500,600,1,511,5,0.0005,MinGrau,100,bi_a100_b500_p01%_v5.col
100,500,600,3,1537,1,0.0009,MinGrau,109,bi_a100_b500_p03%_v1.col
100,500,600,3,1444,2,0.0008,MinGrau,110,bi_a100_b500_p03%_v2.col
100,500,600,3,1499,3,0.0008,MinGrau,109,bi_a100_b500_p03%_v3.col
100,500,600,3,1505,4,0.0009,MinGrau,108,bi_a100_b500_p03%_v4.col
100,500,600,3,1550,5,0.0009,MinGrau,107,bi_a100_b500_p03%_v5.col
100,500,600,5,2497,1,0.0013,MinGrau,128,bi_a100_b500_p05%_v1.col
100,500,600,5,2502,2,0.0013,MinGrau,129,bi_a100_b500_p05%_v2.col
100,500,600,5,2543,3,0.0013,MinGrau,127,bi_a100_b500_p05%_v3.col
100,500,600,5,2442,4,0.0012,MinGrau,124,bi_a100_b500_p05%_v4.col
100,500,600,5,2454,5,0.0013,MinGrau,125,bi_a100_b500_p05%_v5.col
100,500,600,10,5152,1,0.0031,MaxGrau,170,bi_a100_b500_p10%_v1.col
100,500,600,10,4977,2,0.003,MaxGrau,169,bi_a100_b500_p10%_v2.col
100,500,600,10,5109,3,0.003,MaxGrau,178,bi_a100_b500_p10%_v3.col
100,500,600,10,4929,4,0.0029,MaxGrau,172,bi_a100_b500_p10%_v4.col
100,500,600,10,5103,5,0.003,MaxGrau,169,bi_a100_b500_p10%_v5.col
100,500,600,20,10077,1,0.0083,MaxGrau,325,bi_a100_b500_p20%_v1.col
100,500,600,20,10063,2,0.0083,MaxGrau,320,bi_a100_b500_p20%_v2.col
100,500,600,20,9741,3,0.0079,MaxGrau,314,bi_a100_b500_p20%_v3.col
100,500,600,20,10069,4,0.0086,MaxGrau,320,bi_a100_b500_p20%_v4.col
100,500,600,20,9842,5,0.0079,MaxGrau,310,bi_a100_b500_p20%_v5.col
100,500,600,30,15047,1,0.0195,MinGrau,517,bi_a100_b500_p30%_v1.col
100,500,600,30,15090,2,0.0215,MinGrau,525,bi_a100_b500_p30%_v2.col
100,500,600,30,15149,3,0.022,MinGrau,528,bi_a100_b500_p30%_v3.col
100,500,600,30,15116,4,0.0197,MinGrau,524,bi_a100_b500_p30%_v4.col
100,500,600,30,14883,5,0.0212,MinGrau,529,bi_a100_b500_p30%_v5.col
100,500,600,40,20050,1,0.0318,MinGrau,551,bi_a100_b500_p40%_v1.col
100,500,600,40,19920,2,0.037,MinGrau,554,bi_a100_b500_p40%_v2.col
100,500,600,40,20094,3,0.0384,MinGrau,552,bi_a100_b500_p40%_v3.col
100,500,600,40,20053,4,0.036,MinGrau,552,bi_a100_b500_p40%_v4.col
100,500,600,40,20043,5,0.0354,MinGrau,553,bi_a100_b500_p40%_v5.col
100,500,600,50,25075,1,0.0433,MinGrau,570,bi_a100_b500_p50%_v1.col
100,500,600,50,24945,2,0.0539,MinGrau,571,bi_a100_b500_p50%_v2.col
100,500,600,50,24951,3,0.0503,MinGrau,568,bi_a100_b500_p50%_v3.col
100,500,600,50,25104,4,0.0613,MinGrau,569,bi_a100_b500_p50%_v4.col
100,500,600,50,24738,5,0.0507,MinGrau,569,bi_a100_b500_p50%_v5.col
100,500,600,60,29954,1,0.071,MinGrau,580,bi_a100_b500_p60%_v1.col
