a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,peak_mem_mb,mean_mem_mb,instancia
100,100,200,1,92,1,1.7355202485999999,1.1305098617033764,40.4,0.39999999999999997,100.42955017089844,76.94369659423828,bi_a100_b100_p01%_v1.col
100,100,200,3,306,1,4.8645332996,0.7700487125824577,36.0,1.378404875209022,232.57953643798828,174.4851547241211,bi_a100_b100_p03%_v1.col
100,100,200,5,497,1,6.0137417516,0.752949999606803,39.8,0.48989794855663554,148.74356842041016,130.37381744384766,bi_a100_b100_p05%_v1.col
100,100,200,10,971,1,7.900671278199999,0.7758042890106659,62.2,0.19999999999999998,207.61134338378906,161.76730499267578,bi_a100_b100_p10%_v1.col
100,100,200,20,1973,1,22.1595994066,5.320403237738874,105.2,0.58309518948453,257.07913970947266,150.1506790161133,bi_a100_b100_p20%_v1.col
100,100,200,30,2897,1,35.821549421600004,5.810632005293081,138.2,0.6633249580710799,134.97286987304688,107.7853988647461,bi_a100_b100_p30%_v1.col
100,100,200,40,3953,1,41.502154648200005,7.125673060108197,159.4,0.24494897427831777,117.76889038085938,88.2191879272461,bi_a100_b100_p40%_v1.col
100,100,200,50,5022,1,61.7391181702,16.34785832950557,172.2,0.3741657386773941,144.39701080322266,95.06878509521485,bi_a100_b100_p50%_v1.col
100,100,200,60,6000,1,62.48512681740001,10.627627265738873,181.0,0.31622776601683794,103.29285430908203,80.63039093017578,bi_a100_b100_p60%_v1.col
100,100,200,70,7039,1,82.03709601,15.974921690101038,186.4,0.24494897427831777,118.07301330566406,84.83341064453126,bi_a100_b100_p70%_v1.col
100,100,200,80,8007,1,68.3218131398,9.051796322051976,190.0,0.0,87.29315948486328,73.29094848632812,bi_a100_b100_p80%_v1.col
100,100,200,90,9021,1,36.3865855284,3.1282934707151857,194.0,0.0,66.85405731201172,55.81490936279297,bi_a100_b100_p90%_v1.col
