a,b,N,p,M,v,mean_time,se_time,mean_chi,se_chi,peak_mem_mb,mean_mem_mb,instancia
100,1000,1100,1,1016,1,14.482609428,1.825200656892246,91.8,0.7348469228349533,372.34986877441406,247.5533645629883,bi_a100_b1000_p01%_v1.col
100,1000,1100,3,2996,1,43.825348851,2.476775317917509,104.6,0.39999999999999997,414.1781311035156,347.4270645141602,bi_a100_b1000_p03%_v1.col
100,1000,1100,5,5012,1,96.52633788119999,22.7537912275903,130.4,0.39999999999999997,831.9796981811523,507.5967651367188,bi_a100_b1000_p05%_v1.col
100,1000,1100,10,10054,1,211.0541295164,13.542858033752191,250.4,0.24494897427831777,460.4510269165039,403.39679260253905,bi_a100_b1000_p10%_v1.col
100,1000,1100,20,19912,1,906.1088849078002,66.51537998903339,570.4,1.3266499161421599,621.6398010253906,472.4569854736328,bi_a100_b1000_p20%_v1.col
100,1000,1100,30,29774,1,1483.5099412106,183.70061971338242,990.8,0.58309518948453,495.0137252807617,368.38380126953126,bi_a100_b1000_p30%_v1.col
100,1000,1100,40,39882,1,2315.2210897274003,387.32803355456355,1045.2,0.58309518948453,559.6963348388672,361.19344940185545,bi_a100_b1000_p40%_v1.col
100,1000,1100,50,49850,1,3250.5957127265997,736.0030832649059,1062.8,0.58309518948453,531.4776763916016,361.00081939697264,bi_a100_b1000_p50%_v1.col
100,1000,1100,60,59993,1,3332.9950811234,503.47838509054475,1075.4,0.24494897427831777,434.07835388183594,294.46297454833984,bi_a100_b1000_p60%_v1.col
100,1000,1100,70,70111,1,3420.3786748894004,374.81363568278215,1083.0,0.0,322.6378860473633,245.50539855957032,bi_a100_b1000_p70%_v1.col
100,1000,1100,80,80051,1,3886.7735124858,844.1108300704628,1087.8,0.19999999999999998,377.85958099365234,223.40538787841797,bi_a100_b1000_p80%_v1.col
100,1000,1100,90,89871,1,4809.0286560188,1031.5736384483034,1091.8,0.20000000000000004,361.75252532958984,239.25445556640625,bi_a100_b1000_p90%_v1.col
