a,mean_fit_t,N,se_cross_t,mean_mut_t,mean_cross_t,instancia,se_fit_t,se_mut_t
1,0.012383833800000011,19,0.0,0.0,0.0,galaxy_a01_b10_c20_v1.col,0.00021560792500031388,0.0
5,1.0862587831999997,150,0.0,0.0,0.0,galaxy_a05_b10_c50_v3.col,0.009498871374044026,0.0
