b,c,mean_time,se_time,N,M,v,mean_chi,a,instancia,se_chi
10,20,0.2047765072,0.1916536821562905,19,18,1,19.0,1,galaxy_a01_b10_c20_v1.col,0.0
10,50,1.0969861456,0.004349784873718257,150,145,3,51.0,5,galaxy_a05_b10_c50_v3.col,0.0
