instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time
galaxy_a01_b10_c20_v1.col,1,10,20,1,19,18,19.0,0.0,0.2087,0.1918
galaxy_a05_b10_c50_v3.col,5,10,50,3,150,145,51.0,0.0,1.11269,0.0222
