N,p,n,M,v,mean_time,se_time,instancia,mean_chi,se_chi
1000,1,1000,4972,1,5.62386,1.12837,simples_n1000_p01%_v1.col,173.0,2.66458
1000,1,1000,4997,2,3.44527,0.50182,simples_n1000_p01%_v2.col,180.0,5.52268
1000,1,1000,5119,3,4.15904,0.5987,simples_n1000_p01%_v3.col,172.8,4.11582
1000,1,1000,4875,4,4.1971,0.69561,simples_n1000_p01%_v4.col,179.8,4.75815
1000,1,1000,4914,5,2.92325,0.59464,simples_n1000_p01%_v5.col,186.6,5.4461
1000,3,1000,15032,1,5.23281,0.63803,simples_n1000_p03%_v1.col,348.8,0.4899
1000,3,1000,14860,2,3.58044,0.2906,simples_n1000_p03%_v2.col,347.2,0.86023
1000,3,1000,14977,3,3.82086,0.23209,simples_n1000_p03%_v3.col,349.4,0.4
1000,3,1000,15042,4,3.73846,0.30185,simples_n1000_p03%_v4.col,350.6,0.24495
1000,3,1000,14848,5,3.99182,0.57058,simples_n1000_p03%_v5.col,347.6,0.5099
1000,5,1000,25093,1,7.63213,0.46146,simples_n1000_p05%_v1.col,536.8,0.5831
1000,5,1000,25053,2,6.69397,0.39243,simples_n1000_p05%_v2.col,537.6,1.02956
1000,5,1000,25160,3,7.10636,0.9432,simples_n1000_p05%_v3.col,538.0,0.54772
1000,5,1000,24797,4,8.33191,0.65515,simples_n1000_p05%_v4.col,532.4,0.8124
1000,5,1000,24991,5,8.26613,1.05847,simples_n1000_p05%_v5.col,535.2,1.35647
1000,10,1000,50462,1,8.77551,0.01428,simples_n1000_p10%_v1.col,986.0,0.0
1000,10,1000,50213,2,6.44582,0.01643,simples_n1000_p10%_v2.col,980.0,0.0
1000,10,1000,49945,3,6.48425,0.0852,simples_n1000_p10%_v3.col,984.0,0.0
1000,10,1000,50219,4,10.52475,0.45744,simples_n1000_p10%_v4.col,983.0,0.0
1000,10,1000,49888,5,8.68014,0.0993,simples_n1000_p10%_v5.col,987.0,0.0
1000,20,1000,100166,1,22.83315,0.02468,simples_n1000_p20%_v1.col,1000.0,0.0
1000,20,1000,99937,2,22.66368,0.03991,simples_n1000_p20%_v2.col,1000.0,0.0
1000,20,1000,99503,3,22.49753,0.02899,simples_n1000_p20%_v3.col,1000.0,0.0
1000,20,1000,99768,4,22.6367,0.11446,simples_n1000_p20%_v4.col,1000.0,0.0
1000,20,1000,99473,5,22.57968,0.04081,simples_n1000_p20%_v5.col,1000.0,0.0
