instancia,n,p,v,N,M,melhor_chi,tempo_melhor,heuristica_vencedora
simples_n100_p20%_v3.col,100,20,3,100,923,79,0.896,Satur
simples_n100_p20%_v5.col,100,20,5,100,975,82,0.0139,MaxGrau
