instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time
galaxy_a25_b10_c20_v5.col,25,10,20,5,398,373,34.2,0.2,3.16658,1.0236
galaxy_a25_b10_c30_v1.col,25,10,30,1,557,532,37.4,0.4,2.68429,1.058
galaxy_a25_b10_c30_v2.col,25,10,30,2,544,519,37.6,0.2449,2.63121,0.6855
galaxy_a25_b10_c30_v3.col,25,10,30,3,513,488,35.0,0.0,1.52458,0.1922
galaxy_a25_b10_c30_v4.col,25,10,30,4,525,500,36.8,0.2,1.5828,0.2659
galaxy_a25_b10_c30_v5.col,25,10,30,5,528,503,37.4,0.2449,2.59157,0.7509
galaxy_a25_b10_c40_v1.col,25,10,40,1,604,579,41.0,0.0,2.15268,0.5841
galaxy_a25_b10_c40_v2.col,25,10,40,2,655,630,42.0,0.0,2.10756,0.6314
galaxy_a25_b10_c40_v3.col,25,10,40,3,634,609,41.0,0.0,1.50344,0.1669
galaxy_a25_b10_c40_v4.col,25,10,40,4,692,667,42.8,0.2,3.44439,0.9311
galaxy_a25_b10_c40_v5.col,25,10,40,5,625,600,41.0,0.0,1.37589,0.1932
galaxy_a25_b10_c50_v1.col,25,10,50,1,797,772,50.0,0.0,1.57921,0.1064
galaxy_a25_b10_c50_v2.col,25,10,50,2,749,724,51.0,0.0,0.9946,0.0867
galaxy_a25_b10_c50_v3.col,25,10,50,3,762,737,51.0,0.0,1.24397,0.0977
galaxy_a25_b10_c50_v4.col,25,10,50,4,849,824,50.2,0.2,2.84401,0.1631
galaxy_a25_b10_c50_v5.col,25,10,50,5,789,764,50.0,0.0,1.51397,0.1168
galaxy_a25_b10_c60_v1.col,25,10,60,1,814,789,60.0,0.0,1.04516,0.0772
galaxy_a25_b10_c60_v2.col,25,10,60,2,882,857,61.0,0.0,1.25469,0.0689
galaxy_a25_b10_c60_v3.col,25,10,60,3,865,840,61.0,0.0,1.13119,0.0831
galaxy_a25_b10_c60_v4.col,25,10,60,4,913,888,61.0,0.0,1.37045,0.0979
galaxy_a25_b10_c60_v5.col,25,10,60,5,887,862,60.0,0.0,1.55802,0.1629
galaxy_a25_b10_c70_v1.col,25,10,70,1,1030,1005,71.0,0.0,1.31652,0.0707
galaxy_a25_b10_c70_v2.col,25,10,70,2,1013,988,68.0,0.0,2.5876,0.2567
galaxy_a25_b10_c70_v3.col,25,10,70,3,1028,1003,68.0,0.0,1.45411,0.0826
galaxy_a25_b10_c70_v4.col,25,10,70,4,1004,979,71.0,0.0,1.29953,0.1205
galaxy_a25_b10_c70_v5.col,25,10,70,5,949,924,64.0,0.0,1.45268,0.0866
galaxy_a25_b10_c80_v1.col,25,10,80,1,1071,1046,78.0,0.0,1.18027,0.0852
galaxy_a25_b10_c80_v2.col,25,10,80,2,1275,1250,79.0,0.0,2.37739,0.1346
galaxy_a25_b10_c80_v3.col,25,10,80,3,1339,1314,81.0,0.0,5.88,0.6155
galaxy_a25_b10_c80_v4.col,25,10,80,4,1099,1074,81.0,0.0,1.58622,0.0723
galaxy_a25_b10_c80_v5.col,25,10,80,5,1277,1252,73.0,0.0,2.81143,0.1861
galaxy_a25_b10_c90_v1.col,25,10,90,1,1220,1195,90.0,0.0,1.27534,0.0912
galaxy_a25_b10_c90_v2.col,25,10,90,2,1128,1103,79.0,0.0,1.17099,0.0875
galaxy_a25_b10_c90_v3.col,25,10,90,3,1201,1176,91.0,0.0,1.46631,0.0837
galaxy_a25_b10_c90_v4.col,25,10,90,4,1077,1052,89.0,0.0,0.75622,0.0636
galaxy_a25_b10_c90_v5.col,25,10,90,5,1435,1410,90.0,0.0,1.9845,0.1061
galaxy_a30_b10_c100_v1.col,30,10,100,1,1837,1807,100.0,0.0,3.56421,0.2209
galaxy_a30_b10_c100_v2.col,30,10,100,2,1411,1381,83.0,0.0,2.34572,0.1045
galaxy_a30_b10_c100_v3.col,30,10,100,3,1687,1657,97.0,0.0,2.08273,0.0841
galaxy_a30_b10_c100_v4.col,30,10,100,4,1489,1459,101.0,0.0,1.98715,0.1262
galaxy_a30_b10_c100_v5.col,30,10,100,5,1571,1541,101.0,0.0,1.64462,0.0847
galaxy_a30_b10_c20_v1.col,30,10,20,1,479,449,38.8,0.3742,6.57994,3.0845
galaxy_a30_b10_c20_v2.col,30,10,20,2,494,464,39.4,0.2449,1.64841,0.1959
galaxy_a30_b10_c20_v3.col,30,10,20,3,492,462,38.8,0.2,2.9899,1.0618
galaxy_a30_b10_c20_v4.col,30,10,20,4,497,467,39.0,0.3162,3.0095,1.0844
galaxy_a30_b10_c20_v5.col,30,10,20,5,468,438,38.0,0.0,2.65137,0.5005
galaxy_a30_b10_c30_v1.col,30,10,30,1,561,531,39.2,0.3742,2.66867,0.695
galaxy_a30_b10_c30_v2.col,30,10,30,2,623,593,40.0,0.0,3.71336,1.159
galaxy_a30_b10_c30_v3.col,30,10,30,3,609,579,38.6,0.2449,3.59013,0.5939
galaxy_a30_b10_c30_v4.col,30,10,30,4,621,591,40.2,0.2,3.28975,0.5896
galaxy_a30_b10_c30_v5.col,30,10,30,5,600,570,39.0,0.3162,2.57847,0.4501
galaxy_a30_b10_c40_v1.col,30,10,40,1,839,809,46.2,0.2,3.95384,0.7711
galaxy_a30_b10_c40_v2.col,30,10,40,2,786,756,44.4,0.2449,4.17061,0.6556
galaxy_a30_b10_c40_v3.col,30,10,40,3,840,810,46.6,0.4,4.45749,0.5802
galaxy_a30_b10_c40_v4.col,30,10,40,4,677,647,41.4,0.2449,2.20779,0.2353
galaxy_a30_b10_c40_v5.col,30,10,40,5,745,715,43.6,0.4,2.71893,0.3601
galaxy_a30_b10_c50_v1.col,30,10,50,1,984,954,52.2,0.3742,5.46565,0.643
galaxy_a30_b10_c50_v2.col,30,10,50,2,856,826,49.0,0.0,2.03692,0.1425
galaxy_a30_b10_c50_v3.col,30,10,50,3,992,962,54.6,0.2449,4.0971,0.7964
galaxy_a30_b10_c50_v4.col,30,10,50,4,973,943,51.8,0.3742,4.17866,0.6128
galaxy_a30_b10_c50_v5.col,30,10,50,5,922,892,52.0,0.0,1.83924,0.1212
galaxy_a30_b10_c60_v1.col,30,10,60,1,1088,1058,61.0,0.0,2.1713,0.1359
galaxy_a30_b10_c60_v2.col,30,10,60,2,1115,1085,63.0,0.0,4.28858,0.5887
galaxy_a30_b10_c60_v3.col,30,10,60,3,1104,1074,59.8,0.2,4.48763,0.9657
galaxy_a30_b10_c60_v4.col,30,10,60,4,936,906,61.0,0.0,1.21628,0.1146
galaxy_a30_b10_c60_v5.col,30,10,60,5,1075,1045,60.0,0.0,2.35168,0.0778
galaxy_a30_b10_c70_v1.col,30,10,70,1,1148,1118,71.0,0.0,1.65081,0.1274
galaxy_a30_b10_c70_v2.col,30,10,70,2,1132,1102,70.0,0.0,1.76913,0.113
galaxy_a30_b10_c70_v3.col,30,10,70,3,1318,1288,70.0,0.0,15.23074,9.1886
galaxy_a30_b10_c70_v4.col,30,10,70,4,1123,1093,72.0,0.0,4.36207,0.3017
galaxy_a30_b10_c70_v5.col,30,10,70,5,1182,1152,71.0,0.0,1.86676,0.0719
galaxy_a30_b10_c80_v1.col,30,10,80,1,1403,1373,81.0,0.0,1.9969,0.1389
galaxy_a30_b10_c80_v2.col,30,10,80,2,1432,1402,82.0,0.0,5.44863,0.2185
galaxy_a30_b10_c80_v3.col,30,10,80,3,1220,1190,79.0,0.0,1.51801,0.1411
galaxy_a30_b10_c80_v4.col,30,10,80,4,1515,1485,79.6,0.2449,6.75774,1.437
galaxy_a30_b10_c80_v5.col,30,10,80,5,1360,1330,72.0,0.0,4.50404,0.3554
galaxy_a30_b10_c90_v1.col,30,10,90,1,1608,1578,92.0,0.0,3.08795,0.1133
galaxy_a30_b10_c90_v2.col,30,10,90,2,1408,1378,86.0,0.0,1.90667,0.1125
galaxy_a30_b10_c90_v3.col,30,10,90,3,1498,1468,91.0,0.0,2.07191,0.1356
galaxy_a30_b10_c90_v4.col,30,10,90,4,1863,1833,90.0,0.0,5.93602,0.6136
galaxy_a30_b10_c90_v5.col,30,10,90,5,1520,1490,91.0,0.0,2.19183,0.1186
galaxy_a35_b10_c100_v1.col,35,10,100,1,1935,1900,101.0,0.0,3.87558,0.0823
galaxy_a35_b10_c100_v2.col,35,10,100,2,1868,1833,101.0,0.0,2.91276,0.1952
galaxy_a35_b10_c100_v3.col,35,10,100,3,1678,1643,93.0,0.0,3.74251,0.0642
galaxy_a35_b10_c100_v4.col,35,10,100,4,2167,2132,102.0,0.0,6.91324,0.9405
galaxy_a35_b10_c100_v5.col,35,10,100,5,1803,1768,101.0,0.0,3.06053,0.1274
galaxy_a35_b10_c20_v1.col,35,10,20,1,556,521,43.0,0.0,3.34245,0.8373
galaxy_a35_b10_c20_v2.col,35,10,20,2,551,516,42.6,0.2449,2.58843,0.3255
galaxy_a35_b10_c20_v3.col,35,10,20,3,533,498,43.2,0.2,3.55895,0.4852
galaxy_a35_b10_c20_v4.col,35,10,20,4,534,499,42.8,0.2,3.91767,0.7021
galaxy_a35_b10_c20_v5.col,35,10,20,5,527,492,42.2,0.2,2.81785,0.4008
galaxy_a35_b10_c30_v1.col,35,10,30,1,743,708,46.0,0.0,2.44966,0.514
galaxy_a35_b10_c30_v2.col,35,10,30,2,728,693,45.4,0.2449,4.23034,0.6162
galaxy_a35_b10_c30_v3.col,35,10,30,3,764,729,44.6,0.2449,3.896,1.1399
galaxy_a35_b10_c30_v4.col,35,10,30,4,731,696,45.6,0.2449,2.66693,0.5108
galaxy_a35_b10_c30_v5.col,35,10,30,5,723,688,45.2,0.2,3.94381,0.6323
galaxy_a35_b10_c40_v1.col,35,10,40,1,996,961,52.4,0.4,7.483,0.8707
galaxy_a35_b10_c40_v2.col,35,10,40,2,927,892,50.2,0.5831,5.90273,0.8725
galaxy_a35_b10_c40_v3.col,35,10,40,3,930,895,49.8,0.5831,5.48575,1.0946
galaxy_a35_b10_c40_v4.col,35,10,40,4,875,840,47.6,0.2449,4.16499,0.5992
galaxy_a35_b10_c40_v5.col,35,10,40,5,766,731,45.0,0.0,2.76136,0.3576
galaxy_a35_b10_c50_v1.col,35,10,50,1,1115,1080,54.0,0.3162,9.73025,3.2658
galaxy_a35_b10_c50_v2.col,35,10,50,2,1186,1151,55.6,0.4,7.63919,2.5459
galaxy_a35_b10_c50_v3.col,35,10,50,3,1150,1115,55.4,0.4,8.78393,1.9163
galaxy_a35_b10_c50_v4.col,35,10,50,4,1074,1039,53.0,0.4472,7.78533,1.1017
galaxy_a35_b10_c50_v5.col,35,10,50,5,1084,1049,52.6,0.4,8.71122,1.34
galaxy_a35_b10_c60_v1.col,35,10,60,1,1295,1260,62.2,0.3742,10.78708,4.2223
galaxy_a35_b10_c60_v2.col,35,10,60,2,1199,1164,57.8,0.2,7.97338,2.1119
galaxy_a35_b10_c60_v3.col,35,10,60,3,1270,1235,58.8,0.3742,10.43739,0.9607
galaxy_a35_b10_c60_v4.col,35,10,60,4,1259,1224,61.2,0.2,5.00806,1.4155
galaxy_a35_b10_c60_v5.col,35,10,60,5,1205,1170,59.0,0.0,3.52194,0.3178
galaxy_a35_b10_c70_v1.col,35,10,70,1,1521,1486,71.2,0.2,7.76384,1.6381
galaxy_a35_b10_c70_v2.col,35,10,70,2,1394,1359,64.6,0.2449,10.18296,2.3264
galaxy_a35_b10_c70_v3.col,35,10,70,3,1415,1380,67.0,0.0,9.20412,2.2806
galaxy_a35_b10_c70_v4.col,35,10,70,4,1389,1354,72.0,0.0,3.84287,0.2007
galaxy_a35_b10_c70_v5.col,35,10,70,5,1323,1288,70.0,0.0,3.56777,0.4387
galaxy_a35_b10_c80_v1.col,35,10,80,1,1668,1633,81.0,0.0,4.65952,0.5322
galaxy_a35_b10_c80_v2.col,35,10,80,2,1491,1456,78.0,0.0,4.03093,0.2073
galaxy_a35_b10_c80_v3.col,35,10,80,3,1628,1593,81.0,0.0,8.47145,0.998
galaxy_a35_b10_c80_v4.col,35,10,80,4,1451,1416,79.0,0.0,2.37051,0.1391
galaxy_a35_b10_c80_v5.col,35,10,80,5,1571,1536,81.0,0.0,5.15731,0.2719
galaxy_a35_b10_c90_v1.col,35,10,90,1,1716,1681,90.0,0.0,3.2423,0.0975
galaxy_a35_b10_c90_v2.col,35,10,90,2,1608,1573,90.0,0.0,2.59109,0.1138
galaxy_a35_b10_c90_v3.col,35,10,90,3,1390,1355,86.0,0.0,1.66414,0.1016
galaxy_a35_b10_c90_v4.col,35,10,90,4,1729,1694,91.0,0.0,3.40012,0.091
galaxy_a35_b10_c90_v5.col,35,10,90,5,1924,1889,91.0,0.0,5.77276,0.3968
galaxy_a40_b10_c100_v1.col,40,10,100,1,2441,2401,102.2,0.2,47.52101,14.2279
galaxy_a40_b10_c100_v2.col,40,10,100,2,2316,2276,99.0,0.0,6.91722,0.3985
galaxy_a40_b10_c100_v3.col,40,10,100,3,2184,2144,101.0,0.0,8.09591,0.8465
galaxy_a40_b10_c100_v4.col,40,10,100,4,2262,2222,100.0,0.0,6.94338,0.5706
galaxy_a40_b10_c100_v5.col,40,10,100,5,2104,2064,101.0,0.0,5.01726,0.1525
galaxy_a40_b10_c20_v1.col,40,10,20,1,637,597,47.6,0.2449,4.94395,0.4779
galaxy_a40_b10_c20_v2.col,40,10,20,2,642,602,49.0,0.3162,2.93853,0.5573
galaxy_a40_b10_c20_v3.col,40,10,20,3,623,583,47.8,0.4899,3.09386,0.3446
galaxy_a40_b10_c20_v4.col,40,10,20,4,666,626,48.8,0.3742,5.51063,0.9866
galaxy_a40_b10_c20_v5.col,40,10,20,5,636,596,48.0,0.4472,5.28625,1.711
galaxy_a40_b10_c30_v1.col,40,10,30,1,797,757,49.2,0.2,6.63588,1.179
galaxy_a40_b10_c30_v2.col,40,10,30,2,799,759,49.2,0.5831,3.47892,0.732
galaxy_a40_b10_c30_v3.col,40,10,30,3,788,748,50.0,0.3162,4.36813,0.8496
galaxy_a40_b10_c30_v4.col,40,10,30,4,824,784,50.0,0.3162,7.41537,2.2495
galaxy_a40_b10_c30_v5.col,40,10,30,5,889,849,50.8,0.3742,4.99176,1.17
galaxy_a40_b10_c40_v1.col,40,10,40,1,1053,1013,53.0,0.3162,7.55778,1.1312
galaxy_a40_b10_c40_v2.col,40,10,40,2,1028,988,52.0,0.3162,8.58071,0.725
galaxy_a40_b10_c40_v3.col,40,10,40,3,1089,1049,52.2,0.4899,12.15589,2.2029
galaxy_a40_b10_c40_v4.col,40,10,40,4,978,938,51.2,0.3742,4.22437,0.6667
galaxy_a40_b10_c40_v5.col,40,10,40,5,1053,1013,53.2,0.5831,7.02596,1.2103
galaxy_a40_b10_c50_v1.col,40,10,50,1,1176,1136,55.0,0.3162,12.13881,2.0104
galaxy_a40_b10_c50_v2.col,40,10,50,2,1276,1236,57.4,0.2449,14.77423,2.966
galaxy_a40_b10_c50_v3.col,40,10,50,3,1278,1238,58.2,0.2,12.66476,2.52
galaxy_a40_b10_c50_v4.col,40,10,50,4,1208,1168,55.0,0.4472,10.80714,1.4846
galaxy_a40_b10_c50_v5.col,40,10,50,5,1354,1314,60.4,0.4,9.8514,2.1259
galaxy_a40_b10_c60_v1.col,40,10,60,1,1561,1521,66.6,0.4,8.28645,0.8107
galaxy_a40_b10_c60_v2.col,40,10,60,2,1399,1359,61.6,0.2449,20.36102,3.3088
galaxy_a40_b10_c60_v3.col,40,10,60,3,1409,1369,61.2,0.2,18.09418,8.5912
galaxy_a40_b10_c60_v4.col,40,10,60,4,1484,1444,64.0,0.3162,9.04045,1.2045
galaxy_a40_b10_c60_v5.col,40,10,60,5,1377,1337,61.0,0.0,10.30477,1.494
galaxy_a40_b10_c70_v1.col,40,10,70,1,1551,1511,69.2,0.2,13.14438,2.3077
galaxy_a40_b10_c70_v2.col,40,10,70,2,1571,1531,68.0,0.0,8.19234,1.1721
galaxy_a40_b10_c70_v3.col,40,10,70,3,1643,1603,72.0,0.0,10.37347,1.8324
galaxy_a40_b10_c70_v4.col,40,10,70,4,1441,1401,71.0,0.0,3.65503,0.1391
galaxy_a40_b10_c70_v5.col,40,10,70,5,1662,1622,71.0,0.0,7.19898,0.6931
galaxy_a40_b10_c80_v1.col,40,10,80,1,2093,2053,83.6,0.2449,15.71514,2.2591
galaxy_a40_b10_c80_v2.col,40,10,80,2,1859,1819,81.0,0.0,5.33624,0.3165
galaxy_a40_b10_c80_v3.col,40,10,80,3,1771,1731,81.0,0.0,5.27695,0.2765
galaxy_a40_b10_c80_v4.col,40,10,80,4,1736,1696,76.4,0.2449,6.8345,0.7514
galaxy_a40_b10_c80_v5.col,40,10,80,5,1864,1824,82.0,0.0,5.71447,0.5705
galaxy_a40_b10_c90_v1.col,40,10,90,1,2157,2117,91.0,0.0,7.20576,0.4058
galaxy_a40_b10_c90_v2.col,40,10,90,2,2012,1972,92.0,0.0,14.37978,5.2088
galaxy_a40_b10_c90_v3.col,40,10,90,3,1918,1878,91.0,0.0,4.47677,0.2259
galaxy_a40_b10_c90_v4.col,40,10,90,4,1937,1897,89.0,0.0,4.71624,0.1891
galaxy_a40_b10_c90_v5.col,40,10,90,5,2098,2058,91.0,0.0,6.20663,0.2522
galaxy_a45_b10_c100_v1.col,45,10,100,1,2601,2556,102.0,0.0,11.40631,0.9085
galaxy_a45_b10_c100_v2.col,45,10,100,2,2498,2453,100.0,0.0,8.79751,0.1584
galaxy_a45_b10_c100_v3.col,45,10,100,3,2530,2485,101.2,0.2,13.8107,1.1256
galaxy_a45_b10_c100_v4.col,45,10,100,4,2621,2576,100.0,0.0,10.88998,0.5651
galaxy_a45_b10_c100_v5.col,45,10,100,5,2454,2409,98.0,0.0,11.2509,1.0259
galaxy_a45_b10_c20_v1.col,45,10,20,1,716,671,52.2,0.3742,5.17472,1.057
galaxy_a45_b10_c20_v2.col,45,10,20,2,701,656,53.2,0.2,4.6578,0.7089
galaxy_a45_b10_c20_v3.col,45,10,20,3,730,685,53.4,0.5099,8.09582,2.6618
galaxy_a45_b10_c20_v4.col,45,10,20,4,707,662,52.8,0.2,5.9735,1.6112
galaxy_a45_b10_c20_v5.col,45,10,20,5,712,667,52.6,0.2449,3.3696,0.605
galaxy_a45_b10_c30_v1.col,45,10,30,1,933,888,55.6,0.2449,4.14269,0.9575
galaxy_a45_b10_c30_v2.col,45,10,30,2,945,900,54.8,0.2,4.62553,1.6152
galaxy_a45_b10_c30_v3.col,45,10,30,3,901,856,55.6,0.2449,5.77814,0.6517
galaxy_a45_b10_c30_v4.col,45,10,30,4,899,854,53.8,0.3742,5.97661,1.6788
galaxy_a45_b10_c30_v5.col,45,10,30,5,994,949,55.0,0.3162,6.45059,1.0778
galaxy_a45_b10_c40_v1.col,45,10,40,1,1267,1222,60.0,0.6325,15.68862,2.3137
galaxy_a45_b10_c40_v2.col,45,10,40,2,1309,1264,60.4,0.7483,13.06581,3.2604
galaxy_a45_b10_c40_v3.col,45,10,40,3,1162,1117,57.0,0.5477,6.91997,0.9144
galaxy_a45_b10_c40_v4.col,45,10,40,4,1140,1095,56.8,0.7348,10.46575,1.7508
galaxy_a45_b10_c40_v5.col,45,10,40,5,1178,1133,56.8,0.4899,10.1499,1.9999
galaxy_a45_b10_c50_v1.col,45,10,50,1,1467,1422,63.2,0.8,17.20767,8.9052
galaxy_a45_b10_c50_v2.col,45,10,50,2,1385,1340,60.0,0.4472,8.35836,1.3476
galaxy_a45_b10_c50_v3.col,45,10,50,3,1430,1385,62.6,0.4,20.70729,3.7038
galaxy_a45_b10_c50_v4.col,45,10,50,4,1386,1341,60.2,0.4899,13.85864,1.7926
galaxy_a45_b10_c50_v5.col,45,10,50,5,1300,1255,58.8,0.2,10.30643,1.2318
galaxy_a45_b10_c60_v1.col,45,10,60,1,1781,1736,70.4,0.8124,17.00838,4.0944
galaxy_a45_b10_c60_v2.col,45,10,60,2,1659,1614,65.8,0.2,17.71099,2.4208
galaxy_a45_b10_c60_v3.col,45,10,60,3,1552,1507,63.6,0.4,11.31911,3.2026
galaxy_a45_b10_c60_v4.col,45,10,60,4,1711,1666,68.0,0.3162,16.2713,4.3615
galaxy_a45_b10_c60_v5.col,45,10,60,5,1572,1527,63.8,0.3742,16.97092,4.0775
galaxy_a45_b10_c70_v1.col,45,10,70,1,1662,1617,70.0,0.0,5.58334,0.3125
galaxy_a45_b10_c70_v2.col,45,10,70,2,1876,1831,71.8,0.5831,24.54465,2.621
galaxy_a45_b10_c70_v3.col,45,10,70,3,1690,1645,69.0,0.4472,14.31368,0.8106
galaxy_a45_b10_c70_v4.col,45,10,70,4,1826,1781,70.2,0.5831,30.17528,6.592
galaxy_a45_b10_c70_v5.col,45,10,70,5,1821,1776,73.0,0.0,15.93813,2.7074
galaxy_a45_b10_c80_v1.col,45,10,80,1,2167,2122,81.0,0.0,17.06228,3.4014
galaxy_a45_b10_c80_v2.col,45,10,80,2,2298,2253,84.0,0.3162,30.89349,3.3716
galaxy_a45_b10_c80_v3.col,45,10,80,3,2089,2044,82.8,0.2,14.91813,2.0409
galaxy_a45_b10_c80_v4.col,45,10,80,4,2035,1990,82.0,0.4472,16.70971,3.0611
galaxy_a45_b10_c80_v5.col,45,10,80,5,2364,2319,84.6,0.5099,41.70203,8.9911
galaxy_a45_b10_c90_v1.col,45,10,90,1,2249,2204,89.0,0.0,21.28258,5.5539
galaxy_a45_b10_c90_v2.col,45,10,90,2,2216,2171,90.0,0.0,10.48307,1.0007
galaxy_a45_b10_c90_v3.col,45,10,90,3,2472,2427,91.8,0.3742,17.83899,3.1252
galaxy_a45_b10_c90_v4.col,45,10,90,4,2279,2234,91.0,0.0,9.01602,0.7626
galaxy_a45_b10_c90_v5.col,45,10,90,5,2600,2555,95.4,0.2449,23.3408,4.4399
galaxy_a50_b10_c100_v1.col,50,10,100,1,2731,2681,101.2,0.2,23.16467,4.7121
galaxy_a50_b10_c100_v2.col,50,10,100,2,2773,2723,101.4,0.2449,22.83731,5.5978
galaxy_a50_b10_c100_v3.col,50,10,100,3,3163,3113,103.4,0.4,39.15148,10.9678
galaxy_a50_b10_c100_v4.col,50,10,100,4,2923,2873,100.0,0.3162,26.93857,2.6612
galaxy_a50_b10_c100_v5.col,50,10,100,5,3016,2966,101.2,0.2,34.66591,9.6393
galaxy_a50_b10_c20_v1.col,50,10,20,1,807,757,58.0,0.3162,5.52476,1.0792
galaxy_a50_b10_c20_v2.col,50,10,20,2,816,766,57.8,0.2,8.18105,2.071
galaxy_a50_b10_c20_v3.col,50,10,20,3,775,725,57.8,0.2,5.88974,1.4922
galaxy_a50_b10_c20_v4.col,50,10,20,4,822,772,58.6,0.6,8.4988,1.9681
galaxy_a50_b10_c20_v5.col,50,10,20,5,806,756,58.2,0.2,4.87123,0.5734
galaxy_a50_b10_c30_v1.col,50,10,30,1,1116,1066,61.8,0.2,14.97235,2.6954
galaxy_a50_b10_c30_v2.col,50,10,30,2,1005,955,59.6,0.5099,15.57061,8.6607
galaxy_a50_b10_c30_v3.col,50,10,30,3,1080,1030,60.4,0.5099,9.72728,2.8646
galaxy_a50_b10_c30_v4.col,50,10,30,4,1122,1072,61.0,0.4472,6.67935,2.4772
galaxy_a50_b10_c30_v5.col,50,10,30,5,1007,957,58.6,0.2449,9.40657,2.5815
galaxy_a50_b10_c40_v1.col,50,10,40,1,1380,1330,62.4,0.4,9.34654,1.7172
galaxy_a50_b10_c40_v2.col,50,10,40,2,1264,1214,62.2,0.5831,10.57366,4.1612
galaxy_a50_b10_c40_v3.col,50,10,40,3,1256,1206,61.8,0.3742,8.06268,0.8344
galaxy_a50_b10_c40_v4.col,50,10,40,4,1222,1172,61.4,0.4,7.9304,1.3661
galaxy_a50_b10_c40_v5.col,50,10,40,5,1325,1275,61.6,0.4,11.67413,2.983
galaxy_a50_b10_c50_v1.col,50,10,50,1,1551,1501,65.8,0.5831,19.60021,7.0668
galaxy_a50_b10_c50_v2.col,50,10,50,2,1604,1554,67.4,0.5099,13.26308,2.4532
galaxy_a50_b10_c50_v3.col,50,10,50,3,1465,1415,62.4,0.2449,12.43049,2.186
galaxy_a50_b10_c50_v4.col,50,10,50,4,1584,1534,65.6,0.8124,13.59103,1.9726
galaxy_a50_b10_c50_v5.col,50,10,50,5,1487,1437,63.6,0.5099,14.7566,2.6266
galaxy_a50_b10_c60_v1.col,50,10,60,1,1723,1673,67.6,0.8718,20.992,5.5916
galaxy_a50_b10_c60_v2.col,50,10,60,2,1678,1628,67.6,0.6782,21.50075,5.0896
galaxy_a50_b10_c60_v3.col,50,10,60,3,1704,1654,66.2,0.2,20.94856,3.884
galaxy_a50_b10_c60_v4.col,50,10,60,4,1865,1815,70.6,0.7483,22.70184,5.487
galaxy_a50_b10_c60_v5.col,50,10,60,5,1654,1604,66.0,0.3162,15.87811,4.4799
galaxy_a50_b10_c70_v1.col,50,10,70,1,2249,2199,79.2,0.4899,27.2353,4.6616
galaxy_a50_b10_c70_v2.col,50,10,70,2,1898,1848,72.6,0.2449,16.40952,2.7519
galaxy_a50_b10_c70_v3.col,50,10,70,3,2197,2147,78.6,0.4,20.84802,1.8363
galaxy_a50_b10_c70_v4.col,50,10,70,4,2096,2046,76.4,0.6,28.37625,7.6369
galaxy_a50_b10_c70_v5.col,50,10,70,5,1948,1898,72.4,0.4,19.49861,3.2776
galaxy_a50_b10_c80_v1.col,50,10,80,1,2476,2426,85.8,0.5831,41.10895,7.6757
galaxy_a50_b10_c80_v2.col,50,10,80,2,2285,2235,82.4,0.5099,22.263,2.7705
galaxy_a50_b10_c80_v3.col,50,10,80,3,2263,2213,82.2,0.3742,16.30012,1.1394
galaxy_a50_b10_c80_v4.col,50,10,80,4,2134,2084,79.8,0.5831,16.22832,3.7593
galaxy_a50_b10_c80_v5.col,50,10,80,5,2318,2268,83.2,0.3742,28.68356,6.7763
galaxy_a50_b10_c90_v1.col,50,10,90,1,2469,2419,90.2,0.2,20.76723,2.8487
galaxy_a50_b10_c90_v2.col,50,10,90,2,2475,2425,88.4,0.2449,45.45062,11.1127
galaxy_a50_b10_c90_v3.col,50,10,90,3,2566,2516,92.2,0.2,35.09471,5.6426
galaxy_a50_b10_c90_v4.col,50,10,90,4,2559,2509,93.0,0.3162,27.41435,6.3811
galaxy_a50_b10_c90_v5.col,50,10,90,5,2452,2402,91.0,0.0,10.51363,0.6841
galaxy_a55_b10_c100_v1.col,55,10,100,1,2941,2886,101.0,0.0,21.74079,2.7282
galaxy_a55_b10_c100_v2.col,55,10,100,2,3117,3062,101.0,0.0,44.59847,10.5263
galaxy_a55_b10_c100_v3.col,55,10,100,3,2565,2510,101.0,0.0,9.92165,0.6859
galaxy_a55_b10_c100_v4.col,55,10,100,4,2939,2884,101.8,0.4899,35.14794,6.2297
galaxy_a55_b10_c100_v5.col,55,10,100,5,3257,3202,104.2,0.5831,58.94941,16.3755
galaxy_a55_b10_c20_v1.col,55,10,20,1,889,834,62.6,0.2449,7.68443,0.7105
galaxy_a55_b10_c20_v2.col,55,10,20,2,927,872,62.8,0.3742,11.8453,3.2896
galaxy_a55_b10_c20_v3.col,55,10,20,3,895,840,63.0,0.3162,9.12981,3.0743
galaxy_a55_b10_c20_v4.col,55,10,20,4,885,830,62.8,0.2,7.4246,1.2453
galaxy_a55_b10_c20_v5.col,55,10,20,5,909,854,63.6,0.2449,10.16848,2.5159
galaxy_a55_b10_c30_v1.col,55,10,30,1,1187,1132,65.2,0.2,11.95989,2.9541
galaxy_a55_b10_c30_v2.col,55,10,30,2,1143,1088,64.2,0.5831,7.23602,2.0164
galaxy_a55_b10_c30_v3.col,55,10,30,3,1146,1091,65.6,0.6782,8.77975,1.5116
galaxy_a55_b10_c30_v4.col,55,10,30,4,1163,1108,64.2,0.2,8.50512,1.5536
