instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time,peak_mem_mb,mean_mem_mb
galaxy_a75_b10_c30_v1.col,75,10,30,1,1513,1438,84.0,0.3162,18.5314,8.2121,701.0992126464844,278.3174591064453
galaxy_a75_b10_c40_v1.col,75,10,40,1,1975,1900,86.8,0.5831,18.94985,1.3747,297.20604705810547,249.591162109375
galaxy_a75_b10_c50_v1.col,75,10,50,1,2373,2298,90.8,1.0198,34.81941,5.7388,472.22013092041016,332.7722640991211
galaxy_a75_b10_c60_v1.col,75,10,60,1,2853,2778,93.0,1.2247,72.95423,17.5912,1021.9714813232422,588.0684356689453
galaxy_a75_b10_c70_v1.col,75,10,70,1,2975,2900,93.4,0.7483,83.26339,39.0501,1644.2238235473633,595.9712890625
galaxy_a75_b10_c80_v1.col,75,10,80,1,3322,3247,97.0,0.9487,98.01305,40.2409,1660.9949340820312,663.0802810668945
galaxy_a75_b10_c90_v1.col,75,10,90,1,3649,3574,103.2,0.9165,113.79836,51.7719,1770.8130493164062,687.2811431884766
galaxy_a80_b10_c100_v1.col,80,10,100,1,4353,4273,113.4,1.6912,108.81265,31.8361,1096.5908432006836,532.3607742309571
galaxy_a80_b10_c20_v1.col,80,10,20,1,1292,1212,87.6,0.2449,16.65323,2.9213,368.4682083129883,265.82956848144534
galaxy_a80_b10_c30_v1.col,80,10,30,1,1644,1564,88.6,0.5099,24.42682,7.2658,560.4557418823242,326.7011413574219
galaxy_a80_b10_c40_v1.col,80,10,40,1,1982,1902,90.4,0.5099,22.10982,4.0143,415.7547378540039,276.44312438964846
galaxy_a80_b10_c50_v1.col,80,10,50,1,2440,2360,92.4,0.9798,32.75968,5.5622,489.1891632080078,327.40959014892576
galaxy_a80_b10_c60_v1.col,80,10,60,1,2804,2724,96.4,0.7483,37.13387,6.2773,442.4285202026367,301.24699249267576
galaxy_a80_b10_c70_v1.col,80,10,70,1,3150,3070,96.4,0.8124,98.49668,32.9945,1238.1014099121094,676.1846450805664
galaxy_a80_b10_c80_v1.col,80,10,80,1,3477,3397,99.2,1.241,96.24098,27.426,1198.600112915039,630.4948165893554
galaxy_a80_b10_c90_v1.col,80,10,90,1,3822,3742,105.2,1.0198,104.12472,30.2508,1181.8333358764648,609.7202789306641
galaxy_a85_b10_c100_v1.col,85,10,100,1,5319,5234,128.0,1.7607,223.58664,38.5629,1332.3698272705078,947.6399566650391
galaxy_a85_b10_c20_v1.col,85,10,20,1,1379,1294,92.2,0.4899,16.48381,3.9907,427.3196792602539,253.64566345214843
galaxy_a85_b10_c30_v1.col,85,10,30,1,1764,1679,94.4,0.5099,14.84248,2.1256,315.62508392333984,226.36612243652343
galaxy_a85_b10_c40_v1.col,85,10,40,1,2298,2213,97.8,0.8,27.81576,8.2151,513.8161392211914,286.93895416259767
galaxy_a85_b10_c50_v1.col,85,10,50,1,2827,2742,101.0,0.6325,48.11937,15.6843,789.8935089111328,394.79029388427733
galaxy_a85_b10_c60_v1.col,85,10,60,1,3001,2916,98.4,0.2449,78.32953,15.7719,1171.0784378051758,598.7477783203125
galaxy_a85_b10_c70_v1.col,85,10,70,1,3352,3267,103.0,0.8944,90.64074,20.2014,927.1908798217773,611.9104217529297
galaxy_a85_b10_c80_v1.col,85,10,80,1,3938,3853,111.2,0.7348,114.37828,29.0645,1257.2403182983398,650.5250900268554
galaxy_a85_b10_c90_v1.col,85,10,90,1,4342,4257,112.8,0.8,133.55962,41.5357,1410.0341186523438,675.5776748657227
galaxy_a90_b10_c100_v1.col,90,10,100,1,5144,5054,124.2,2.2891,169.97399,25.6882,1089.7827682495117,769.4827590942383
galaxy_a90_b10_c20_v1.col,90,10,20,1,1466,1376,97.6,0.5099,25.45602,9.2191,830.9041290283203,350.040673828125
galaxy_a90_b10_c30_v1.col,90,10,30,1,1929,1839,100.0,0.3162,23.44837,3.2322,357.4835891723633,265.3454086303711
galaxy_a90_b10_c40_v1.col,90,10,40,1,2516,2426,103.2,1.0198,42.97194,7.96,560.6410369873047,410.29523010253905
galaxy_a90_b10_c50_v1.col,90,10,50,1,2972,2882,103.6,0.4,54.64112,13.1715,701.2907791137695,404.21659698486326
galaxy_a90_b10_c60_v1.col,90,10,60,1,3107,3017,107.4,1.0296,43.68315,3.1452,359.43956756591797,326.58606872558596
galaxy_a90_b10_c70_v1.col,90,10,70,1,3796,3706,110.4,0.4,154.8038,42.0744,1791.540916442871,951.9653198242188
galaxy_a90_b10_c80_v1.col,90,10,80,1,3939,3849,111.4,0.8124,114.09865,26.7899,1043.8342361450195,660.3268005371094
galaxy_a90_b10_c90_v1.col,90,10,90,1,4650,4560,119.6,0.8124,188.16462,44.184,1533.3945770263672,895.9305297851563
galaxy_a95_b10_c100_v1.col,95,10,100,1,5439,5344,128.2,1.3191,211.53937,64.4758,2023.8097534179688,934.5052932739258
galaxy_a95_b10_c20_v1.col,95,10,20,1,1488,1393,102.8,0.2,13.00308,1.8412,380.6022644042969,231.93804931640625
galaxy_a95_b10_c30_v1.col,95,10,30,1,1947,1852,105.0,0.5477,28.01849,5.6184,487.3733901977539,328.06500549316405
galaxy_a95_b10_c40_v1.col,95,10,40,1,2588,2493,107.2,0.8,39.46759,13.7293,888.8254318237305,392.4935043334961
galaxy_a95_b10_c50_v1.col,95,10,50,1,3073,2978,110.8,0.3742,53.18126,8.5132,637.0917282104492,419.494123840332
galaxy_a95_b10_c60_v1.col,95,10,60,1,3501,3406,114.0,0.8367,64.21674,7.2559,515.5763854980469,409.6799285888672
galaxy_a95_b10_c70_v1.col,95,10,70,1,3744,3649,112.4,1.3638,158.99386,39.7664,1601.8994674682617,980.2222442626953
galaxy_a95_b10_c80_v1.col,95,10,80,1,4388,4293,123.0,1.9235,139.4789,28.7646,1205.3010177612305,762.0750213623047
galaxy_a95_b10_c90_v1.col,95,10,90,1,4894,4799,122.0,1.9494,134.06313,23.0131,927.9802780151367,657.9550369262695
