chi_sat,M_real,tempo_max,chi_max,chi_min,v_config,p_config,tempo_sat,n_config,N_real,instancia,tempo_min
903,80282,0.172683,821,973,1,1,0.248625,4000,4000,simples_n4000_p01%_v1.col,0.151158
892,79986,0.155496,819,967,2,1,0.278508,4000,4000,simples_n4000_p01%_v2.col,0.153681
897,79954,0.170272,816,970,3,1,0.265516,4000,4000,simples_n4000_p01%_v3.col,0.153192
903,80612,0.172174,821,973,4,1,0.24889,4000,4000,simples_n4000_p01%_v4.col,0.148656
889,79864,0.15807,817,970,5,1,0.260463,4000,4000,simples_n4000_p01%_v5.col,0.141077
2225,239934,0.526933,2099,2429,1,3,0.756639,4000,4000,simples_n4000_p03%_v1.col,0.540103
2245,240451,0.512875,2098,2417,2,3,0.757101,4000,4000,simples_n4000_p03%_v2.col,0.532458
2215,239445,0.522611,2114,2411,3,3,0.762907,4000,4000,simples_n4000_p03%_v3.col,0.513034
2243,239059,0.54249,2112,2411,4,3,0.786511,4000,4000,simples_n4000_p03%_v4.col,0.495411
2212,239230,0.54266,2100,2406,5,3,0.741512,4000,4000,simples_n4000_p03%_v5.col,0.530351
3822,399440,1.192896,3813,3819,1,5,1.607128,4000,4000,simples_n4000_p05%_v1.col,1.2034
3810,399783,1.208315,3813,3815,2,5,1.586883,4000,4000,simples_n4000_p05%_v2.col,1.653513
3818,399500,1.208293,3820,3824,3,5,1.597034,4000,4000,simples_n4000_p05%_v3.col,1.199044
3813,399259,1.677394,3807,3816,4,5,1.594507,4000,4000,simples_n4000_p05%_v4.col,1.221888
3818,401244,1.235578,3817,3823,5,5,2.08241,4000,4000,simples_n4000_p05%_v5.col,1.214805
4000,799377,4.29116,4000,4000,1,10,5.326775,4000,4000,simples_n4000_p10%_v1.col,4.292048
4000,801089,4.788121,4000,4000,2,10,5.402244,4000,4000,simples_n4000_p10%_v2.col,4.376504
4000,798891,4.300878,4000,4000,3,10,5.386284,4000,4000,simples_n4000_p10%_v3.col,4.727373
4000,799614,4.326675,4000,4000,4,10,5.322611,4000,4000,simples_n4000_p10%_v4.col,5.589419
4000,800389,4.410448,4000,4000,5,10,5.426644,4000,4000,simples_n4000_p10%_v5.col,4.788713
4000,1599366,16.097002,4000,4000,1,20,19.716635,4000,4000,simples_n4000_p20%_v1.col,15.930067
4000,1600423,16.099551,4000,4000,2,20,26.156358,4000,4000,simples_n4000_p20%_v2.col,18.221394
4000,1599039,20.8406,4000,4000,3,20,20.73607,4000,4000,simples_n4000_p20%_v3.col,17.706921
4000,1600526,20.786887,4000,4000,4,20,25.545349,4000,4000,simples_n4000_p20%_v4.col,16.263585
4000,1599178,20.859948,4000,4000,5,20,25.824219,4000,4000,simples_n4000_p20%_v5.col,20.657771
4000,2398078,48.889748,4000,4000,1,30,73.833282,4000,4000,simples_n4000_p30%_v1.col,52.252024
4000,2399720,62.490743,4000,4000,2,30,89.743039,4000,4000,simples_n4000_p30%_v2.col,60.610678
4000,2400864,74.111241,4000,4000,3,30,89.650242,4000,4000,simples_n4000_p30%_v3.col,71.064625
4000,2399641,70.101209,4000,4000,4,30,89.847787,4000,4000,simples_n4000_p30%_v4.col,61.95565
4000,2398369,65.737683,4000,4000,5,30,89.539664,4000,4000,simples_n4000_p30%_v5.col,77.794347
4000,3196629,114.382674,4000,4000,1,40,154.848051,4000,4000,simples_n4000_p40%_v1.col,113.795538
4000,3198888,125.77148,4000,4000,2,40,144.137004,4000,4000,simples_n4000_p40%_v2.col,123.454013
4000,3198152,117.188947,4000,4000,3,40,156.045663,4000,4000,simples_n4000_p40%_v3.col,119.058255
4000,3198835,124.708753,4000,4000,4,40,143.637092,4000,4000,simples_n4000_p40%_v4.col,123.252738
