n_config,tempo_melhor,v_config,N_real,melhor_chi,instancia,heuristica_vencedora,M_real,p_config
4000,0.172683,1,4000,821,simples_n4000_p01%_v1.col,MaxGrau,80282,1
4000,0.155496,2,4000,819,simples_n4000_p01%_v2.col,MaxGrau,79986,1
4000,0.170272,3,4000,816,simples_n4000_p01%_v3.col,MaxGrau,79954,1
4000,0.172174,4,4000,821,simples_n4000_p01%_v4.col,MaxGrau,80612,1
4000,0.15807,5,4000,817,simples_n4000_p01%_v5.col,MaxGrau,79864,1
4000,0.526933,1,4000,2099,simples_n4000_p03%_v1.col,MaxGrau,239934,3
4000,0.512875,2,4000,2098,simples_n4000_p03%_v2.col,MaxGrau,240451,3
4000,0.522611,3,4000,2114,simples_n4000_p03%_v3.col,MaxGrau,239445,3
4000,0.54249,4,4000,2112,simples_n4000_p03%_v4.col,MaxGrau,239059,3
4000,0.54266,5,4000,2100,simples_n4000_p03%_v5.col,MaxGrau,239230,3
4000,1.192896,1,4000,3813,simples_n4000_p05%_v1.col,MaxGrau,399440,5
4000,1.586883,2,4000,3810,simples_n4000_p05%_v2.col,Satur,399783,5
4000,1.597034,3,4000,3818,simples_n4000_p05%_v3.col,Satur,399500,5
4000,1.677394,4,4000,3807,simples_n4000_p05%_v4.col,MaxGrau,399259,5
4000,1.235578,5,4000,3817,simples_n4000_p05%_v5.col,MaxGrau,401244,5
4000,4.29116,1,4000,4000,simples_n4000_p10%_v1.col,MaxGrau,799377,10
4000,4.376504,2,4000,4000,simples_n4000_p10%_v2.col,MinGrau,801089,10
4000,4.300878,3,4000,4000,simples_n4000_p10%_v3.col,MaxGrau,798891,10
4000,4.326675,4,4000,4000,simples_n4000_p10%_v4.col,MaxGrau,799614,10
4000,4.410448,5,4000,4000,simples_n4000_p10%_v5.col,MaxGrau,800389,10
4000,15.930067,1,4000,4000,simples_n4000_p20%_v1.col,MinGrau,1599366,20
4000,16.099551,2,4000,4000,simples_n4000_p20%_v2.col,MaxGrau,1600423,20
4000,17.706921,3,4000,4000,simples_n4000_p20%_v3.col,MinGrau,1599039,20
4000,16.263585,4,4000,4000,simples_n4000_p20%_v4.col,MinGrau,1600526,20
4000,20.657771,5,4000,4000,simples_n4000_p20%_v5.col,MinGrau,1599178,20
4000,48.889748,1,4000,4000,simples_n4000_p30%_v1.col,MaxGrau,2398078,30
4000,60.610678,2,4000,4000,simples_n4000_p30%_v2.col,MinGrau,2399720,30
4000,71.064625,3,4000,4000,simples_n4000_p30%_v3.col,MinGrau,2400864,30
4000,61.95565,4,4000,4000,simples_n4000_p30%_v4.col,MinGrau,2399641,30
4000,65.737683,5,4000,4000,simples_n4000_p30%_v5.col,MaxGrau,2398369,30
4000,113.795538,1,4000,4000,simples_n4000_p40%_v1.col,MinGrau,3196629,40
4000,123.454013,2,4000,4000,simples_n4000_p40%_v2.col,MinGrau,3198888,40
4000,117.188947,3,4000,4000,simples_n4000_p40%_v3.col,MaxGrau,3198152,40
4000,123.252738,4,4000,4000,simples_n4000_p40%_v4.col,MinGrau,3198835,40
4000,114.14607,5,4000,4000,simples_n4000_p40%_v5.col,MaxGrau,3197480,40
4000,178.45381,1,4000,4000,simples_n4000_p50%_v1.col,MinGrau,3998195,50
4000,189.376351,2,4000,4000,simples_n4000_p50%_v2.col,MinGrau,3999607,50
4000,194.229429,3,4000,4000,simples_n4000_p50%_v3.col,MinGrau,3998601,50
4000,171.703477,4,4000,4000,simples_n4000_p50%_v4.col,MinGrau,3998663,50
4000,172.879615,5,4000,4000,simples_n4000_p50%_v5.col,MinGrau,3998904,50
4000,245.387683,1,4000,4000,simples_n4000_p60%_v1.col,MinGrau,4797428,60
4000,230.34321,2,4000,4000,simples_n4000_p60%_v2.col,MaxGrau,4799382,60
4000,250.891243,3,4000,4000,simples_n4000_p60%_v3.col,MinGrau,4799764,60
4000,242.677437,4,4000,4000,simples_n4000_p60%_v4.col,MaxGrau,4798459,60
4000,233.053262,5,4000,4000,simples_n4000_p60%_v5.col,MaxGrau,4798953,60
4000,320.190677,1,4000,4000,simples_n4000_p70%_v1.col,MinGrau,5599933,70
4000,318.100487,2,4000,4000,simples_n4000_p70%_v2.col,MaxGrau,5599940,70
4000,331.434142,3,4000,4000,simples_n4000_p70%_v3.col,MaxGrau,5598395,70
4000,319.562923,4,4000,4000,simples_n4000_p70%_v4.col,MaxGrau,5599664,70
4000,318.607458,5,4000,4000,simples_n4000_p70%_v5.col,MaxGrau,5596313,70
4000,407.299415,1,4000,4000,simples_n4000_p80%_v1.col,MaxGrau,6396833,80
4000,394.419499,2,4000,4000,simples_n4000_p80%_v2.col,MinGrau,6396346,80
4000,386.391304,3,4000,4000,simples_n4000_p80%_v3.col,MaxGrau,6398008,80
4000,388.207274,4,4000,4000,simples_n4000_p80%_v4.col,MinGrau,6399544,80
4000,357.192667,5,4000,4000,simples_n4000_p80%_v5.col,MaxGrau,6397616,80
4000,461.262391,1,4000,4000,simples_n4000_p90%_v1.col,MinGrau,7199970,90
4000,445.021117,2,4000,4000,simples_n4000_p90%_v2.col,MinGrau,7196698,90
4000,433.583653,3,4000,4000,simples_n4000_p90%_v3.col,MaxGrau,7198063,90
4000,489.230967,4,4000,4000,simples_n4000_p90%_v4.col,MinGrau,7197710,90
4000,475.977247,5,4000,4000,simples_n4000_p90%_v5.col,MaxGrau,7197660,90
