n_config,tempo_melhor,v_config,N_real,melhor_chi,instancia,heuristica_vencedora,M_real,p_config
9500,2.455312,1,9500,2710,simples_n9500_p01%_v1.col,MaxGrau,450197,1
9500,2.168885,2,9500,2707,simples_n9500_p01%_v2.col,MaxGrau,451582,1
9500,2.122063,3,9500,2714,simples_n9500_p01%_v3.col,MaxGrau,451135,1
9500,2.201918,4,9500,2707,simples_n9500_p01%_v4.col,MaxGrau,451637,1
9500,2.117169,5,9500,2707,simples_n9500_p01%_v5.col,MaxGrau,450726,1
9500,8.290806,1,9500,8198,simples_n9500_p03%_v1.col,MaxGrau,1355801,3
9500,8.182991,2,9500,8200,simples_n9500_p03%_v2.col,MaxGrau,1355019,3
9500,14.298775,3,9500,8208,simples_n9500_p03%_v3.col,Satur,1353291,3
9500,9.714621,4,9500,8181,simples_n9500_p03%_v4.col,MaxGrau,1354056,3
9500,9.539132,5,9500,8158,simples_n9500_p03%_v5.col,MaxGrau,1353063,3
9500,29.001209,1,9500,9500,simples_n9500_p05%_v1.col,MinGrau,2255400,5
9500,29.033771,2,9500,9500,simples_n9500_p05%_v2.col,MaxGrau,2255747,5
9500,27.467877,3,9500,9500,simples_n9500_p05%_v3.col,MaxGrau,2255325,5
9500,26.991963,4,9500,9500,simples_n9500_p05%_v4.col,MinGrau,2253344,5
9500,28.134606,5,9500,9500,simples_n9500_p05%_v5.col,MaxGrau,2257911,5
9500,106.441289,1,9500,9500,simples_n9500_p10%_v1.col,MaxGrau,4515557,10
9500,101.279534,2,9500,9500,simples_n9500_p10%_v2.col,MaxGrau,4511487,10
9500,122.21331,3,9500,9500,simples_n9500_p10%_v3.col,MaxGrau,4513247,10
9500,111.248867,4,9500,9500,simples_n9500_p10%_v4.col,MaxGrau,4512445,10
9500,115.007646,5,9500,9500,simples_n9500_p10%_v5.col,MaxGrau,4508205,10
9500,400.1385,1,9500,9500,simples_n9500_p20%_v1.col,MinGrau,9025803,20
9500,415.544309,2,9500,9500,simples_n9500_p20%_v2.col,MaxGrau,9020872,20
9500,407.016348,3,9500,9500,simples_n9500_p20%_v3.col,MaxGrau,9022080,20
9500,404.200416,4,9500,9500,simples_n9500_p20%_v4.col,MinGrau,9018993,20
9500,393.461138,5,9500,9500,simples_n9500_p20%_v5.col,MaxGrau,9019796,20
9500,883.50844,1,9500,9500,simples_n9500_p30%_v1.col,MinGrau,13536283,30
9500,839.644405,2,9500,9500,simples_n9500_p30%_v2.col,MinGrau,13532169,30
9500,822.544679,3,9500,9500,simples_n9500_p30%_v3.col,MinGrau,13540787,30
9500,819.948715,4,9500,9500,simples_n9500_p30%_v4.col,MaxGrau,13537311,30
9500,774.770318,5,9500,9500,simples_n9500_p30%_v5.col,MinGrau,13534306,30
9500,1326.250385,1,9500,9500,simples_n9500_p40%_v1.col,MinGrau,18046949,40
9500,1320.66796,2,9500,9500,simples_n9500_p40%_v2.col,MaxGrau,18049530,40
9500,1332.777077,3,9500,9500,simples_n9500_p40%_v3.col,MinGrau,18051499,40
9500,1243.076808,4,9500,9500,simples_n9500_p40%_v4.col,MaxGrau,18046475,40
9500,1259.517916,5,9500,9500,simples_n9500_p40%_v5.col,MinGrau,18054419,40
9500,1898.931043,1,9500,9500,simples_n9500_p50%_v1.col,MinGrau,22558294,50
9500,1888.719892,2,9500,9500,simples_n9500_p50%_v2.col,MaxGrau,22561786,50
9500,1839.924196,3,9500,9500,simples_n9500_p50%_v3.col,MaxGrau,22563369,50
9500,1841.90968,4,9500,9500,simples_n9500_p50%_v4.col,MinGrau,22558586,50
9500,1854.202038,5,9500,9500,simples_n9500_p50%_v5.col,MinGrau,22561087,50
9500,2533.754588,1,9500,9500,simples_n9500_p60%_v1.col,MinGrau,27075920,60
9500,2500.012706,2,9500,9500,simples_n9500_p60%_v2.col,MinGrau,27070612,60
9500,2426.934533,3,9500,9500,simples_n9500_p60%_v3.col,MaxGrau,27068455,60
9500,2418.619687,4,9500,9500,simples_n9500_p60%_v4.col,MaxGrau,27072442,60
9500,2442.134792,5,9500,9500,simples_n9500_p60%_v5.col,MaxGrau,27070647,60
9500,3122.058338,1,9500,9500,simples_n9500_p70%_v1.col,MinGrau,31584935,70
9500,3032.970727,2,9500,9500,simples_n9500_p70%_v2.col,MinGrau,31582869,70
9500,2872.946514,3,9500,9500,simples_n9500_p70%_v3.col,MinGrau,31584417,70
9500,2863.724697,4,9500,9500,simples_n9500_p70%_v4.col,MinGrau,31579153,70
9500,2879.324979,5,9500,9500,simples_n9500_p70%_v5.col,MaxGrau,31585087,70
9500,3636.166309,1,9500,9500,simples_n9500_p80%_v1.col,MinGrau,36094045,80
9500,3575.39459,2,9500,9500,simples_n9500_p80%_v2.col,MaxGrau,36094010,80
9500,3633.209891,3,9500,9500,simples_n9500_p80%_v3.col,MaxGrau,36099113,80
9500,3604.445638,4,9500,9500,simples_n9500_p80%_v4.col,MaxGrau,36091991,80
9500,3636.468583,5,9500,9500,simples_n9500_p80%_v5.col,MaxGrau,36100784,80
9500,4463.981958,1,9500,9500,simples_n9500_p90%_v1.col,MaxGrau,40607262,90
9500,4570.198653,2,9500,9500,simples_n9500_p90%_v2.col,MaxGrau,40610445,90
9500,4308.171381,3,9500,9500,simples_n9500_p90%_v3.col,MinGrau,40608633,90
9500,4397.114033,4,9500,9500,simples_n9500_p90%_v4.col,MinGrau,40609797,90
9500,4281.202447,5,9500,9500,simples_n9500_p90%_v5.col,MaxGrau,40606336,90
