instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n100_p01%_v1.col,100,1,1,100,51,20.0,0.4472135954999579,1.1220544473999998,1.0114720582950445
simples_n100_p01%_v2.col,100,1,2,100,48,18.2,0.58309518948453,0.0936261104,0.010479490610546902
simples_n100_p03%_v1.col,100,3,1,100,155,22.2,0.3741657386773941,0.28052191559999995,0.06735778023911929
simples_n100_p03%_v2.col,100,3,2,100,154,22.4,0.24494897427831777,0.21652885960000004,0.014683529073928439
simples_n100_p05%_v1.col,100,5,1,100,213,26.2,0.3741657386773941,0.3198348294,0.08132973557325118
simples_n100_p05%_v2.col,100,5,2,100,253,28.6,0.24494897427831777,0.25884185519999997,0.023588838907485234
simples_n100_p10%_v1.col,100,10,1,100,499,46.0,0.31622776601683794,0.41905986520000005,0.12694631300628936
simples_n100_p10%_v2.col,100,10,2,100,493,46.0,0.31622776601683794,0.2882412274,0.03947684308522116
simples_n100_p20%_v1.col,100,20,1,100,993,79.0,0.0,0.6373997792000001,0.10119573682256404
simples_n100_p20%_v2.col,100,20,2,100,992,79.0,0.0,0.5274977826,0.028307485754329578
simples_n100_p30%_v1.col,100,30,1,100,1444,100.0,0.0,0.722511215,0.007129868587554198
simples_n100_p30%_v2.col,100,30,2,100,1480,100.0,0.0,0.752675144,0.0027312259187800094
simples_n100_p40%_v1.col,100,40,1,100,1963,100.0,0.0,1.2430045308,0.09430171438636896
simples_n100_p40%_v2.col,100,40,2,100,1948,100.0,0.0,1.1332030897999998,0.0032158768665967855
simples_n1000_p01%_v1.col,1000,1,1,1000,4972,161.6,1.9131126469708992,28.505150676200003,1.1076269670766516
simples_n1000_p01%_v2.col,1000,1,2,1000,4997,171.4,5.714892824891819,20.121322938,6.298349965880072
simples_n1000_p03%_v1.col,1000,3,1,1000,15032,346.0,0.6324555320336759,27.122131865799997,1.7543240707693206
simples_n1000_p03%_v2.col,1000,3,2,1000,14860,343.4,0.5099019513592785,29.583247811599996,3.908176889545937
simples_n1000_p05%_v1.col,1000,5,1,1000,25093,533.0,1.224744871391589,45.928888417,6.067451660344255
simples_n1000_p05%_v2.col,1000,5,2,1000,25053,532.6,0.812403840463596,43.698594366200005,2.8061186944245953
simples_n1000_p10%_v1.col,1000,10,1,1000,50462,986.0,0.0,71.8733529204,0.09165571143879318
simples_n1000_p10%_v2.col,1000,10,2,1000,50213,980.0,0.0,71.64087508899999,0.08353947454398818
simples_n1000_p20%_v1.col,1000,20,1,1000,100166,1000.0,0.0,242.867412844,0.2573982285476398
simples_n1000_p20%_v2.col,1000,20,2,1000,99937,1000.0,0.0,241.4473189354,1.069456120411771
simples_n1000_p30%_v1.col,1000,30,1,1000,149824,1000.0,0.0,531.5822972082,0.9688062234247534
simples_n1000_p30%_v2.col,1000,30,2,1000,149947,1000.0,0.0,540.8833108356,1.1066490314920192
simples_n1000_p40%_v1.col,1000,40,1,1000,199724,1000.0,0.0,964.2169605511999,0.7108818303801082
simples_n1000_p40%_v2.col,1000,40,2,1000,199519,1000.0,0.0,974.3922308358,5.954435773267525
simples_n1500_p01%_v1.col,1500,1,1,1500,11366,249.6,1.4352700094407322,44.787578233,3.9605944443400416
simples_n1500_p01%_v2.col,1500,1,2,1500,11342,249.8,1.0677078252031311,51.8309212646,7.142570545995658
simples_n1500_p03%_v1.col,1500,3,1,1500,33773,596.0,0.4472135954999579,63.4296329122,8.566235713616381
simples_n1500_p03%_v2.col,1500,3,2,1500,33497,590.8,0.58309518948453,65.2840072998,10.390574546441123
simples_n1500_p05%_v1.col,1500,5,1,1500,56316,926.4,5.306599664568639,291.6713114738,147.70253343152572
simples_n1500_p05%_v2.col,1500,5,2,1500,56011,926.8,1.772004514666935,115.9394209086,15.363854908004118
simples_n1500_p10%_v1.col,1500,10,1,1500,112217,1500.0,0.0,255.5321266212,0.27443930632650454
simples_n1500_p10%_v2.col,1500,10,2,1500,112691,1500.0,0.0,250.4596033972,0.10508460265486225
simples_n1500_p20%_v1.col,1500,20,1,1500,224745,1500.0,0.0,881.0243539712001,2.4251094426238002
simples_n1500_p20%_v2.col,1500,20,2,1500,225120,1500.0,0.0,890.3203318512,4.441296694766617
simples_n1500_p30%_v1.col,1500,30,1,1500,337438,1500.0,0.0,1900.725331873,4.916212819110156
simples_n1500_p30%_v2.col,1500,30,2,1500,337407,1500.0,0.0,2229.0256966702,134.35272418061672
simples_n1500_p40%_v1.col,1500,40,1,1500,449641,1500.0,0.0,4383.4405499194,3.4280359901697963
simples_n1500_p40%_v2.col,1500,40,2,1500,449668,1500.0,0.0,4291.0640549725995,41.867663780224916
simples_n2000_p01%_v1.col,2000,1,1,2000,20148,353.6,0.24494897427831783,110.63582121940001,15.69491117156952
simples_n2000_p01%_v2.col,2000,1,2,2000,19958,349.2,0.3741657386773941,118.614328868,13.56240070441152
simples_n2000_p03%_v1.col,2000,3,1,2000,59842,872.4,0.9273618495495705,212.62114672020002,12.18612083750954
simples_n2000_p03%_v2.col,2000,3,2,2000,60488,880.8,0.7348469228349535,203.0877078012,30.071540185428276
simples_n2000_p05%_v1.col,2000,5,1,2000,100255,1420.6,0.9273618495495702,402.8477140236,12.328686530849783
simples_n2000_p05%_v2.col,2000,5,2,2000,100340,1420.0,0.8366600265340755,361.015535515,24.72391369450977
simples_n2000_p10%_v1.col,2000,10,1,2000,200162,2000.0,0.0,836.341131326,2.750739726057339
simples_n2000_p10%_v2.col,2000,10,2,2000,199606,2000.0,0.0,774.6741613879999,15.596701297371755
