instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n100_p01%_v1.col,100,1,1,100,51,20.0,0.3162277660168379,0.9756511676,0.8396462413475505
simples_n100_p01%_v2.col,100,1,2,100,48,18.2,0.3741657386773941,0.1419663276,0.0093834261991322
simples_n100_p03%_v1.col,100,3,1,100,155,23.4,0.5099019513592785,0.2038625023999999,0.00894421897389
simples_n100_p03%_v2.col,100,3,2,100,154,24.4,0.6782329983125267,0.2780706804,0.0319894374628703
simples_n100_p05%_v1.col,100,5,1,100,213,27.2,0.7348469228349535,0.3660135057999999,0.0497789512068819
simples_n100_p05%_v2.col,100,5,2,100,253,30.0,0.3162277660168379,0.430394544,0.0942564742491545
simples_n100_p10%_v1.col,100,10,1,100,499,46.6,0.2449489742783177,0.6972376158,0.0381936453993317
simples_n100_p10%_v2.col,100,10,2,100,493,46.8,0.1999999999999999,0.7556611144,0.1150816736752711
simples_n100_p20%_v1.col,100,20,1,100,993,79.2,0.1999999999999999,1.4958181754000002,0.0581491465630456
simples_n100_p20%_v2.col,100,20,2,100,992,79.0,0.0,1.5566043762,0.105563200765859
simples_n100_p30%_v1.col,100,30,1,100,1444,100.0,0.0,2.1872258158,0.0037966311864114
simples_n100_p30%_v2.col,100,30,2,100,1480,100.0,0.0,2.3571518272,0.0857696169990663
simples_n100_p40%_v1.col,100,40,1,100,1963,100.0,0.0,3.5821618816000003,0.0822307179038927
simples_n100_p40%_v2.col,100,40,2,100,1948,100.0,0.0,3.611995373800001,0.0954839316221675
simples_n1000_p01%_v1.col,1000,1,1,1000,4972,175.2,2.353720459187964,24.2862391708,1.5090897639942185
simples_n1000_p01%_v2.col,1000,1,2,1000,4997,181.0,2.9154759474226504,22.3429007306,1.0693447205154143
simples_n1000_p03%_v1.col,1000,3,1,1000,15032,350.2,0.3741657386773941,43.1989815542,1.3152277086518496
simples_n1000_p03%_v2.col,1000,3,2,1000,14860,346.8,0.4898979485566356,41.5543582336,1.1073334336230882
simples_n1000_p05%_v1.col,1000,5,1,1000,25093,537.6,0.7483314773547882,85.5326138412,6.996600137157333
simples_n1000_p05%_v2.col,1000,5,2,1000,25053,534.8,0.7999999999999999,85.92743281999999,3.758636087888146
simples_n1000_p10%_v1.col,1000,10,1,1000,50462,986.0,0.0,231.8208336626,0.0565513583653762
simples_n1000_p10%_v2.col,1000,10,2,1000,50213,980.0,0.0,230.300987923,0.5707354787603512
simples_n1000_p20%_v1.col,1000,20,1,1000,100166,1000.0,0.0,816.5656276458001,9.396752717316565
simples_n1000_p20%_v2.col,1000,20,2,1000,99937,1000.0,0.0,832.0618354156001,1.1613145622164096
simples_n1000_p30%_v1.col,1000,30,1,1000,149824,1000.0,0.0,1791.4967723338,5.629434579838538
simples_n1000_p30%_v2.col,1000,30,2,1000,149947,1000.0,0.0,1792.9559013848,2.6067468714662514
simples_n1000_p40%_v1.col,1000,40,1,1000,199724,1000.0,0.0,3195.145191853,8.751445407547054
simples_n1000_p40%_v2.col,1000,40,2,1000,199519,1000.0,0.0,4010.4846940214,186.32186499307
simples_n1500_p01%_v1.col,1500,1,1,1500,11366,254.6,2.227105745132009,95.3566188426,8.685721816029492
simples_n1500_p01%_v2.col,1500,1,2,1500,11342,256.2,2.576819745345025,99.9294452956,13.387093052545112
simples_n1500_p03%_v1.col,1500,3,1,1500,33773,596.8,0.8602325267042626,182.842447593,3.2002386182929983
simples_n1500_p03%_v2.col,1500,3,2,1500,33497,593.2,0.6633249580710799,183.6170242064,5.281679048586484
simples_n1500_p05%_v1.col,1500,5,1,1500,56316,937.6,0.5099019513592784,440.0149299908,45.280724206414334
simples_n1500_p05%_v2.col,1500,5,2,1500,56011,932.4,0.5099019513592785,459.301483167,70.7342061335445
simples_n1500_p10%_v1.col,1500,10,1,1500,112217,1500.0,0.0,1105.31607325,2.034669414487624
simples_n1500_p10%_v2.col,1500,10,2,1500,112691,1500.0,0.0,1006.8271337399998,60.18940595341443
simples_n1500_p20%_v1.col,1500,20,1,1500,224745,1500.0,0.0,3779.4878968946,140.71283748614587
simples_n1500_p20%_v2.col,1500,20,2,1500,225120,1500.0,0.0,4019.322315058,19.01199754665797
simples_n1500_p30%_v1.col,1500,30,1,1500,337438,1500.0,0.0,8339.780890705599,49.73635391584393
simples_n1500_p30%_v2.col,1500,30,2,1500,337407,1500.0,0.0,8255.6487492238,162.918195343952
simples_n500_p01%_v1.col,500,1,1,500,1247,112.0,4.795831523312719,10.6852256318,1.5656149683816067
simples_n500_p01%_v2.col,500,1,2,500,1334,105.0,3.674234614174767,9.697421729599998,0.5674644344765684
simples_n500_p03%_v1.col,500,3,1,500,3630,139.4,0.5099019513592785,16.2581651584,1.7450870459408745
simples_n500_p03%_v2.col,500,3,2,500,3730,142.6,0.2449489742783177,16.4306779388,1.1535729461162618
simples_n500_p05%_v1.col,500,5,1,500,6413,218.8,0.4898979485566355,20.555770090800003,0.7013474974932492
simples_n500_p05%_v2.col,500,5,2,500,6224,212.6,0.2449489742783177,19.5840231312,0.7862231584618262
simples_n500_p10%_v1.col,500,10,1,500,12548,391.8,1.5937377450509227,68.2403844156,5.9221835518408925
simples_n500_p10%_v2.col,500,10,2,500,12537,391.2,0.9695359714832658,65.15862546120002,3.1559313648884246
simples_n500_p20%_v1.col,500,20,1,500,25054,500.0,0.0,152.54260185319998,0.0310115553833723
simples_n500_p20%_v2.col,500,20,2,500,24765,500.0,0.0,148.979887083,0.032991377727991
