instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n100_p01%_v1.col,100,1,1,100,51,19.4,0.24494897427831777,1.3647362458,1.019691929121826
simples_n100_p01%_v2.col,100,1,2,100,48,16.8,0.3741657386773941,0.3429556942,0.06876411612521854
simples_n100_p03%_v1.col,100,3,1,100,155,22.0,0.31622776601683794,0.540719337,0.08732312462928225
simples_n100_p03%_v2.col,100,3,2,100,154,21.0,0.31622776601683794,0.6374575283999999,0.07057378719966713
simples_n100_p05%_v1.col,100,5,1,100,213,25.8,0.3741657386773941,0.7353746352,0.15929698983170743
simples_n100_p05%_v2.col,100,5,2,100,253,29.0,0.0,0.683498466,0.10555128191183208
simples_n100_p10%_v1.col,100,10,1,100,499,45.6,0.39999999999999997,1.40115329,0.18986097558428336
simples_n100_p10%_v2.col,100,10,2,100,493,44.6,0.39999999999999997,1.263732997,0.11568540496329023
simples_n100_p20%_v1.col,100,20,1,100,993,79.0,0.0,2.2934562344,0.11621311873559685
simples_n100_p20%_v2.col,100,20,2,100,992,79.0,0.0,2.3084170078,0.14634744081691145
simples_n100_p01%_v1.col,100,1,1,100,51,19.2,0.19999999999999998,1.3116839898000001,0.9956851498971689
simples_n100_p01%_v2.col,100,1,2,100,48,17.2,0.48989794855663565,0.30043218400000005,0.07563674563771472
simples_n100_p03%_v1.col,100,3,1,100,155,21.4,0.24494897427831777,0.5985309064,0.1421622130952751
simples_n100_p03%_v2.col,100,3,2,100,154,21.2,0.48989794855663554,0.6392072356,0.06128509410164773
simples_n100_p05%_v1.col,100,5,1,100,213,25.6,0.24494897427831777,0.7747403572,0.12361028546694094
simples_n100_p05%_v2.col,100,5,2,100,253,28.4,0.24494897427831777,0.8120689054,0.10214303999153357
simples_n100_p10%_v1.col,100,10,1,100,499,44.8,0.58309518948453,1.6485178814,0.36798737618818766
simples_n100_p10%_v2.col,100,10,2,100,493,45.0,0.31622776601683794,1.1866572572,0.11094706357228216
simples_n100_p20%_v1.col,100,20,1,100,993,79.0,0.0,2.130990504,0.059482266835643956
simples_n100_p20%_v2.col,100,20,2,100,992,79.0,0.0,2.2767425556000003,0.15975445066503904
simples_n100_p30%_v1.col,100,30,1,100,1444,100.0,0.0,3.1489892236,0.07745876695793805
simples_n100_p30%_v2.col,100,30,2,100,1480,100.0,0.0,3.3498417769999995,0.09708323427639987
simples_n100_p40%_v1.col,100,40,1,100,1963,100.0,0.0,5.0710726916,0.0855358660455234
simples_n100_p40%_v2.col,100,40,2,100,1948,100.0,0.0,4.992030317399999,0.07804494317748972
simples_n1000_p01%_v1.col,1000,1,1,1000,4972,163.8,3.1685959035509716,66.6178595102,10.154118853390177
simples_n1000_p01%_v2.col,1000,1,2,1000,4997,163.6,4.71805044483418,52.2492665944,4.623348684000413
simples_n1000_p03%_v1.col,1000,3,1,1000,15032,342.6,0.8717797887081347,137.0420789932,14.015175844750793
simples_n1000_p03%_v2.col,1000,3,2,1000,14860,340.4,1.2884098726725124,115.75684116779999,19.24549871830907
simples_n1000_p05%_v1.col,1000,5,1,1000,25093,522.8,1.3928388277184118,263.6806579158,26.452607359847942
simples_n1000_p05%_v2.col,1000,5,2,1000,25053,519.0,1.51657508881031,334.51225001680007,50.3094836797977
simples_n100_p30%_v1.col,100,30,1,100,1444,100.0,0.0,3.2230660129999995,0.10699249329116386
simples_n100_p30%_v2.col,100,30,2,100,1480,100.0,0.0,3.4740844086000005,0.08647074856551219
simples_n100_p40%_v1.col,100,40,1,100,1963,100.0,0.0,5.3209801634,0.10429294498307856
simples_n100_p40%_v2.col,100,40,2,100,1948,100.0,0.0,5.1965545535999995,0.08402027326739514
simples_n1000_p01%_v1.col,1000,1,1,1000,4972,162.8,2.0832666655999654,60.20028542600001,8.143229280509278
simples_n1000_p01%_v2.col,1000,1,2,1000,4997,161.0,2.5495097567963922,58.711876566399994,4.635197310081164
simples_n1000_p03%_v1.col,1000,3,1,1000,15032,343.4,0.8124038404635959,120.9210634834,14.811235735847044
simples_n1000_p03%_v2.col,1000,3,2,1000,14860,338.8,1.0677078252031311,118.67566263500001,14.296364432224308
simples_n1000_p05%_v1.col,1000,5,1,1000,25093,519.2,0.8602325267042626,301.0151726866,29.46262529283245
simples_n1000_p05%_v2.col,1000,5,2,1000,25053,516.2,1.8275666882497066,335.5381780698,29.013018310596262
simples_n1000_p10%_v1.col,1000,10,1,1000,50462,986.0,0.0,343.5274594746,0.29737938424650134
simples_n1000_p10%_v2.col,1000,10,2,1000,50213,980.0,0.0,347.9333772028,0.6809592997988981
simples_n1000_p20%_v1.col,1000,20,1,1000,100166,1000.0,0.0,1194.7397530424,1.5793114542308577
simples_n1000_p20%_v2.col,1000,20,2,1000,99937,1000.0,0.0,1213.1210650198002,4.812027494666704
simples_n1000_p30%_v1.col,1000,30,1,1000,149824,1000.0,0.0,2645.2872639288,49.23432976498441
simples_n1000_p30%_v2.col,1000,30,2,1000,149947,1000.0,0.0,2609.1260718801996,7.429557390661723
simples_n1000_p40%_v1.col,1000,40,1,1000,199724,1000.0,0.0,5997.771725008,117.628788267371
simples_n1000_p40%_v2.col,1000,40,2,1000,199519,1000.0,0.0,5986.8855362228005,55.066570154432206
simples_n1500_p01%_v1.col,1500,1,1,1500,11366,249.4,0.8124038404635959,216.4515353538,17.808848331454357
simples_n1500_p01%_v2.col,1500,1,2,1500,11342,253.0,1.224744871391589,202.8715405852,33.97532206843771
simples_n1500_p03%_v1.col,1500,3,1,1500,33773,587.8,1.3564659966250534,722.7156320641999,99.28015602653763
simples_n1500_p03%_v2.col,1500,3,2,1500,33497,583.2,0.7348469228349535,651.226597469,55.67309571479797
simples_n1500_p05%_v1.col,1500,5,1,1500,56316,901.8,1.9849433241279208,2650.4876708931997,320.88115353862867
simples_n1500_p05%_v2.col,1500,5,2,1500,56011,899.4,3.1874754901018454,1959.253369584,198.8960939486396
simples_n1500_p10%_v1.col,1500,10,1,1500,112217,1500.0,0.0,1780.4640440716,2.168025898105155
simples_n1500_p10%_v2.col,1500,10,2,1500,112691,1500.0,0.0,1696.9253964668,2.418769254495872
simples_n1500_p20%_v1.col,1500,20,1,1500,224745,1500.0,0.0,5716.5633329228,28.4147404793318
simples_n1500_p20%_v2.col,1500,20,2,1500,225120,1500.0,0.0,5765.151226314,14.72063514773326
simples_n1500_p30%_v1.col,1500,30,1,1500,337438,1500.0,0.0,10617.3921850794,603.3266152549967
simples_n1500_p30%_v2.col,1500,30,2,1500,337407,1500.0,0.0,9125.8314176858,48.29683247545812
simples_n1500_p40%_v1.col,1500,40,1,1500,449641,1500.0,0.0,15650.783679480199,160.3989744621151
simples_n1500_p40%_v2.col,1500,40,2,1500,449668,1500.0,0.0,14392.0135011766,72.38676900625123
simples_n2000_p01%_v1.col,2000,1,1,2000,20148,354.4,1.2884098726725124,247.66274332039998,25.81138359326307
simples_n2000_p01%_v2.col,2000,1,2,2000,19958,350.2,1.3564659966250534,200.6332437214,22.932008748238886
simples_n2000_p03%_v1.col,2000,3,1,2000,59842,859.6,2.357965224510319,1281.5945231035998,93.09013622504821
simples_n2000_p03%_v2.col,2000,3,2,2000,60488,864.6,1.5033296378372907,1158.0457169666,87.68143072702831
simples_n2000_p05%_v1.col,2000,5,1,2000,100255,1381.4,2.2271057451320084,3177.0653965354004,428.91674335045116
simples_n2000_p05%_v2.col,2000,5,2,2000,100340,1377.8,1.3190905958272916,3077.0478287784,179.98195682244932
simples_n2000_p10%_v1.col,2000,10,1,2000,200162,2000.0,0.0,2291.3098046178,2.9444452967411814
simples_n2000_p10%_v2.col,2000,10,2,2000,199606,2000.0,0.0,2177.1888787374,15.666051533483474
