instancia,n,p,v,N,M,mean_chi,se_chi,mean_time,se_time
simples_n500_p05%_v1.col,500,5,1,500,6413,219.0,0.6324555320336759,5.8338033320000005,0.28559957923148804
simples_n500_p05%_v2.col,500,5,2,500,6224,212.8,0.3741657386773941,6.359474948600001,0.4574760556892894
simples_n500_p05%_v3.col,500,5,3,500,6266,213.8,0.58309518948453,5.923547387600001,0.45061709575360215
simples_n500_p05%_v4.col,500,5,4,500,6217,212.8,0.2,6.1865075534,0.41752620775500876
simples_n500_p05%_v5.col,500,5,5,500,6277,214.4,0.5099019513592785,7.023982610599999,0.9587693235904038
simples_n500_p10%_v1.col,500,10,1,500,12548,391.4,1.6309506430300091,23.133612128000003,3.373950342177696
simples_n500_p10%_v2.col,500,10,2,500,12537,393.8,0.7999999999999999,18.3472613006,2.7882223664114
simples_n500_p10%_v3.col,500,10,3,500,12464,389.2,1.0677078252031311,23.791446763,2.5782020526495457
simples_n500_p10%_v4.col,500,10,4,500,12431,389.0,1.816590212458495,22.7524530168,2.24036707176406
simples_n500_p10%_v5.col,500,10,5,500,12664,393.4,0.9797958971132711,23.4823421,2.5968054677921577
