n_config,tempo_melhor,v_config,N_real,melhor_chi,instancia,heuristica_vencedora,M_real,p_config
6000,0.58682,1,6000,1430,simples_n6000_p01%_v1.col,MaxGrau,180060,1
6000,0.595039,2,6000,1422,simples_n6000_p01%_v2.col,MaxGrau,179287,1
6000,0.633472,3,6000,1427,simples_n6000_p01%_v3.col,MaxGrau,180099,1
6000,0.527242,4,6000,1429,simples_n6000_p01%_v4.col,MaxGrau,179874,1
6000,0.605168,5,6000,1425,simples_n6000_p01%_v5.col,MaxGrau,179879,1
6000,2.353773,1,6000,4001,simples_n6000_p03%_v1.col,MaxGrau,540900,3
6000,2.179177,2,6000,3967,simples_n6000_p03%_v2.col,MaxGrau,540273,3
6000,2.718766,3,6000,3976,simples_n6000_p03%_v3.col,MaxGrau,538952,3
6000,2.042736,4,6000,3953,simples_n6000_p03%_v4.col,MaxGrau,539872,3
6000,2.040632,5,6000,3962,simples_n6000_p03%_v5.col,MaxGrau,539144,3
6000,4.205524,1,6000,5995,simples_n6000_p05%_v1.col,MaxGrau,898937,5
6000,5.132046,2,6000,5994,simples_n6000_p05%_v2.col,MinGrau,898504,5
6000,5.189645,3,6000,5996,simples_n6000_p05%_v3.col,MinGrau,899097,5
6000,4.239646,4,6000,5995,simples_n6000_p05%_v4.col,MinGrau,899891,5
6000,5.107404,5,6000,5998,simples_n6000_p05%_v5.col,MinGrau,900362,5
6000,15.623031,1,6000,6000,simples_n6000_p10%_v1.col,MinGrau,1797411,10
6000,17.911724,2,6000,6000,simples_n6000_p10%_v2.col,MaxGrau,1802034,10
6000,19.335415,3,6000,6000,simples_n6000_p10%_v3.col,MaxGrau,1799447,10
6000,20.605935,4,6000,6000,simples_n6000_p10%_v4.col,MaxGrau,1799428,10
6000,23.069548,5,6000,6000,simples_n6000_p10%_v5.col,MaxGrau,1800051,10
6000,87.830407,1,6000,6000,simples_n6000_p20%_v1.col,MaxGrau,3597344,20
6000,110.639051,2,6000,6000,simples_n6000_p20%_v2.col,MaxGrau,3598819,20
6000,99.476105,3,6000,6000,simples_n6000_p20%_v3.col,MinGrau,3601766,20
6000,92.033621,4,6000,6000,simples_n6000_p20%_v4.col,MinGrau,3597077,20
6000,102.645031,5,6000,6000,simples_n6000_p20%_v5.col,MaxGrau,3596260,20
6000,218.566586,1,6000,6000,simples_n6000_p30%_v1.col,MinGrau,5393992,30
6000,205.014671,2,6000,6000,simples_n6000_p30%_v2.col,MinGrau,5401049,30
6000,211.254433,3,6000,6000,simples_n6000_p30%_v3.col,MinGrau,5400284,30
6000,192.023901,4,6000,6000,simples_n6000_p30%_v4.col,MaxGrau,5398199,30
6000,205.058208,5,6000,6000,simples_n6000_p30%_v5.col,MaxGrau,5398601,30
6000,370.226598,1,6000,6000,simples_n6000_p40%_v1.col,MaxGrau,7201247,40
6000,360.871207,2,6000,6000,simples_n6000_p40%_v2.col,MaxGrau,7200943,40
6000,368.012212,3,6000,6000,simples_n6000_p40%_v3.col,MaxGrau,7199094,40
6000,375.702149,4,6000,6000,simples_n6000_p40%_v4.col,MaxGrau,7198695,40
6000,362.599909,5,6000,6000,simples_n6000_p40%_v5.col,MinGrau,7198199,40
6000,542.080157,1,6000,6000,simples_n6000_p50%_v1.col,MinGrau,8996954,50
6000,534.712392,2,6000,6000,simples_n6000_p50%_v2.col,MaxGrau,9002228,50
6000,548.761709,3,6000,6000,simples_n6000_p50%_v3.col,MaxGrau,8999549,50
6000,531.133818,4,6000,6000,simples_n6000_p50%_v4.col,MinGrau,8994685,50
6000,532.55666,5,6000,6000,simples_n6000_p50%_v5.col,MaxGrau,8999138,50
6000,731.532013,1,6000,6000,simples_n6000_p60%_v1.col,MaxGrau,10799914,60
6000,712.637251,2,6000,6000,simples_n6000_p60%_v2.col,MinGrau,10796416,60
6000,710.235241,3,6000,6000,simples_n6000_p60%_v3.col,MinGrau,10799279,60
6000,728.683227,4,6000,6000,simples_n6000_p60%_v4.col,MaxGrau,10801688,60
6000,716.638991,5,6000,6000,simples_n6000_p60%_v5.col,MinGrau,10795147,60
6000,929.759839,1,6000,6000,simples_n6000_p70%_v1.col,MinGrau,12597994,70
6000,1004.063955,2,6000,6000,simples_n6000_p70%_v2.col,MinGrau,12601149,70
6000,957.54116,3,6000,6000,simples_n6000_p70%_v3.col,MinGrau,12600548,70
6000,942.933138,4,6000,6000,simples_n6000_p70%_v4.col,MinGrau,12600856,70
6000,915.224125,5,6000,6000,simples_n6000_p70%_v5.col,MinGrau,12600222,70
6000,1208.442433,1,6000,6000,simples_n6000_p80%_v1.col,MinGrau,14397305,80
6000,1220.934049,2,6000,6000,simples_n6000_p80%_v2.col,MinGrau,14398772,80
6000,1146.71892,3,6000,6000,simples_n6000_p80%_v3.col,MaxGrau,14398297,80
6000,1155.045798,4,6000,6000,simples_n6000_p80%_v4.col,MaxGrau,14398160,80
6000,1152.693419,5,6000,6000,simples_n6000_p80%_v5.col,MaxGrau,14397815,80
6000,1455.988151,1,6000,6000,simples_n6000_p90%_v1.col,MaxGrau,16196821,90
6000,1422.305548,2,6000,6000,simples_n6000_p90%_v2.col,MinGrau,16199525,90
6000,1403.779277,3,6000,6000,simples_n6000_p90%_v3.col,MaxGrau,16197231,90
6000,1443.928611,4,6000,6000,simples_n6000_p90%_v4.col,MaxGrau,16196821,90
6000,1446.843117,5,6000,6000,simples_n6000_p90%_v5.col,MinGrau,16195606,90
