chi_sat,M_real,tempo_max,chi_max,chi_min,v_config,p_config,tempo_sat,n_config,N_real,instancia,tempo_min
2440,361490,1.725332,2333,2601,1,1,3.359131,8500,8500,simples_n8500_p01%_v1.col,1.57192
2426,360443,1.654115,2308,2590,2,1,2.734183,8500,8500,simples_n8500_p01%_v2.col,1.595983
2434,362129,1.700451,2323,2584,3,1,3.175201,8500,8500,simples_n8500_p01%_v3.col,1.634036
2433,361445,1.627871,2306,2589,4,1,1.955771,8500,8500,simples_n8500_p01%_v4.col,1.602361
2427,360262,1.858701,2310,2581,5,1,2.635809,8500,8500,simples_n8500_p01%_v5.col,1.629745
6975,1083505,5.851461,6906,7005,1,3,8.002229,8500,8500,simples_n8500_p03%_v1.col,6.136508
6963,1083015,6.041321,6912,7030,2,3,8.948809,8500,8500,simples_n8500_p03%_v2.col,5.416557
6956,1083230,6.120475,6933,7038,3,3,7.980114,8500,8500,simples_n8500_p03%_v3.col,6.460246
6936,1083226,6.410804,6915,7016,4,3,8.870025,8500,8500,simples_n8500_p03%_v4.col,6.104841
6966,1083893,7.239735,6921,7062,5,3,9.378649,8500,8500,simples_n8500_p03%_v5.col,6.336195
8500,1805514,16.300283,8500,8500,1,5,23.018813,8500,8500,simples_n8500_p05%_v1.col,16.385239
8500,1808090,16.993473,8500,8500,2,5,23.072759,8500,8500,simples_n8500_p05%_v2.col,18.629307
8500,1807542,18.887295,8500,8500,3,5,30.224523,8500,8500,simples_n8500_p05%_v3.col,20.592201
8500,1803717,19.065056,8500,8500,4,5,33.877015,8500,8500,simples_n8500_p05%_v4.col,20.577434
8500,1804189,23.239861,8500,8500,5,5,34.381526,8500,8500,simples_n8500_p05%_v5.col,20.297554
8500,3614003,78.380708,8500,8500,1,10,92.007425,8500,8500,simples_n8500_p10%_v1.col,85.192652
8500,3613759,74.130818,8500,8500,2,10,99.894693,8500,8500,simples_n8500_p10%_v2.col,77.188392
8500,3613518,79.070829,8500,8500,3,10,108.058928,8500,8500,simples_n8500_p10%_v3.col,91.664825
8500,3610070,81.471988,8500,8500,4,10,107.504088,8500,8500,simples_n8500_p10%_v4.col,86.245755
8500,3609712,82.746348,8500,8500,5,10,108.470725,8500,8500,simples_n8500_p10%_v5.col,82.166681
8500,7232784,284.574071,8500,8500,1,20,396.26452,8500,8500,simples_n8500_p20%_v1.col,308.339112
8500,7221097,307.382347,8500,8500,2,20,390.402888,8500,8500,simples_n8500_p20%_v2.col,287.655267
8500,7226529,314.279058,8500,8500,3,20,398.570016,8500,8500,simples_n8500_p20%_v3.col,309.457434
8500,7225845,307.217238,8500,8500,4,20,372.983429,8500,8500,simples_n8500_p20%_v4.col,280.607928
8500,7223130,314.026338,8500,8500,5,20,360.779791,8500,8500,simples_n8500_p20%_v5.col,308.798888
8500,10833066,602.953941,8500,8500,1,30,787.433578,8500,8500,simples_n8500_p30%_v1.col,605.592318
8500,10837690,621.734036,8500,8500,2,30,792.70547,8500,8500,simples_n8500_p30%_v2.col,632.341402
8500,10836895,641.3529,8500,8500,3,30,791.819146,8500,8500,simples_n8500_p30%_v3.col,625.337313
8500,10839536,626.022977,8500,8500,4,30,770.302869,8500,8500,simples_n8500_p30%_v4.col,626.844599
8500,10832080,610.9071,8500,8500,5,30,765.701886,8500,8500,simples_n8500_p30%_v5.col,598.122066
8500,14451267,1009.158076,8500,8500,1,40,1278.162206,8500,8500,simples_n8500_p40%_v1.col,979.71192
8500,14447610,950.285841,8500,8500,2,40,1309.122075,8500,8500,simples_n8500_p40%_v2.col,936.283313
8500,14448082,955.01803,8500,8500,3,40,1216.734479,8500,8500,simples_n8500_p40%_v3.col,927.762231
8500,14444890,1014.951573,8500,8500,4,40,1294.696875,8500,8500,simples_n8500_p40%_v4.col,950.421654
8500,14452620,951.128659,8500,8500,5,40,1194.403955,8500,8500,simples_n8500_p40%_v5.col,920.771872
8500,18060433,1508.418585,8500,8500,1,50,1757.362105,8500,8500,simples_n8500_p50%_v1.col,1417.788059
8500,18064031,1408.971643,8500,8500,2,50,1746.368435,8500,8500,simples_n8500_p50%_v2.col,1406.339344
8500,18057193,1364.453576,8500,8500,3,50,1775.510732,8500,8500,simples_n8500_p50%_v3.col,1344.130312
8500,18060131,1358.873827,8500,8500,4,50,1718.220145,8500,8500,simples_n8500_p50%_v4.col,1338.738074
8500,18060651,1352.382646,8500,8500,5,50,1710.36471,8500,8500,simples_n8500_p50%_v5.col,1352.728231
8500,21674693,1854.239631,8500,8500,1,60,2403.735504,8500,8500,simples_n8500_p60%_v1.col,1866.343663
