n_config,tempo_melhor,v_config,N_real,melhor_chi,instancia,heuristica_vencedora,M_real,p_config
8500,1.725332,1,8500,2333,simples_n8500_p01%_v1.col,MaxGrau,361490,1
8500,1.654115,2,8500,2308,simples_n8500_p01%_v2.col,MaxGrau,360443,1
8500,1.700451,3,8500,2323,simples_n8500_p01%_v3.col,MaxGrau,362129,1
8500,1.627871,4,8500,2306,simples_n8500_p01%_v4.col,MaxGrau,361445,1
8500,1.858701,5,8500,2310,simples_n8500_p01%_v5.col,MaxGrau,360262,1
8500,5.851461,1,8500,6906,simples_n8500_p03%_v1.col,MaxGrau,1083505,3
8500,6.041321,2,8500,6912,simples_n8500_p03%_v2.col,MaxGrau,1083015,3
8500,6.120475,3,8500,6933,simples_n8500_p03%_v3.col,MaxGrau,1083230,3
8500,6.410804,4,8500,6915,simples_n8500_p03%_v4.col,MaxGrau,1083226,3
8500,7.239735,5,8500,6921,simples_n8500_p03%_v5.col,MaxGrau,1083893,3
8500,16.300283,1,8500,8500,simples_n8500_p05%_v1.col,MaxGrau,1805514,5
8500,16.993473,2,8500,8500,simples_n8500_p05%_v2.col,MaxGrau,1808090,5
8500,18.887295,3,8500,8500,simples_n8500_p05%_v3.col,MaxGrau,1807542,5
8500,19.065056,4,8500,8500,simples_n8500_p05%_v4.col,MaxGrau,1803717,5
8500,20.297554,5,8500,8500,simples_n8500_p05%_v5.col,MinGrau,1804189,5
8500,78.380708,1,8500,8500,simples_n8500_p10%_v1.col,MaxGrau,3614003,10
8500,74.130818,2,8500,8500,simples_n8500_p10%_v2.col,MaxGrau,3613759,10
8500,79.070829,3,8500,8500,simples_n8500_p10%_v3.col,MaxGrau,3613518,10
8500,81.471988,4,8500,8500,simples_n8500_p10%_v4.col,MaxGrau,3610070,10
8500,82.166681,5,8500,8500,simples_n8500_p10%_v5.col,MinGrau,3609712,10
8500,284.574071,1,8500,8500,simples_n8500_p20%_v1.col,MaxGrau,7232784,20
8500,287.655267,2,8500,8500,simples_n8500_p20%_v2.col,MinGrau,7221097,20
8500,309.457434,3,8500,8500,simples_n8500_p20%_v3.col,MinGrau,7226529,20
8500,280.607928,4,8500,8500,simples_n8500_p20%_v4.col,MinGrau,7225845,20
8500,308.798888,5,8500,8500,simples_n8500_p20%_v5.col,MinGrau,7223130,20
8500,602.953941,1,8500,8500,simples_n8500_p30%_v1.col,MaxGrau,10833066,30
8500,621.734036,2,8500,8500,simples_n8500_p30%_v2.col,MaxGrau,10837690,30
8500,625.337313,3,8500,8500,simples_n8500_p30%_v3.col,MinGrau,10836895,30
8500,626.022977,4,8500,8500,simples_n8500_p30%_v4.col,MaxGrau,10839536,30
8500,598.122066,5,8500,8500,simples_n8500_p30%_v5.col,MinGrau,10832080,30
8500,979.71192,1,8500,8500,simples_n8500_p40%_v1.col,MinGrau,14451267,40
8500,936.283313,2,8500,8500,simples_n8500_p40%_v2.col,MinGrau,14447610,40
8500,927.762231,3,8500,8500,simples_n8500_p40%_v3.col,MinGrau,14448082,40
8500,950.421654,4,8500,8500,simples_n8500_p40%_v4.col,MinGrau,14444890,40
8500,920.771872,5,8500,8500,simples_n8500_p40%_v5.col,MinGrau,14452620,40
8500,1417.788059,1,8500,8500,simples_n8500_p50%_v1.col,MinGrau,18060433,50
8500,1406.339344,2,8500,8500,simples_n8500_p50%_v2.col,MinGrau,18064031,50
8500,1344.130312,3,8500,8500,simples_n8500_p50%_v3.col,MinGrau,18057193,50
8500,1338.738074,4,8500,8500,simples_n8500_p50%_v4.col,MinGrau,18060131,50
8500,1352.382646,5,8500,8500,simples_n8500_p50%_v5.col,MaxGrau,18060651,50
8500,1854.239631,1,8500,8500,simples_n8500_p60%_v1.col,MaxGrau,21674693,60
8500,1869.610269,2,8500,8500,simples_n8500_p60%_v2.col,MinGrau,21674395,60
8500,1869.868974,3,8500,8500,simples_n8500_p60%_v3.col,MaxGrau,21669373,60
8500,1850.082626,4,8500,8500,simples_n8500_p60%_v4.col,MinGrau,21674176,60
8500,1792.855453,5,8500,8500,simples_n8500_p60%_v5.col,MinGrau,21677129,60
8500,2418.617352,1,8500,8500,simples_n8500_p70%_v1.col,MaxGrau,25282575,70
8500,2352.003438,2,8500,8500,simples_n8500_p70%_v2.col,MaxGrau,25279405,70
8500,2347.253396,3,8500,8500,simples_n8500_p70%_v3.col,MaxGrau,25288570,70
8500,2344.383319,4,8500,8500,simples_n8500_p70%_v4.col,MinGrau,25284164,70
8500,2238.092989,5,8500,8500,simples_n8500_p70%_v5.col,MinGrau,25284006,70
8500,2816.643429,1,8500,8500,simples_n8500_p80%_v1.col,MinGrau,28898565,80
8500,2691.732652,2,8500,8500,simples_n8500_p80%_v2.col,MinGrau,28895502,80
8500,2681.783146,3,8500,8500,simples_n8500_p80%_v3.col,MinGrau,28895164,80
8500,2862.484495,4,8500,8500,simples_n8500_p80%_v4.col,MaxGrau,28896355,80
8500,2718.473246,5,8500,8500,simples_n8500_p80%_v5.col,MinGrau,28893145,80
8500,3294.187274,1,8500,8500,simples_n8500_p90%_v1.col,MinGrau,32508707,90
8500,3277.096026,2,8500,8500,simples_n8500_p90%_v2.col,MinGrau,32507878,90
8500,3279.510242,3,8500,8500,simples_n8500_p90%_v3.col,MaxGrau,32507863,90
8500,2602.451244,4,8500,8500,simples_n8500_p90%_v4.col,MinGrau,32509486,90
8500,3216.752239,5,8500,8500,simples_n8500_p90%_v5.col,MaxGrau,32512998,90
