n_config,tempo_melhor,v_config,N_real,melhor_chi,instancia,heuristica_vencedora,M_real,p_config
9000,2.020831,1,9000,2502,simples_n9000_p01%_v1.col,MaxGrau,404792,1
9000,1.361239,2,9000,2506,simples_n9000_p01%_v2.col,MaxGrau,404474,1
9000,1.327336,3,9000,2513,simples_n9000_p01%_v3.col,MaxGrau,404206,1
9000,1.395224,4,9000,2508,simples_n9000_p01%_v4.col,MaxGrau,404015,1
9000,2.050545,5,9000,2521,simples_n9000_p01%_v5.col,MaxGrau,406033,1
9000,5.324525,1,9000,7522,simples_n9000_p03%_v1.col,MaxGrau,1215734,3
9000,6.805034,2,9000,7510,simples_n9000_p03%_v2.col,MaxGrau,1213900,3
9000,7.983394,3,9000,7546,simples_n9000_p03%_v3.col,MaxGrau,1215044,3
9000,8.382214,4,9000,7523,simples_n9000_p03%_v4.col,MaxGrau,1214853,3
9000,8.634158,5,9000,7546,simples_n9000_p03%_v5.col,MaxGrau,1217247,3
9000,21.757054,1,9000,9000,simples_n9000_p05%_v1.col,MaxGrau,2025669,5
9000,20.954078,2,9000,9000,simples_n9000_p05%_v2.col,MaxGrau,2025868,5
9000,26.067775,3,9000,9000,simples_n9000_p05%_v3.col,MaxGrau,2024146,5
9000,24.432734,4,9000,9000,simples_n9000_p05%_v4.col,MaxGrau,2024105,5
9000,26.778535,5,9000,9000,simples_n9000_p05%_v5.col,MaxGrau,2022810,5
9000,83.737946,1,9000,9000,simples_n9000_p10%_v1.col,MinGrau,4044854,10
9000,96.474081,2,9000,9000,simples_n9000_p10%_v2.col,MaxGrau,4047936,10
9000,90.461359,3,9000,9000,simples_n9000_p10%_v3.col,MaxGrau,4050226,10
9000,98.650113,4,9000,9000,simples_n9000_p10%_v4.col,MinGrau,4047735,10
9000,88.568763,5,9000,9000,simples_n9000_p10%_v5.col,MinGrau,4049162,10
9000,352.301485,1,9000,9000,simples_n9000_p20%_v1.col,MinGrau,8102854,20
9000,351.245013,2,9000,9000,simples_n9000_p20%_v2.col,MaxGrau,8100137,20
9000,375.4852,3,9000,9000,simples_n9000_p20%_v3.col,MinGrau,8097197,20
9000,337.846232,4,9000,9000,simples_n9000_p20%_v4.col,MaxGrau,8098199,20
9000,343.387673,5,9000,9000,simples_n9000_p20%_v5.col,MaxGrau,8095080,20
9000,764.716447,1,9000,9000,simples_n9000_p30%_v1.col,MaxGrau,12148495,30
9000,745.506737,2,9000,9000,simples_n9000_p30%_v2.col,MinGrau,12151677,30
9000,718.945499,3,9000,9000,simples_n9000_p30%_v3.col,MinGrau,12149233,30
9000,739.399641,4,9000,9000,simples_n9000_p30%_v4.col,MinGrau,12145369,30
9000,704.765298,5,9000,9000,simples_n9000_p30%_v5.col,MaxGrau,12150568,30
9000,1180.596814,1,9000,9000,simples_n9000_p40%_v1.col,MaxGrau,16200777,40
9000,1132.107214,2,9000,9000,simples_n9000_p40%_v2.col,MaxGrau,16195937,40
9000,1110.913218,3,9000,9000,simples_n9000_p40%_v3.col,MinGrau,16195946,40
9000,1110.86456,4,9000,9000,simples_n9000_p40%_v4.col,MaxGrau,16197646,40
9000,1048.733453,5,9000,9000,simples_n9000_p40%_v5.col,MinGrau,16200358,40
9000,1678.156167,1,9000,9000,simples_n9000_p50%_v1.col,MinGrau,20247273,50
9000,1547.147016,2,9000,9000,simples_n9000_p50%_v2.col,MaxGrau,20243500,50
9000,1605.060103,3,9000,9000,simples_n9000_p50%_v3.col,MaxGrau,20242936,50
9000,1585.372571,4,9000,9000,simples_n9000_p50%_v4.col,MinGrau,20242531,50
9000,1556.164202,5,9000,9000,simples_n9000_p50%_v5.col,MinGrau,20249196,50
9000,2198.96832,1,9000,9000,simples_n9000_p60%_v1.col,MinGrau,24296344,60
9000,2163.717482,2,9000,9000,simples_n9000_p60%_v2.col,MaxGrau,24296484,60
9000,2172.356081,3,9000,9000,simples_n9000_p60%_v3.col,MaxGrau,24301124,60
9000,2118.064224,4,9000,9000,simples_n9000_p60%_v4.col,MaxGrau,24300645,60
9000,2066.477885,5,9000,9000,simples_n9000_p60%_v5.col,MaxGrau,24299343,60
9000,2787.29535,1,9000,9000,simples_n9000_p70%_v1.col,MaxGrau,28348568,70
9000,2783.214085,2,9000,9000,simples_n9000_p70%_v2.col,MinGrau,28344179,70
9000,2653.219656,3,9000,9000,simples_n9000_p70%_v3.col,MaxGrau,28350745,70
9000,2584.373633,4,9000,9000,simples_n9000_p70%_v4.col,MinGrau,28341730,70
9000,2446.888191,5,9000,9000,simples_n9000_p70%_v5.col,MinGrau,28343400,70
9000,3185.099138,1,9000,9000,simples_n9000_p80%_v1.col,MaxGrau,32403207,80
9000,3168.475493,2,9000,9000,simples_n9000_p80%_v2.col,MaxGrau,32392337,80
9000,3111.845561,3,9000,9000,simples_n9000_p80%_v3.col,MinGrau,32399972,80
9000,3048.484381,4,9000,9000,simples_n9000_p80%_v4.col,MaxGrau,32397104,80
9000,3020.814707,5,9000,9000,simples_n9000_p80%_v5.col,MaxGrau,32392331,80
9000,3838.787187,1,9000,9000,simples_n9000_p90%_v1.col,MinGrau,36446923,90
9000,3879.940555,2,9000,9000,simples_n9000_p90%_v2.col,MaxGrau,36447393,90
9000,3845.450942,3,9000,9000,simples_n9000_p90%_v3.col,MinGrau,36449254,90
9000,3209.349697,4,9000,9000,simples_n9000_p90%_v4.col,MinGrau,36445891,90
9000,3125.818098,5,9000,9000,simples_n9000_p90%_v5.col,MaxGrau,36445231,90
