chi_sat,M_real,tempo_max,chi_max,chi_min,v_config,p_config,tempo_sat,n_config,N_real,instancia,tempo_min
2623,404792,2.020831,2502,2786,1,1,2.686764,9000,9000,simples_n9000_p01%_v1.col,2.03086
2625,404474,1.361239,2506,2796,2,1,1.963526,9000,9000,simples_n9000_p01%_v2.col,1.242895
2629,404206,1.327336,2513,2791,3,1,2.00007,9000,9000,simples_n9000_p01%_v3.col,1.212323
2621,404015,1.395224,2508,2798,4,1,2.175233,9000,9000,simples_n9000_p01%_v4.col,1.257609
2641,406033,2.050545,2521,2808,5,1,2.195191,9000,9000,simples_n9000_p01%_v5.col,1.752194
7594,1215734,5.324525,7522,7619,1,3,10.099147,9000,9000,simples_n9000_p03%_v1.col,5.571128
7570,1213900,6.805034,7510,7646,2,3,9.350614,9000,9000,simples_n9000_p03%_v2.col,6.913495
7569,1215044,7.983394,7546,7634,3,3,10.630601,9000,9000,simples_n9000_p03%_v3.col,9.196083
7548,1214853,8.382214,7523,7640,4,3,11.161325,9000,9000,simples_n9000_p03%_v4.col,8.891882
7598,1217247,8.634158,7546,7639,5,3,11.956329,9000,9000,simples_n9000_p03%_v5.col,8.04594
9000,2025669,21.757054,9000,9000,1,5,27.706258,9000,9000,simples_n9000_p05%_v1.col,22.196023
9000,2025868,20.954078,9000,9000,2,5,33.587526,9000,9000,simples_n9000_p05%_v2.col,21.104198
9000,2024146,26.067775,9000,9000,3,5,33.79876,9000,9000,simples_n9000_p05%_v3.col,27.292839
9000,2024105,24.432734,9000,9000,4,5,32.45378,9000,9000,simples_n9000_p05%_v4.col,28.284564
9000,2022810,26.778535,9000,9000,5,5,30.921821,9000,9000,simples_n9000_p05%_v5.col,30.928033
9000,4044854,97.674654,9000,9000,1,10,109.4947,9000,9000,simples_n9000_p10%_v1.col,83.737946
9000,4047936,96.474081,9000,9000,2,10,126.898934,9000,9000,simples_n9000_p10%_v2.col,98.543989
9000,4050226,90.461359,9000,9000,3,10,127.515198,9000,9000,simples_n9000_p10%_v3.col,91.863877
9000,4047735,104.168084,9000,9000,4,10,117.75097,9000,9000,simples_n9000_p10%_v4.col,98.650113
9000,4049162,93.893032,9000,9000,5,10,112.013478,9000,9000,simples_n9000_p10%_v5.col,88.568763
9000,8102854,360.409575,9000,9000,1,20,444.558713,9000,9000,simples_n9000_p20%_v1.col,352.301485
9000,8100137,351.245013,9000,9000,2,20,450.766838,9000,9000,simples_n9000_p20%_v2.col,365.89351
9000,8097197,381.614875,9000,9000,3,20,455.001082,9000,9000,simples_n9000_p20%_v3.col,375.4852
9000,8098199,337.846232,9000,9000,4,20,456.140116,9000,9000,simples_n9000_p20%_v4.col,368.70564
9000,8095080,343.387673,9000,9000,5,20,445.304188,9000,9000,simples_n9000_p20%_v5.col,364.673151
9000,12148495,764.716447,9000,9000,1,30,929.218868,9000,9000,simples_n9000_p30%_v1.col,769.79769
9000,12151677,762.953046,9000,9000,2,30,940.185232,9000,9000,simples_n9000_p30%_v2.col,745.506737
9000,12149233,732.771246,9000,9000,3,30,886.596552,9000,9000,simples_n9000_p30%_v3.col,718.945499
9000,12145369,770.377157,9000,9000,4,30,860.451663,9000,9000,simples_n9000_p30%_v4.col,739.399641
9000,12150568,704.765298,9000,9000,5,30,870.826507,9000,9000,simples_n9000_p30%_v5.col,711.295918
9000,16200777,1180.596814,9000,9000,1,40,1372.472558,9000,9000,simples_n9000_p40%_v1.col,1185.550571
9000,16195937,1132.107214,9000,9000,2,40,1396.143237,9000,9000,simples_n9000_p40%_v2.col,1226.095238
9000,16195946,1181.848616,9000,9000,3,40,1415.414291,9000,9000,simples_n9000_p40%_v3.col,1110.913218
9000,16197646,1110.86456,9000,9000,4,40,1379.061574,9000,9000,simples_n9000_p40%_v4.col,1156.014739
9000,16200358,1120.409187,9000,9000,5,40,1333.945876,9000,9000,simples_n9000_p40%_v5.col,1048.733453
9000,20247273,1696.993286,9000,9000,1,50,1971.76991,9000,9000,simples_n9000_p50%_v1.col,1678.156167
9000,20243500,1547.147016,9000,9000,2,50,2024.721398,9000,9000,simples_n9000_p50%_v2.col,1629.815212
9000,20242936,1605.060103,9000,9000,3,50,1996.367423,9000,9000,simples_n9000_p50%_v3.col,1609.361502
9000,20242531,1598.78594,9000,9000,4,50,1945.486746,9000,9000,simples_n9000_p50%_v4.col,1585.372571
9000,20249196,1567.221131,9000,9000,5,50,1939.729475,9000,9000,simples_n9000_p50%_v5.col,1556.164202
9000,24296344,2235.132238,9000,9000,1,60,2778.90165,9000,9000,simples_n9000_p60%_v1.col,2198.96832
9000,24296484,2163.717482,9000,9000,2,60,2762.90719,9000,9000,simples_n9000_p60%_v2.col,2175.885409
9000,24301124,2172.356081,9000,9000,3,60,2678.127863,9000,9000,simples_n9000_p60%_v3.col,2258.528335
9000,24300645,2118.064224,9000,9000,4,60,2600.973239,9000,9000,simples_n9000_p60%_v4.col,2174.805642
9000,24299343,2066.477885,9000,9000,5,60,2566.414589,9000,9000,simples_n9000_p60%_v5.col,2085.503824
9000,28348568,2787.29535,9000,9000,1,70,3498.733503,9000,9000,simples_n9000_p70%_v1.col,2789.195661
9000,28344179,2799.205754,9000,9000,2,70,3357.94368,9000,9000,simples_n9000_p70%_v2.col,2783.214085
9000,28350745,2653.219656,9000,9000,3,70,3313.652383,9000,9000,simples_n9000_p70%_v3.col,2682.981462
9000,28341730,2590.481858,9000,9000,4,70,3235.860379,9000,9000,simples_n9000_p70%_v4.col,2584.373633
9000,28343400,2597.012801,9000,9000,5,70,3074.900164,9000,9000,simples_n9000_p70%_v5.col,2446.888191
9000,32403207,3185.099138,9000,9000,1,80,4004.21029,9000,9000,simples_n9000_p80%_v1.col,3189.746673
9000,32392337,3168.475493,9000,9000,2,80,3991.374202,9000,9000,simples_n9000_p80%_v2.col,3195.466399
9000,32399972,3130.095539,9000,9000,3,80,3845.745831,9000,9000,simples_n9000_p80%_v3.col,3111.845561
9000,32397104,3048.484381,9000,9000,4,80,3851.733012,9000,9000,simples_n9000_p80%_v4.col,3084.182179
9000,32392331,3020.814707,9000,9000,5,80,3850.294255,9000,9000,simples_n9000_p80%_v5.col,3081.962716
9000,36446923,3847.453006,9000,9000,1,90,4849.164804,9000,9000,simples_n9000_p90%_v1.col,3838.787187
9000,36447393,3879.940555,9000,9000,2,90,4862.746322,9000,9000,simples_n9000_p90%_v2.col,3920.93216
9000,36449254,3908.590953,9000,9000,3,90,4823.346921,9000,9000,simples_n9000_p90%_v3.col,3845.450942
9000,36445891,3914.980234,9000,9000,4,90,4713.213856,9000,9000,simples_n9000_p90%_v4.col,3209.349697
9000,36445231,3125.818098,9000,9000,5,90,4770.15214,9000,9000,simples_n9000_p90%_v5.col,3816.887592
